"Decile","WT average","WT proportion","CKO average","CKO proportion"
1,4.02690334664198,7.82918149466192,4.06495794303881,11.0320284697509
2,4.30620855985996,7.85714285714286,4.34422357355508,10
3,4.44828394237459,7.5,4.49166893955124,11.7857142857143
4,4.5740707230711,9.25266903914591,4.60990380671373,13.1672597864769
5,4.69514133696529,7.14285714285714,4.73312429607746,12.8571428571429
6,4.81185445856434,7.85714285714286,4.85394526911572,16.4285714285714
7,4.94350026357879,8.54092526690391,4.97865056518685,18.1494661921708
8,5.10205234982343,7.5,5.13366414907207,17.1428571428571
9,5.30865450368503,8.21428571428571,5.34090921872668,16.0714285714286
10,5.76808638574418,8.92857142857143,5.79302964211955,14.2857142857143
