"Uniprot_ID","Protein_names","Gene_names","pVal","phase","peak.shape","period","X1.KO1","X2.KO1","X3.KO1","X4.KO1","X5.KO1","X6.KO1","X7.KO1","X8.KO1","X9.KO2","X10.KO2","X11.KO2","missing_data","X13.KO2","X14.KO2","X15.KO2","X16.KO2","X17.KO3","X18.KO3","X19.KO3","X20.KO3","X21.KO3","X22.KO3","X23.KO3","X24.KO3"
"Q7JCZ1","Cytochrome c oxidase subunit 2","mt-Co2;COX2;Mtco2",0.00637768593865484,3,6,24,516361.606752881,539126.496099647,426429.236321512,481025.410135078,436235.983521464,453414.854575887,557213.53292022,515440.744624045,523155.523107946,613398.834932633,458497.947231598,475336.369216774,491405.834923949,468566.819313734,515700.143219459,579858.833810827,582245.727242665,550146.225430945,499888.29636328,487260.255109757,557712.262568864,495698.800561838,560745.5568277,551540.208189892
"Q3TNL9","NADH-ubiquinone oxidoreductase chain 1","mt-Nd1;ND1;Mtnd1",0.0169196910313161,24,18,24,136685.187260294,135507.014432002,119554.936978041,131795.831268339,116692.658437604,117140.203294827,144449.755924027,138717.350002458,129402.665709373,134698.776926482,119399.504989281,121827.324728429,124144.273791458,113150.249850763,129557.301749296,133364.198391868,131365.473394644,140586.26207282,128322.871314374,119803.736305507,137819.134856615,127906.926397793,140405.829220584,137341.76151909
"Q7GIP5","NADH-ubiquinone oxidoreductase chain 3","mt-Nd3;ND3;Mtnd3",0.0145749944091962,21,15,24,17681.5102270372,15536.4417944508,17847.9708935823,14450.8706923186,15217.6713136122,15347.2813671522,20427.7227406703,16553.4692362885,19003.7537285808,19315.0201171327,17499.8697084432,17160.4080836455,16836.4485734615,15347.6668447473,18321.6924037267,18319.0634840141,19843.7344004084,18164.8178160275,17703.4948978595,16670.1807997282,19261.6297404985,16300.4423246114,20255.0749998973,19106.8233567285
"A0A087WPP8","Abl interactor 2","Abi2",0.00742828631579516,15,12,24,22213.3106940935,22594.789209945,23652.9325953655,23749.526391655,24299.6267152024,24488.0464309838,21991.4991140519,21846.8494960787,18136.1543507867,21102.9844340399,20274.9503050621,21137.2133388874,21960.0996084452,20609.737318635,20352.5079008416,20226.5087598812,19943.552114494,22219.1180172556,22582.217603564,22013.7043742356,24466.2894954469,24278.8007402765,22731.4140523744,20649.7117596177
"A0A087WQH8","","Slc35a4",0.000138152524116479,24,9,24,84891.4826310752,79055.4928093637,69254.3044875573,74593.77294414,71611.9716025248,78739.4897287603,80406.549843813,86845.4818179935,77951.8117241694,93518.6974388838,70709.8487310759,77002.7224808721,83008.2210371476,74412.107282632,80491.6576170331,87361.7230639155,82296.0270634302,79676.5785467334,76103.3738149859,75286.8007191004,85492.8969210805,79375.5292560056,82194.4134633657,84894.6239011489
"A0A087WQN7","5-3 exoribonuclease 1","Xrn1",0.0332153537610982,3,15,24,155885.969702039,146267.436793982,141086.31772133,136204.56915795,141922.883080165,136529.357069172,151399.710780891,142420.505643493,145189.769672599,138064.062151346,131995.536796055,132273.646044761,132539.054943461,121292.066577592,136377.059834686,136245.631421936,140641.674649599,140367.725208676,131911.250227228,135125.363812381,137682.49602506,124666.957233166,138538.297144049,132808.572933493
"Q3U607","Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10","Casp8",0.00626980241838151,6,18,24,380384.836244144,373414.674794994,373470.068200677,378800.161846424,391510.120531883,375480.980165675,366709.528994775,358396.349014947,365479.67039433,372498.321497481,368530.097325173,365713.868946098,363026.248609647,353615.751511075,343938.034191083,354412.778333252,380826.131782101,385736.622578176,373068.987880089,378493.855150801,366785.903744263,348849.34274051,363545.83437353,338960.575400291
"Q545H7","Protein S100-A13","S100a13",0.0191269998651115,6,18,24,298571.42122049,305783.357922096,298824.089425076,305655.001279011,300296.579372083,305981.167099737,291224.437835827,302235.792613576,316464.949995216,316440.377057613,314821.200950047,306847.243447618,299237.430797207,316979.28028781,294262.256498953,296262.243488295,314110.473483828,328702.032339718,309051.222381197,297179.595894199,278665.343866463,284214.184697363,302465.637477692,282370.759981953
"A0A0A0MQD4","Keratinocyte-associated transmembrane protein 2","9530068E07Rik;Kct2",0.00440364029097596,24,12,24,117406.289497131,113236.553786654,110305.887687572,114077.118751906,116431.620154561,103966.365712454,124950.436062835,123596.003824361,126314.316769633,153234.536649305,109352.018361006,112083.940082346,114691.103773481,130264.199598412,116211.976374105,146738.310414438,120785.602347298,115362.608582549,115682.089013767,111057.084735398,119283.384438662,107780.528425086,123429.979906126,120406.236778608
"A0A0B4J1E4","G-protein coupled receptor 39","Gpr39",0.0365575901490996,24,9,24,67467.5353787971,69129.9341641669,63769.9767855544,66215.8859104861,64375.6932396671,67724.8931416827,73025.9637941199,71353.3662068609,75594.1119376351,74907.0128224587,69424.601243087,71589.0411009514,73654.6379901264,70198.9731906648,72903.0026737189,73492.633117262,78549.9825496897,73215.2828866399,67841.8507153973,71167.4366967853,73219.8480776007,83749.0128940503,76210.6084741788,76874.9521233511
"A0A0F6AIX5","UPF0554 protein C2orf43 homolog","",0.0181997645551084,21,12,24,225078.997467832,228172.116018304,215703.081578538,232173.070466862,217807.145412028,211044.33085754,235558.292844812,229049.142663125,228639.660408179,234668.150871901,216747.139072754,222166.801172946,227338.964831761,224389.547623092,232809.188228628,242005.325817121,228977.463429174,224144.107629856,216033.919216107,223992.92250955,227203.514436091,248717.687185252,225575.18865807,221111.426070352
"A0A0G2JEK2","Cysteine-rich protein 1","Crip1",0.0228484938431872,18,9,24,234948.102519136,239736.302586796,247980.120182466,242280.647838437,253789.059029322,257109.099126228,259162.887977681,270259.035888213,240954.454767065,250135.949517734,265954.858585162,264741.808133643,263584.153773341,287697.761194444,257870.301596841,267507.261866886,254597.358079626,257413.867632308,284415.421567925,268401.235483912,271294.781892571,304135.628071195,284882.789202263,300289.355150577
"A0A0G2JGP4","GTPase NRas","Nras",3.26674889704165e-06,24,9,24,311601.373919933,318089.559786702,288484.521486492,295189.927269812,297726.205756828,297114.908105695,318628.306207543,317915.847272439,306382.330112682,339196.869168263,292510.09574363,296602.884508399,300508.768846021,303629.279772793,309477.227396137,335419.244737809,316876.590952951,310990.711494365,292037.434067421,288534.038706093,305628.664504919,299759.890864507,315683.623544533,315720.639486877
"A0A0G2JGQ6","Serine/threonine-protein kinase DCLK1","Dclk1",0.0068489271824314,21,15,24,364459.608949848,356897.03989981,363809.704454451,351128.844130121,358880.536264284,373459.308759633,381910.699016351,363821.562888243,377507.623729852,367621.325614941,358498.919101033,360638.226370176,362679.83839468,345500.798295048,368023.979962699,370551.456229634,385514.160605316,361988.529638955,366793.26112859,357319.197065738,370477.159023302,369591.160425508,376366.484010456,359277.330647583
"A0A0J9YTY0","Septin-11","Sept11",0.00530871815600329,12,18,24,2759795.42885272,2769417.46354336,2954428.02260661,2862725.96734133,2934265.27953243,2926024.72563303,2783801.77882973,2874754.42189623,2919882.14897104,2754904.01644026,3060831.01336976,3035462.50139509,3011252.48732263,3166934.38072204,2939097.33030937,2941048.71888498,2873744.10352253,2909441.60680892,2955572.4954278,2970446.46051526,2941598.05032739,2942755.11910604,2898210.11619999,2908741.14136666
"A0A0N4SWG7","Dysferlin","Dysf",0.00139817309992927,24,18,24,249803.439964049,255897.439269713,231418.341489716,252121.513993577,238206.244828265,237135.647972387,261642.621615684,266885.90859474,265337.907774399,264469.045339422,240849.28762422,246192.395039768,251291.500018814,235974.672225434,260616.036784219,259146.858182142,251366.274472966,252990.739623652,238355.263328293,235531.110206552,248250.064052604,237526.007224671,252331.661332427,255081.391419156
"A0A0R3P9C8","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial","Ndufa9",0.000193467392346384,24,9,24,627549.622898977,613421.44374795,595564.516610011,617262.791068701,612490.569077834,605145.978191332,676338.172083694,667324.566286745,634665.59515684,676933.621673179,613652.306431254,618808.394335078,623729.020378695,604473.880094479,658445.299933484,688734.198683416,672097.509380332,627264.412976954,611187.013715129,603931.053143388,655263.344234633,667075.75489081,678758.871832262,668738.744083311
