ID	CT0	CT3	CT6	CT9	CT12	CT15	CT18	CT21	CT24	CT27	CT30	CT33	CT36	CT39	CT42	CT45	CT48	CT51	CT54	CT57	CT60	CT63	CT66	CT69
A0A023T672	315995.891473246	316430.82219721	313661.386446705	304422.542652723	304845.639927181	307398.313794847	287751.897560208	285023.343931182	302495.635100387	299978.540906646	294895.213603404	290497.991287154	286301.575893834	286779.31363215	277315.285035607	259850.222342249	265985.058451505	273632.1141919	281204.665057844	261660.74945126	268500.257608872	239782.188610908	244445.901029353	250554.534574726
A0A024QYR9	56427.3328030037	55596.722303071	58810.2208132085	56038.8064578949	56368.8959568501	64699.3144411479	58878.2948745399	52176.7528146363	54544.4670171497	57286.233194103	55374.1712107645	56047.7272987911	56690.5242585021	46767.6284410615	56655.1618253876	57106.0697123917	55829.8632066537	58294.8617306262	54362.9334356552	60788.4303452165	53461.2382222324	60746.7169768169	56300.8132213661	55379.2864524779
A0A068BD34	37493.0686030266	36380.9078178389	36806.7653321548	36212.9924936081	37345.8728816387	37765.3021842649	39270.5485680207	36128.1338458354	29790.3793613287	31701.7212044462	28818.9025941708	30121.7808144073	31365.1607997258	29514.6844638879	29387.7419236054	29860.8256499982	35362.9425742248	32988.4551741739	34366.2718087521	35007.3425752659	34860.7439204113	33014.8669098035	32837.1190052222	32534.9261346408
Q3TBA3	89349.2420123767	96579.0551056647	86262.8622276252	97671.0206633797	92064.7319762597	92557.4702317379	99864.1335853551	100780.428527467	101684.847464618	115917.598909968	101462.041117417	101511.648196883	101558.989881455	99709.9114622336	111647.61045107	111043.538736286	112887.242376879	117610.702624703	103053.314069623	99463.3181142599	112603.398697468	99112.785966718	105866.085816379	108587.277951799
Q78ZJ8	663108.167482852	706093.844802387	618481.917855387	694640.785759943	640699.860482954	661421.568285592	691705.74737506	727770.958714118	740759.518828508	743448.693381949	704379.254184432	705526.258066512	706620.881990614	699490.845227371	739793.232920607	741857.053525093	758821.069214434	794049.710638112	737502.362000904	718281.460493771	707235.07537364	791454.586623061	748994.304951735	772947.901432477
Q3UM80	32674.2560395297	33516.3145714544	24667.6078790761	23858.4824863008	24972.2877177435	28744.0456985387	28871.9783726138	25824.6880299903	23012.6110660364	25562.8249548216	20866.5012047253	21559.0479971512	22219.9684172059	18493.6663772783	20702.9946952618	21880.4370623436	28051.1478806171	41080.9792720254	33867.627356939	33484.7931554475	20821.1181589833	24787.141767829	25627.2689693113	19511.0732981327
A0A068BFS4	23196.7118246302	22983.8665742406	22914.019992555	20825.5221666283	22571.1862366877	21820.5614615098	23418.960925755	27236.4875724879	24349.7255475548	23935.0845189858	27151.1559265485	25922.5014800709	24749.9557087972	22878.8493590272	23633.4177511224	21362.7836216821	22895.8657420834	26868.7424556504	29365.2069181233	24887.9969160012	27947.980278041	23765.3506154322	27814.0978954576	24635.4638287609
A0A068BGT0	175535.880710539	190304.437500827	175310.96899144	182882.518651002	180950.927521727	179006.062915844	189225.806516492	189095.281351128	198911.458204373	204884.920221136	185240.831527371	192128.183472381	198701.012327188	193318.83794166	201325.687795448	201863.977977301	185278.651126445	195083.618880713	192149.850928332	195235.468514902	199332.195540239	197688.695120142	191078.971828427	195891.794823008
Q14C53	83649.8496010611	89290.6774210368	60357.4165280621	62713.5939263578	63983.2233449042	76186.9103051164	87654.1947958613	91960.4037098768	120678.223352653	85466.0500828565	104264.402140558	102161.577173014	100154.781421376	58906.7374767046	105345.725075607	74483.9835654938	105951.802414387	104562.887042964	91504.3998913712	90070.3788058575	82086.2331471991	81772.529287769	106525.141127603	97004.2516393113
A0A068BIT8	90292.9229990597	93855.0186786331	103967.111256328	103495.051007869	108176.754476386	107780.152878241	111175.035323514	112158.181470241	107548.615250802	107814.013194798	108817.722000316	108712.103483345	108611.308222483	114350.92956932	104150.935411835	105014.727754504	145747.217110427	160331.488952979	153413.945113991	145681.309998481	136792.085291533	128632.44405353	145747.38581605	126287.301029947
A0A068EW80	817972.591664066	812643.330644852	829869.367859821	855858.751749584	867672.542010226	876076.591397428	847730.972997419	866590.030069313	881012.650445638	889581.570180878	911871.89956311	910587.159611028	909361.089577815	929987.756806384	905587.415020737	890499.326545121	879389.950346298	876180.946915213	882726.24011433	890320.789242081	886895.968148131	916355.296478726	894392.64591329	892318.38473488
Q7JCZ1	516361.606752881	539126.496099647	426429.236321512	481025.410135078	436235.983521464	453414.854575887	557213.53292022	515440.744624045	523155.523107946	613398.834932633	458497.947231598	475336.369216774	491405.834923949	468566.819313734	515700.143219459	579858.833810827	582245.727242665	550146.225430945	499888.29636328	487260.255109757	557712.262568864	495698.800561838	560745.5568277	551540.208189892
Q3TNL9	136685.187260294	135507.014432002	119554.936978041	131795.831268339	116692.658437604	117140.203294827	144449.755924027	138717.350002458	129402.665709373	134698.776926482	119399.504989281	121827.324728429	124144.273791458	113150.249850763	129557.301749296	133364.198391868	131365.473394644	140586.26207282	128322.871314374	119803.736305507	137819.134856615	127906.926397793	140405.829220584	137341.76151909
Q7GIP5	17681.5102270372	15536.4417944508	17847.9708935823	14450.8706923186	15217.6713136122	15347.2813671522	20427.7227406703	16553.4692362885	19003.7537285808	19315.0201171327	17499.8697084432	17160.4080836455	16836.4485734615	15347.6668447473	18321.6924037267	18319.0634840141	19843.7344004084	18164.8178160275	17703.4948978595	16670.1807997282	19261.6297404985	16300.4423246114	20255.0749998973	19106.8233567285
A0A087WP63	36374.3845701389	34264.4706715755	35244.498584921	33896.8561872785	36152.3510733832	33445.3352770646	32924.8544924233	33131.980588335	30519.2011865188	31971.0232607113	28502.732316147	28556.019248408	28606.8727387982	28918.6032117596	30299.8498889458	30077.6244960777	36671.4014215662	44947.1671845802	32762.727497394	43838.2898719127	26802.2256436082	56453.7569769353	36361.4105819652	32872.9211137111
A0A087WQE6	394133.276276015	395894.604350966	392709.159144714	388540.943527554	390561.951114479	393191.295258481	375791.157608817	377200.25298482	386338.687262419	375954.155397493	400245.565793236	391856.992175418	383851.497586775	391584.586140081	384196.545918701	379139.618662047	369359.764026187	353963.974362515	386632.540619122	366186.378922609	378981.799147059	372754.303583348	358955.94389605	356146.780696392
A0A087WNV1	113010.109550682	110208.096177212	118292.8385063	107307.882650716	117169.36475417	113761.665664046	115732.302750599	112540.159858594	124127.024722769	101000.765466021	131069.485249609	128343.845128528	125742.676177281	113051.895945555	127751.498799696	96725.8471669751	126375.533502256	141714.690358944	128571.632435683	130750.581107514	114309.881197581	115802.553155185	122573.862949368	120498.135255449
A0A087WPB2	10407.8034738548	10809.5576169357	9199.36589122854	9640.26865563437	9037.71116908448	9020.70449542099	10920.8479572628	10197.3954002103	12743.6305562903	14304.9936308239	10760.4673347927	11665.4025883241	12529.0123753125	13094.7632005247	12226.2350555558	14818.7349766927	11563.575747844	13731.6029196861	12868.7636293246	11957.3753451169	12913.7573935024	11873.5456466824	12444.6556191199	13751.5403321726
A0A087WPP8	22213.3106940935	22594.789209945	23652.9325953655	23749.526391655	24299.6267152024	24488.0464309838	21991.4991140519	21846.8494960787	18136.1543507867	21102.9844340399	20274.9503050621	21137.2133388874	21960.0996084452	20609.737318635	20352.5079008416	20226.5087598812	19943.552114494	22219.1180172556	22582.217603564	22013.7043742356	24466.2894954469	24278.8007402765	22731.4140523744	20649.7117596177
A0A087WQH8	84891.4826310752	79055.4928093637	69254.3044875573	74593.77294414	71611.9716025248	78739.4897287603	80406.549843813	86845.4818179935	77951.8117241694	93518.6974388838	70709.8487310759	77002.7224808721	83008.2210371476	74412.107282632	80491.6576170331	87361.7230639155	82296.0270634302	79676.5785467334	76103.3738149859	75286.8007191004	85492.8969210805	79375.5292560056	82194.4134633657	84894.6239011489
A0A087WQN7	155885.969702039	146267.436793982	141086.31772133	136204.56915795	141922.883080165	136529.357069172	151399.710780891	142420.505643493	145189.769672599	138064.062151346	131995.536796055	132273.646044761	132539.054943461	121292.066577592	136377.059834686	136245.631421936	140641.674649599	140367.725208676	131911.250227228	135125.363812381	137682.49602506	124666.957233166	138538.297144049	132808.572933493
A0A087WQS0	835938.144271109	865046.864376511	858124.378670411	841683.53372464	869069.500694378	892286.931744478	874693.090504349	899646.760690357	886700.350890566	888075.041040236	864708.310618802	882086.005623085	898670.11749455	926582.594283924	929608.948399199	923867.028191845	909482.893584626	925168.617890827	916645.960086106	917668.12014445	898843.107575711	892234.36107178	905594.573915469	887843.155852325
A0A087WQS2	1143699.50079544	1110626.67025009	1084720.12759723	1077090.52604683	1083358.76556324	1086059.07152097	1096034.38072574	1058552.51201437	1071522.7739998	1112874.8767566	1033576.7560337	1043497.54477179	1052965.28317123	1029821.57127027	1001398.44796811	1034512.49558195	1055941.58810846	1048702.499527	1022723.77851661	1022492.66303948	1039341.57278038	1008663.38804488	1036757.21021589	995914.767434969
Q3U607	380384.836244144	373414.674794994	373470.068200677	378800.161846424	391510.120531883	375480.980165675	366709.528994775	358396.349014947	365479.67039433	372498.321497481	368530.097325173	365713.868946098	363026.248609647	353615.751511075	343938.034191083	354412.778333252	380826.131782101	385736.622578176	373068.987880089	378493.855150801	366785.903744263	348849.34274051	363545.83437353	338960.575400291
A0A087WR24	126772.99998443	126887.444945273	131382.038204293	136675.456267487	138300.639300598	130075.260066624	136489.87068743	137715.632650688	132081.095259313	137113.649844917	130306.926292842	130709.428425941	131093.54958828	131334.18049362	131875.688047867	132341.34513381	129912.203950563	129290.530554776	136325.849583799	129216.180847763	133373.893811489	117568.965625224	129359.19064079	129380.003450132
