ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
A0A023T672	cosine	24.0	3.0	18.0	284142.0451983793	21971.340923560914	3.0	63.0	316430.822197	239782.18861100002	76648.6335863	1.3196594126999999	1.1337886427500001	0.28471690049293835	0.0256371939762934	0.7178414313362151	0.3626373626373626	0.3608494733168239	0.7716295020290198
A0A024QYR9	cosine	24.0	18.0	21.0	56443.01945889785	3254.0967984318177	15.0	39.0	64699.3144411	46767.6284411	17931.6860001	1.38342089599	1.05264739698	0.2181993587179568	0.06761446149507122	1.8932049218619944	0.6813186813186813	0.6751896193330804	0.9608913072311831
A0A068BD34	cosine	24.0	12.0	18.0	33705.727360018864	3067.5757548158863	18.0	30.0	39270.548568	28818.902594200004	10451.6459738	1.36266634164	1.1599145960100001	0.06745406256199317	0.32211541368864505	9.01923158328206	1.0	0.9995047099506483	0.9999875131219614
Q3TBA3	cosine	24.0	3.0	6.0	102452.05234031769	8083.797135780584	51.0	6.0	117610.702625	86262.8622276	31347.840397099997	1.36339902929	1.1203755161700002	0.2783741142103382	0.0283411053804827	0.7935509506535156	0.3866133866133866	0.3866133866133866	0.7985357509848036
Q78ZJ8	cosine	24.0	3.0	6.0	717295.2108171462	42768.94598981242	51.0	6.0	794049.710638	618481.917855	175567.79278299998	1.28386891793	1.0628426354	0.2932207336348896	0.022353887279688556	0.6259088438312794	0.33266733266733267	0.3261762126717124	0.7459642269005172
Q3UM80	cosine	24.0	3.0	12.0	26027.452601223198	5458.952621677309	51.0	39.0	41080.979272000004	18493.6663773	22587.3128947	2.22135397243	1.3195338964399999	0.2995073888302339	0.02016114215609676	0.5645119803707093	0.3016983016983017	0.3016983016983017	0.7137405416263505
A0A068BFS4	cosine	24.0	3.0	0.0	24463.812304909723	2214.083932218225	54.0	9.0	29365.2069181	20825.522166599996	8539.68475149	1.4100586138100002	1.1725896400700002	0.17444777823847862	0.11618577088949705	3.2532015849059173	0.8691308691308691	0.8602821857025006	0.9999875131219614
A0A068BGT0	cosine	24.0	12.0	9.0	191267.751682836	8132.95276939082	27.0	6.0	204884.920221	175310.968991	29573.9512297	1.16869424315	1.0724441867399999	0.1683092910639584	0.12460960164846765	3.4890688461570933	0.8841158841158842	0.8805511916821329	0.9999875131219614
Q14C53	cosine	24.0	18.0	15.0	88613.97388654172	16170.282930945204	24.0	39.0	120678.223353	58906.73747669999	61771.485875900005	2.04863193112	1.2750541416399999	0.3792278912373914	0.0047130610613636895	0.13196570971818328	0.1048951048951049	0.09377669223324708	0.429315553394481
A0A068BIT8	cosine	24.0	6.0	3.0	118273.0733476922	19116.236797288824	51.0	0.0	160331.488953	90292.9229991	70038.56595389999	1.77568167723	1.27190931257	0.11506130054027312	0.2154327694040179	6.0321175433125	0.983016983016983	0.983016983016983	0.9999875131219614
A0A068EW80	cosine	24.0	15.0	0.0	880061.8028348489	29506.829774602837	39.0	3.0	929987.7568059999	812643.330645	117344.42616199999	1.14439843623	1.0436972143	0.2995073888302339	0.02016114215609676	0.5645119803707093	0.3016983016983017	0.3016983016983017	0.7137405416263505
Q7JCZ1	cosine	24.0	3.0	6.0	514016.8959584415	47937.76637195451	27.0	6.0	613398.834933	426429.236322	186969.598611	1.4384539864700001	1.15838689845	0.5010734055786088	0.00030139482958367174	0.008439055228342809	0.007992007992007992	0.007992007992007992	0.10803381016146975
