"Decile","WT average","WT proportion","CKO average","CKO proportion"
1,4.29855130346068,8.91608391608392,4.3025760288179,11.1888111888112
2,4.61926757654201,6.81818181818182,4.62416916864863,16.0839160839161
3,4.81137744505968,6.99300699300699,4.81679507672476,15.9090909090909
4,4.98169105820505,7.69230769230769,4.98783907528394,20.1048951048951
5,5.1499858076235,9.09090909090909,5.15429559889921,21.6783216783217
6,5.31008564061535,9.61538461538461,5.3160517955141,27.0979020979021
7,5.47424359923933,9.61538461538461,5.47259375436947,27.7972027972028
8,5.66682883555951,12.7622377622378,5.66135209432319,30.7692307692308
9,5.910741546822,11.2084063047285,5.90991559885928,29.7723292469352
10,6.33975267872442,14.1856392294221,6.33537552649609,31.1733800350263
