"Uniprot_ID","Protein_names","Gene_names","pVal","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"Q3TNL9","NADH-ubiquinone oxidoreductase chain 1","mt-Nd1;ND1;Mtnd1",0.0147585941311663,24,15,24,125585.314449693,140974.312687025,130567.034331068,114021.325549942,115354.587805745,113600.620737944,133419.29254341,136905.884935558,127853.472015106,128024.2049518,128156.208227586,124893.029011062,127445.369670423,131636.794990013,132449.588996163,137590.130837777,122724.985576719,121818.176514504,114931.907769621,131443.262796117,121344.65343795,135152.164560217,131900.654782646,133306.98346304
"A0A087WNV1","Arf-GAP domain and FG repeat-containing protein 1","Agfg1",0.0191269998651115,6,12,24,138805.138239579,139553.468998538,138713.532923515,145638.278864964,139587.723102596,138416.461835543,130195.407001892,134312.493734037,131453.484750421,137368.401153106,130899.433560683,126647.391695352,120933.833997388,123592.143884934,130971.176157969,130548.096328875,132879.464876607,140496.936131798,127689.297496436,132387.668459822,129201.371102525,129522.234296957,128656.87115987,134010.301060273
"A0A087WR24","alpha-1,2-Mannosidase;ER degradation-enhancing alpha-mannosidase-like protein 3","Edem3",0.0118852581052723,9,15,24,122673.354498837,123673.860639288,131041.457448997,129343.532735278,134124.59218156,126476.996049279,129369.381968492,127857.065350983,132584.684137015,137217.151973001,139880.337239603,131855.800031674,129867.963280202,129622.056609294,125566.495109765,126130.330590131,126521.030940701,127209.124718039,134430.294768147,127917.616118173,131944.942351211,131889.454165295,123874.281422759,126842.112903812
"A0A0A0MQD1","Tudor domain-containing protein 7","Tdrd7",0.00366318366726206,15,15,24,244022.113432798,263658.51236943,255696.250034805,260086.67737523,267836.110611429,273278.602767849,273157.084797693,274563.92515227,268063.772960156,257301.274201247,280608.235922089,270379.915996112,282360.877697549,276011.235990522,275973.957408512,265487.092836767,268269.646507133,268776.076477092,269422.23483409,289363.434268835,289773.794950364,277854.923204122,282243.157192786,267128.812029897
"A0A0A0MQD7","Ral GTPase-activating protein subunit alpha-2","Ralgapa2",0.00270190432285782,24,12,24,22016.8880039598,18664.2821288781,18658.9905639286,18586.9172842534,21106.2697922704,19255.4345972443,20759.6822609969,22341.811850563,23676.3247849281,19531.578243373,15671.9766762355,18633.9156213189,21592.6859650853,18149.581899046,21722.5432178242,25708.7299132462,20341.5045711273,20624.211985263,21786.909065264,21507.0830929779,20390.3075448345,19693.9869300132,22049.5989202802,21753.5243358415
"A0A0A6YVU8","Proteasomal ubiquitin receptor ADRM1","Gm9774;Adrm1",0.0135739999042727,9,12,24,324300.472415069,315347.119738168,332521.432002092,352648.69565455,312617.57912609,315795.123548017,296235.41999715,299539.542322948,327628.149370572,294380.903272675,320238.676601849,298121.259913532,305126.757592773,310180.505626001,307737.285504894,309334.095112046,333689.506315299,330578.997864789,324418.28448202,331556.877109443,330078.746651643,317790.245621308,272162.749942727,294753.52328805
"A0A0A6YW06","Protein enabled homolog","Enah",0.0442401584856647,9,9,24,346598.278155551,330046.637206457,352621.90400018,335837.571569389,343100.474299436,334252.289287087,333457.330806131,339622.775842057,351080.083147631,334881.796154692,344176.424780062,333080.214023683,341352.983021502,325547.26302316,335566.053665292,309167.98044642,352323.368339983,340521.710469222,340279.980034648,336453.578108749,345014.132425122,324554.730546936,334553.413406599,331007.03487585
"A0A0A6YY83","","Pcdh7",0.029283003136243,24,9,24,524518.652950443,548267.103314144,543478.289603089,546962.41750833,554680.448992545,541890.298780262,582053.779759147,587437.798344653,610121.833311188,595634.30703095,579497.941272387,573561.231014877,606691.841813977,586508.493658271,600501.815232946,615971.065386161,581849.651144328,587294.580250247,564211.845001064,569869.599385938,573195.651357907,578003.428075843,586436.871793167,582095.16609456
"A0A0F7DDK0","","",0.0260236226386263,21,12,24,51067.0865190985,51824.7733886009,51100.6513520003,44713.4754048397,48241.9380215297,52232.7663163818,52209.3811788668,55590.7184623202,45177.6541078583,47847.4721250825,38305.7226604403,47936.720977598,46104.5551338073,51154.361813244,49002.0591277364,50181.0197943129,50956.7244652615,54263.6483624719,43301.3100960546,57718.1778630575,50765.2587972386,56479.2557442205,59187.6481766433,53413.2028133293
"A0A0G2JEK2","Cysteine-rich protein 1","Crip1",0.0354386981131972,15,15,24,1107807.3551524,1112161.20113835,1047085.59757732,1120632.01365811,1194129.20431889,1192814.52450521,1144616.75095513,1277532.99584075,1143704.04879684,1014905.30225104,1036832.97282383,1285184.38718234,1394905.61718822,1263757.41182876,1171744.59018993,1239670.5342505,1140048.46044863,1305059.32296491,1317905.0769532,1165538.00731463,1259765.90603471,1230070.3129533,1181569.18096808,1189319.61440563
"A0A0G2JEP4","Leucine-rich repeat flightless-interacting protein 2","Lrrfip2",0.00721907775566076,15,9,24,165044.647905702,156571.499206188,161366.371604541,162710.447220865,162884.457873165,162322.994918078,160930.914588613,155764.171000606,156690.886630936,159298.788787967,165051.982829483,165478.570359685,162633.767310657,159267.900431879,161566.67558221,152236.177428526,170341.873443889,160501.584667024,159506.593380437,161914.185917057,165542.382397334,152541.614824974,164194.075866259,158924.77809169
