ID	CT0	CT3	CT6	CT9	CT12	CT15	CT18	CT21	CT24	CT27	CT30	CT33	CT36	CT39	CT42	CT45	CT48	CT51	CT54	CT57	CT60	CT63	CT66	CT69
A0A023T672	304805.444578864	298735.852278264	300108.314333168	315418.478587243	310911.483188157	314250.688845531	314783.16893162	309217.084367907	310273.871162063	321282.215033948	282067.36810355	320658.557453232	296069.838234667	299329.012702525	296018.988221238	288907.376822101	290797.055467699	287261.63134065	287556.457894489	273335.970277571	285016.360580752	276251.476471231	275822.15212373	277517.654783652
A0A024QYR9	62767.7425575096	64403.8226310984	65440.498192611	67941.9615683601	64855.0702031367	64150.7539191734	61843.2865423732	64564.8435315907	63852.6526591948	62023.3500481973	69320.0373434678	63219.8898861085	65975.0309755239	64572.9781178331	65555.4124930888	61087.3112676944	65338.955608469	63312.7772787164	59469.3841841404	60174.2855256547	64317.2429180363	61678.7041582256	62976.1520669373	60653.3128867032
A0A068BD34	35114.8576605321	39523.2975702457	33343.728683571	41651.3174192081	31246.2928709975	29056.4742665837	35760.5305412373	37829.3226707992	31114.7635321613	32914.2408308379	33221.6254377451	33131.7413300338	34042.790064191	32676.5719897889	31460.6260286337	30661.8963105317	30362.1454516485	22013.0774035624	32453.4762240137	29293.1916663122	30769.6077602583	29722.8026441742	31490.1923037156	26606.0346341208
Q3TBA3	63430.0354410001	73708.087535551	65428.222207141	67572.2882616581	67625.9389617927	66301.8131271421	66685.0526163518	75508.6206042789	59145.3416225141	58462.2266935994	54746.6272541272	53687.6735618053	60688.1413096931	61870.2984469184	60565.0855923795	62581.159750039	62039.9575865303	63499.0273514144	53244.541236487	67435.4301861543	62621.3457775804	68702.3842673232	61853.6291032759	65767.7553773789
Q78ZJ8	677616.469046741	722585.967027359	710308.701015727	700233.959414653	651524.944268138	655896.943518043	680056.874912987	727593.638723725	747779.173440033	703246.823701476	744329.897405089	682118.121632471	746608.561512192	718338.909885468	747954.068319666	734699.303615691	740769.905750188	731979.882226016	746272.714824158	768596.138152702	741883.530642552	768201.074909035	756460.203747768	779516.619474742
Q3UM80	20004.2397803127	21734.7572592062	22069.8144226333	20824.7575514814	19647.8263166101	20920.1964013065	18735.4571178992	20571.4332302255	18206.3779253219	14249.6058191195	16319.8676777453	16254.9982948683	18196.6996513292	18827.8145607074	17469.044361494	17137.8666818223	19585.5557969137	18905.4076483735	20434.3741336101	19793.0216763323	19189.7378840918	23118.8176216291	18247.9182468518	21659.9570424135
A0A068BFS4	27340.2230803724	28627.2166878963	27423.2922074138	30737.4694018164	27135.4268200401	31152.5580115473	27178.0732841145	29116.754164347	29295.9219969095	20537.1814624774	26783.6821938982	19178.0921213272	24689.7737867497	17839.7135643731	24358.3780380887	21582.610255382	29766.6614601981	29335.0625447964	27393.5754739255	27846.5765023188	26267.4399158539	26837.7504023984	24622.9825374933	26380.5053547986
A0A068BGT0	174003.639972051	187124.090876983	184640.887473235	173467.878347448	180067.450732413	174555.850996061	181981.347467913	189038.1442049	198959.189460777	188435.957969015	205211.479989841	185794.640180104	205267.678873721	193844.187570517	205256.302651777	194907.476887728	196706.623171507	195944.524816323	184931.959335578	193289.197685118	194198.612282902	199136.558032071	193554.930359226	197654.120543918
Q14C53	68405.642173559	66786.1251289854	75527.9034203958	50782.4220019823	61884.7634708572	47948.5212929131	64446.3514239479	57706.4367136194	72224.9601071383	61403.6149803792	69097.2021942731	57765.064812707	70570.6664466901	65559.5913372744	72655.8102287868	73011.2099566218	69603.5901069587	70638.9683245684	55352.6118500167	66273.0614872906	57671.0319245198	63787.6879297226	54188.7755810613	61521.9862830413
A0A068BIT8	88059.3381325454	85605.057723779	88304.6842307294	89035.702427775	91700.7739500396	85379.2644809899	94275.4683375041	82211.9999998869	80925.9776545455	84681.7891766755	87747.5351661392	85112.7505686242	88354.5209854538	93798.7577264597	94461.6440080108	91376.5524001883	97182.845406645	91724.0590022468	93040.7662086627	99119.9142192657	101420.369200843	93987.8795617208	98140.1214973918	90122.2939405176
A0A068EW80	758996.199622582	787867.950836324	786217.065089723	812751.456441824	832155.779214787	825148.895012468	826486.098649826	817925.650444757	815737.077189089	801864.451923883	804692.24219087	811466.258850129	805898.985062115	820528.468510971	817590.783074602	803105.254911102	800945.696531192	797077.459473843	771273.217214127	808424.587941366	802079.145233329	796509.650645392	754798.454742122	765935.932399706
Q7JCZ1	442800.151835431	482809.660121632	448349.259202284	400078.833640252	426002.97142561	388492.497556842	478505.342524244	494501.497370433	499729.568275156	467502.172278739	470490.800880051	449659.758318295	490693.210115727	483498.701476921	507516.388448472	524128.056837465	459244.787611912	504671.87069503	462515.952533133	503312.917433599	465869.182255516	527643.693493955	511945.723899199	492620.565303283
Q3TNL9	125585.314449693	140974.312687025	130567.034331068	114021.325549942	115354.587805745	113600.620737944	133419.29254341	136905.884935558	127853.472015106	128024.2049518	128156.208227586	124893.029011062	127445.369670423	131636.794990013	132449.588996163	137590.130837777	122724.985576719	121818.176514504	114931.907769621	131443.262796117	121344.65343795	135152.164560217	131900.654782646	133306.98346304
Q7GIP5	13766.9520093531	15864.9198142187	14756.8774966426	13454.2216964302	11411.0556043698	14445.1653194858	14784.6583020647	16465.2409262016	15417.604260286	15141.8890780119	17206.2032368432	19045.2657803774	17822.7269759748	16499.3843823674	15169.7387048072	19456.5626574624	14862.6460294893	15330.0037238151	13490.3384594446	14880.8064988457	12834.2005063687	15849.3222215333	15812.2035628717	14217.4580533685
