ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
A0A023T672	cosine	24.0	0.0	21.0	297349.85424099385	14680.545989104969	27.0	57.0	321282.215034	273335.970278	47946.2447564	1.17541139832	1.0823286136	0.10723104044539238	0.2314422767873972	6.480383750047122	0.99000999000999	0.9893781982457348	0.999575306459174
A0A024QYR9	cosine	24.0	12.0	21.0	63728.97735682687	2294.8738772028273	30.0	54.0	69320.0373435	59469.384184099996	9850.65315933	1.1656424275200001	1.05345737626	0.21237337115470045	0.07298545049751573	2.04359261393044	0.7092907092907093	0.7092907092907093	0.999575306459174
A0A068BD34	cosine	24.0	9.0	15.0	32310.85855395432	3944.428943559276	9.0	51.0	41651.3174192	22013.077403599997	19638.2400156	1.89211697463	1.11026368752	0.20158236903314908	0.08378779091821886	2.346058145710128	0.7682317682317682	0.7596683727258626	0.999575306459174
Q3TBA3	cosine	24.0	21.0	0.0	63465.44516133901	5398.525019627517	21.0	54.0	75508.6206043	53244.5412365	22264.0793678	1.41814764201	1.1111796922900001	0.19597397046916534	0.08985625322931617	2.515975090420853	0.7982017982017982	0.7838531637637025	0.999575306459174
Q78ZJ8	cosine	24.0	18.0	15.0	724357.1844652756	34382.25006988311	69.0	12.0	779516.619475	651524.9442680001	127991.675207	1.19644938591	1.06332392588	0.16145345864562208	0.13451203512311516	3.766336983447225	0.9070929070929071	0.9052780603184181	0.999575306459174
Q3UM80	cosine	24.0	15.0	18.0	19254.397795929108	2024.9917597263095	63.0	27.0	23118.8176216	14249.605819100001	8869.21180251	1.6224180454600001	1.14381661399	0.14643453225998282	0.15805277010113494	4.425477562831778	0.9440559440559441	0.9410079541627369	0.999575306459174
A0A068BFS4	cosine	24.0	0.0	18.0	26309.45505285569	3425.7571558237432	15.0	39.0	31152.5580115	17839.7135644	13312.844447200001	1.7462476569	1.17930420974	0.2731092190440679	0.03076206232850685	0.8613377451981918	0.4065934065934066	0.4065934065934066	0.999575306459174
A0A068BGT0	cosine	24.0	12.0	9.0	190748.86374504695	9311.2413105937	36.0	9.0	205267.678874	173467.878347	31799.8005263	1.1833180922600002	1.06879374043	0.213191768681014	0.07221183733783956	2.021931445459508	0.7042957042957043	0.7042957042957043	0.999575306459174
Q14C53	cosine	24.0	0.0	12.0	63950.58329905459	7290.240931109784	6.0	15.0	75527.9034204	47948.521292900004	27579.382127499997	1.57518733391	1.22168419053	0.2657278887996337	0.03444220575113408	0.9643817610317544	0.44655344655344653	0.44655344655344653	0.999575306459174
A0A068BIT8	cosine	24.0	18.0	21.0	90657.08608360996	5235.330428612629	60.0	24.0	101420.369201	80925.97765449999	20494.3915463	1.25324861238	1.0743944905	0.35363344343944725	0.007739367090787957	0.2167022785420628	0.14685314685314685	0.1396650394666911	0.999575306459174
