"Gene name","WT pVal","CKO pVal","WT Relative Amplitude","CKO Relative Amplitude","Protein name","uniprot","amplification","logamp"
"mt-Nd1",0.0147585941311663,0.0169196910313161,0.198796737797559,0.238008353801864,"mt-Nd1","Q3TNL9",1.19724476587858,0.0781829470677302
"Crip1",0.0354386981131972,0.0228484938431872,0.325435193625441,0.159147316943988,"Crip1","A0A0G2JEK2",0.489029213992013,-0.310665195893657
"Cd1d1",0.0326901050505681,0.00255663263028529,0.184920552782346,0.229256091916692,"Cd1d1","A0A0R4J090",1.23975452413085,0.0933357017999942
"Spcs1",0.0170245099485623,0.000389121307828349,0.199799374158175,0.312325860203084,"Spcs1","A0A0R4J2A1",1.56319738997693,0.194013821247036
"Rbbp5",0.00924961567214477,0.0465546475485923,0.14561531248789,0.105359831123938,"Rbbp5","A0A0R4J2B6",0.723549119414898,-0.140531980693198
"Pnpla6",0.00249564972342233,0.0136664698685461,0.215795145847369,0.293079473923094,"Pnpla6","A0A140LI54",1.35813747233401,0.132943731987445
"Vdac3",0.0421585530782038,0.0119286665825427,0.165415133228811,0.274605277349001,"Vdac3","Q3TX38",1.6600976705629,0.220133640171789
"Taldo1",0.0224624499677591,0.00699348157579636,0.0819451799407792,0.0894180878031332,"Taldo1","A0A1B0GR11",1.0911939892957,0.037901965062681
"Pls3",0.0322663436536382,0.00139598390014321,0.0920002909813728,0.0991371228280455,"Pls3","A0A1C7CYV0",1.07757401384869,0.0324471096468178
"Asph",0.0177483242007205,0.00136345455487652,0.169730207680203,0.235060842550412,"Asph","A2AL85",1.38490870754899,0.141421145880998
"Rrbp1",0.0033275329645631,2.47730020287471e-08,0.13889583487464,0.176840431410529,"Rrbp1","A2AVJ7",1.2731874326551,0.104892343147614
"Rps16",0.0127464921538957,0.00202026966814515,0.0870500746643426,0.289757990821877,"Rps16","A4FUS1",3.3286357529176,0.522266273632821
"Abcc1",0.0321066534817878,0.000195304345333947,0.145180431561498,0.141988116853135,"Abcc1","A5D6P3",0.97801139813384,-0.00965608374227046
"Glo1",0.0303683234387183,0.0242708387606171,0.0621139427563411,0.11208527977746,"Glo1","A5GZX3",1.8045107878137,0.256359482723571
"Bag3",0.0290905950113025,0.0260854257690105,0.0818497711909472,0.112676275192197,"Bag3","A6H663",1.37662297099566,0.138815012125623
"Creld1",0.0419559997041156,0.0358785620040354,0.167215134009068,0.223780418570757,"Creld1","A8C1T7",1.33827849911373,0.126546500608464
"Lclat1",0.0340265645093073,0.0249975181948314,0.249158823400208,0.324752424842667,"Lclat1","B0V2Q7",1.303395241681,0.115076131178947
"Clta",0.000193467392346384,0.0345115164894434,0.109586475743375,0.142430600086063,"Clta","B1AWE0",1.29970965048279,0.113846343632313
