"Uniprot_ID","Gene_names","Protein_names","pVal","CKO_Relative_amplitudes","phase","peak.shape","period","X1.KO1","X2.KO1","X3.KO1","X4.KO1","X5.KO1","X6.KO1","X7.KO1","X8.KO1","X9.KO2","X10.KO2","X11.KO2","missing_data","X13.KO2","X14.KO2","X15.KO2","X16.KO2","X17.KO3","X18.KO3","X19.KO3","X20.KO3","X21.KO3","X22.KO3","X23.KO3","X24.KO3"
"Q7JCZ1","mt-Co2","Cytochrome c oxidase subunit 2",0.00637768593865484,0.320778243494737,3,6,24,551042.559447569,575286.74020338,455185.278964165,513422.482256592,465616.541982587,483928.085572185,594569.097646361,550061.605395167,558182.033510083,654296.410609026,489298.101448356,507213.722141972,524307.641487429,500066.90313596,550179.227368383,618621.441930981,621283.241234348,586933.516515251,533473.328351493,519898.648817325,595108.608654234,528950.150139908,598288.139618853,588519.165860079
"Q3TNL9","mt-Nd1","NADH-ubiquinone oxidoreductase chain 1",0.0169196910313161,0.238008353801864,24,18,24,144560.277808389,143301.846818348,126475.112213645,139413.509546597,123437.401805683,123904.585737629,152754.429686042,146709.9918146,136831.092539073,142394.028266937,126280.180546174,128834.207433335,131271.093677015,119676.431311859,136982.587172157,141006.288971431,138918.844465243,148644.982770414,135718.924424624,126684.844086307,145744.493981338,135265.654388373,148465.754415569,145238.797168801
"Q7GIP5","mt-Nd3","NADH-ubiquinone oxidoreductase chain 3",0.0145749944091962,0.320963124752129,21,15,24,19956.1131716853,17533.5821535467,20149.0923378417,16312.7162125859,17178.3132160459,17323.7513421833,23052.9248729102,18683.0172515327,21444.2220195435,21789.7686024682,19751.3512631754,19366.1558993524,18998.6275511004,17323.0678287001,20672.7564008399,20669.5880560617,22394.042028407,20495.9273915661,19981.3352746658,18811.514653525,21737.2612051844,18395.9415414217,22856.2071108467,21562.4286448922
"A0A087WPP8","Abi2","Abl interactor 2",0.0094032221994814,0.25574285490079,15,12,24,24400.5007491993,24817.3971499472,25988.4560152074,26092.5224522125,26696.8957775772,26902.5515710959,24154.0389327223,23998.0333196983,19917.9610545185,23170.217277165,22271.5565194579,23216.2631305098,24117.6406987564,22640.3779966587,22350.1018110357,22211.5187302924,21904.8720525415,24400.1484273561,24806.2553507842,24177.1836901092,26872.5592429675,26667.2963489211,24964.6731755182,22680.4833468193
"A0A087WQH8","Slc35a4","",0.000207286491799697,0.287700240956692,24,9,24,78632.0993773749,73220.095541436,64164.1670572781,69105.7191783772,66343.304420538,72942.7668557049,74469.1948633623,80442.2794490669,72189.8324161689,86583.437035825,65496.911991038,71318.2719280054,76872.6347349189,68929.4741156823,74535.4005507156,80896.3009825171,76219.6512506148,73781.2838694008,70493.3924993723,69723.8406658191,79180.9724930377,73517.0834790402,76118.7437375539,78626.3978568889
"A0A087WQN7","Xrn1","5-3 exoribonuclease 1",0.0332153537610982,0.173771940980412,3,15,24,184279.029051368,172893.643239684,166826.032605997,161040.914328973,167801.9592692,161416.830731714,178954.824288385,168361.504092569,171600.614735298,163136.079977566,156039.002628176,156351.14239424,156648.965845454,143392.606774674,161170.682297298,161013.785766406,166239.831207853,165888.303639565,155940.639288009,159710.073026797,162743.068874469,147362.156348333,163738.998288726,156981.065918109
"Q3U607","Casp8","Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10",0.00626980241838151,0.114660259001261,6,18,24,453363.783627872,445017.918672983,445235.173082137,451553.745158448,466704.874937771,447574.624296644,437013.951951774,427158.04714707,435512.944122246,443760.574572463,439240.018218448,435837.088025214,432590.233492171,421483.896406683,409807.541028613,422284.23380936,453840.073249867,459615.235933369,444653.445271447,451034.023705511,437110.708563658,415745.499131423,433208.027513027,403947.93351017
"Q545H7","S100a13","Protein S100-A13",0.0191269998651115,0.136070294984576,6,18,24,318605.36358895,326273.033973927,318955.788733665,326221.077629632,320502.150921502,326552.81257557,310729.253411794,322516.641988473,337632.61726915,337518.221580748,335949.381581212,327405.458492254,319253.403105836,338268.217430738,313917.290843068,316047.775638057,335150.26529192,350660.609532669,329794.97130745,317066.610238738,297332.800654265,303260.919270795,322696.619789959,301284.629511619
"A0A0A0MQD4","9530068E07Rik","Keratinocyte-associated transmembrane protein 2",0.00440364029097596,0.400416288179674,24,12,24,118825.553532175,114595.513638849,111667.608086353,115476.255112593,117859.648050813,105236.217689162,126446.187095204,125090.491668815,127815.807721707,155015.527745196,110675.091860714,113428.004513284,116054.654611145,131846.500811138,117583.065069276,148468.102483771,122232.264169174,116724.816229613,117082.833239002,112380.59516823,120712.807396051,109074.829684983,124897.161695913,121848.383882652
"A0A0B4J1E4","Gpr39","G-protein coupled receptor 39",0.0365575901490996,0.173673599082168,24,9,24,80354.6241082478,82327.4493280705,75970.0345225745,78877.636104927,76685.5723181164,80671.1487672459,86964.6602357359,84982.9655360454,90015.5664678155,89174.0887426608,82686.410571506,85255.2447944241,87706.2592342452,83612.6427544993,86803.4454396715,87504.6454411111,93543.6332174935,87176.0786455162,80802.0243456675,84746.9030255275,87196.6248274151,99738.1677756347,90749.6155269033,91548.8941198647
"A0A0F6AIX5",NA,"UPF0554 protein C2orf43 homolog",0.0181997645551084,0.131893977333238,21,12,24,299516.507194193,303606.348880544,287112.550100573,309010.544873248,289890.26388017,280875.181150848,313425.023698657,304800.621491646,304194.453388241,312133.532890037,288432.500167973,295613.182871773,302464.523000213,298616.560491623,309714.643310314,321945.456532568,304670.940925937,298189.992656638,287485.967968635,298021.06455253,302312.461238026,330947.048549963,300117.172932323,294204.683925921
"A0A0G2JEK2","Crip1","Cysteine-rich protein 1",0.0228484938431872,0.159147316943988,18,9,24,176578.82256902,180161.90539184,186420.460868871,182121.435725238,190772.286998419,193258.233667753,194755.156033654,203117.940779395,181057.073415308,187907.104916751,199884.70384045,198951.848186087,198061.77802947,216236.279239512,193750.915222099,200989.682718611,191325.518802307,193409.762153298,213761.043793487,201686.992188144,203874.616867141,228559.803275754,214065.383577211,225662.319375043
