"Uniprot_ID","Gene_names","Protein_names","pVal","phase","peak.shape","period","X1.KO1","X2.KO1","X3.KO1","X4.KO1","X5.KO1","X6.KO1","X7.KO1","X8.KO1","X9.KO2","X10.KO2","X11.KO2","missing_data","X13.KO2","X14.KO2","X15.KO2","X16.KO2","X17.KO3","X18.KO3","X19.KO3","X20.KO3","X21.KO3","X22.KO3","X23.KO3","X24.KO3"
"A0A023T672","RBM8","RNA-binding protein 8A",0.203984352444489,6,18,24,322508.959915601,322924.961860351,320207.458002274,310751.205498818,311183.13548077,313773.104059404,293648.660117049,290898.958788302,308669.267326577,306020.85156778,300976.854139569,296457.419135288,292145.268371918,292707.358879027,282950.186546103,265127.650865221,271437.46407594,279194.628272215,287006.334966324,267008.754442558,274005.932136328,244705.097318667,249434.505343858,255690.691991272
"A0A024QYR9","Pten","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",0.937479009711187,18,6,24,46209.1714643753,45525.0400187471,48172.757355622,45898.9975332765,46169.3652464955,52989.7929364609,48210.6916377531,42728.4455700057,44658.5340477979,46891.1171067281,45347.3691003934,45894.0810648071,46415.7180420967,38301.0473038149,46382.6057150918,46751.2991707752,45714.9668749814,47725.3988143804,44519.5886100815,49772.2354327345,43775.7473649392,49742.5683440416,46096.4772516637,45346.0335117761
"A0A068BD34","Rgl2","Ral guanine nucleotide dissociation stimulator-like 2",0.730956825588945,15,9,24,48253.6407813841,46818.2440142229,47382.3710198116,46614.3013396602,48072.5800021237,48610.0367028427,50535.3813061238,46497.1160253733,38332.6398169109,40781.3960999148,37090.3754908835,38763.0775175776,40359.0609346343,37987.645860601,37811.2304382726,38419.5398287502,45507.1498460438,42444.4257977755,44230.3192974903,45046.8841452584,44861.1705519846,42486.8309936695,42252.9962339469,41867.8990840866
"Q8VCR0","Rxrb","Retinoic acid receptor RXR-beta",0.916698082568342,12,15,24,11289.1366284477,12401.3593266609,12382.9499050454,12850.4006166513,11896.6972896494,12978.8506925145,12176.0358779924,12058.5448313921,11487.727098558,10284.3814081507,11019.2661356039,12411.9188602574,13740.6974584746,10380.2383971809,12275.7037848649,12407.9133192614,13136.2229241926,17335.5317817251,13550.7351337586,14134.5034580551,12791.2664091693,11782.8033006169,14341.0835267015,12770.2168537165
"A0A068BEP2","Angptl4","Angiopoietin-related protein 4",0.204472976334113,24,9,24,209934.769673173,203073.647469539,216821.375929192,231649.988376788,224829.248435358,218191.38592211,252725.898115794,246082.033491988,263370.505054548,266580.07242198,251362.055904314,258074.669074083,264479.407714378,247266.445401721,284968.685077258,306560.188775823,260554.704055928,259347.927149419,260410.934658437,261363.496071524,259655.030988223,266740.269554225,273646.774160586,318368.544528019
"Q3TBA3","Tap1","Antigen peptide transporter 1",0.278248968802502,6,6,24,97940.6943350568,105856.552696417,94581.502004159,107081.315168726,100934.890236021,101470.001449928,109453.92076887,110471.409160647,111440.301345457,127005.335237943,111219.445948709,111261.990825969,111302.584379097,109303.962980917,122348.138765803,121684.981953276,123728.349725748,128883.892733249,112964.694584866,109008.828217002,123418.017406131,108634.454543632,116022.557965601,119015.467249298
"Q78ZJ8","Rab11b","Ras-related protein Rab-11B",0.107846369385935,24,15,24,753111.774601188,801862.63135308,702606.404141848,789061.773409609,727788.863624204,751289.462985612,785499.519031123,826553.880271429,841135.394410867,843968.469891051,799993.244819732,801210.736018173,802372.386887315,794478.673020246,839964.477382744,842299.513500638,861720.393141547,901575.550840806,837619.576873296,815635.310148177,803144.134226451,898807.190712763,850485.138884192,877763.091927376
"E9PUA5","Kifc5b","Kinesin-like protein;Kinesin-like protein KIFC1",0.0630967814553726,9,15,24,2700.5109859474,2489.27814195298,2723.96847885017,2280.40622538563,2203.24508424444,2228.16254143258,2644.16238998771,2112.23631537442,1896.2528611962,2310.2475193334,2027.03445752307,2317.51537931961,2594.67337085675,2715.41665859134,2303.920500099,1584.95540773873,1709.58234779885,2228.79307431478,3013.46880633296,2623.75669237241,2689.90150947995,2484.116057081,2128.2705140251,2213.10631596063
"Q3UM80","Wdr46","WD repeat-containing protein 46",0.130734717991409,6,9,24,46617.4632885814,47814.7265154578,35203.02647446,34045.6328194623,35635.0174250713,41015.1882107247,41187.8338342854,36845.0712393795,32826.3678703432,36454.5996328128,29771.2908434092,30756.1113782941,31695.7630421113,26387.0897756003,29529.2219166008,31208.3335975275,40017.1862281646,58595.4835107009,48321.1316680112,47765.8931614895,29703.1610385894,35361.9258612525,36556.0667292288,27834.0994359592
"A0A068BFS4","Ring1","E3 ubiquitin-protein ligase RING1",0.925338254342651,9,9,24,9306.72939283161,9220.53752322089,9195.64047689231,8356.84261139625,9057.34184211119,8755.69177560081,9394.8047729496,10927.5586560876,9767.40203161108,9598.56943642765,10893.4241397425,10399.3647803942,9927.96549230942,9179.7470327264,9479.23790971428,8568.41489126774,9185.02569634271,10777.0051503879,11781.830889034,9983.61033347182,11211.828457344,9534.13022828484,11157.0533169986,9882.89434785841
"A0A068BGT0","Vps52","Vacuolar protein sorting-associated protein 52 homolog",0.930130449407086,24,9,24,221065.785102211,239644.260598686,220838.482940021,230358.099553858,227925.10201422,225464.023891851,238278.837160269,238142.937969715,250454.968210454,257908.940333384,233290.829820188,241938.975640026,250190.4735736,243475.668606282,253472.553277599,254147.78530282,233310.112481952,245615.873195964,241994.027836904,245833.618369082,251008.450906826,248945.090283199,240592.620385622,246674.6561345
"Q14C53","Slc39a7","Zinc transporter SLC39A7",0.0858779547074668,3,15,24,61488.7278718822,65629.4780166857,44378.3368771579,46107.088365019,47040.5265880767,56009.8732273545,64424.7181034343,67597.8059337252,88689.9685560519,62795.1031699967,76643.0442635984,75089.3064554768,73606.8309537779,43303.4107676191,77414.8734165945,54735.1283794298,77873.6989088197,76840.019143874,67263.7142711729,66197.0773558694,60333.0793184635,60104.007977046,78288.1078085339,71297.3400144257
"A0A068BIT8","Psmb8","Proteasome subunit beta type;Proteasome subunit beta type-8",0.782318266052983,18,9,24,123210.857604512,128060.518873774,141906.170980769,141250.669639613,147640.304272192,147091.625682606,151688.278592828,153047.984345099,146728.324373892,147051.987754477,148490.907437573,148331.006971527,148178.440352896,156048.779284355,142080.412078533,143257.377994582,198860.160948393,218722.663182399,209347.976352714,198758.506751327,186642.780603638,175513.927604309,198842.636551194,172308.737552979
"A0A068EW80","Pml","Protein PML",0.0543327401035714,18,12,24,936551.574101644,930369.384046576,950413.763808129,980100.716765787,993629.590704547,1003203.19626652,970511.031095135,992220.10293279,1008530.14571264,1018073.34905355,1044074.93160382,1042493.06015531,1040983.74136485,1064867.35198916,1036570.90894877,1019290.52530535,1006761.72471029,1002920.35764297,1010712.52620009,1019215.65096889,1015361.25887316,1049113.89777493,1023846.00782217,1021562.97025949
"Q3V2T7","mt-Cytb","Cytochrome b",0.693419270110531,3,15,24,34392.0603258467,32536.6700341917,34487.9625722662,37832.4419460009,30233.9784588281,31267.6849930409,37387.0510229164,33486.5014719544,35414.3253814087,39824.222182044,33074.1027387503,34133.2346788544,35143.7894494623,33838.2583728455,33736.7938734751,35375.5978668528,37149.4468862618,32659.0246545764,30853.7592527891,31861.6691073568,38805.6839059557,30379.632974757,32811.7576747186,33930.3825802468
"Q52L52","Hsf1","Heat shock factor protein 1",0.80967097254982,15,12,24,79287.1920666403,78393.1104959401,80796.2859043755,77905.2760386892,79939.116105755,88395.9225445617,77549.6174913465,79698.8766626082,75323.0394074541,76303.6977273897,73842.3543357626,74854.8010022391,75820.8117229558,74762.1703028426,78442.9084056382,74970.9868279461,70200.1327519458,70712.3681157541,70771.7226699643,71780.7832659603,73921.4220118142,71111.9108952769,73282.0441597268,70475.9407246822
"A0A077K846","Alg11","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",0.724705097590381,24,9,24,69166.5049180828,63012.474929305,61742.4169503863,65477.9769901402,62198.3802376894,61768.1515902142,75783.9579251804,66011.5155258815,72470.883091925,84048.474994264,64840.4271760896,68028.555821119,71070.4606958126,63231.2036795955,71029.468748076,73034.3326619927,61631.2884851652,77056.3830661577,65117.0093163768,70162.6269017907,68489.9819232596,70263.2286203508,66600.7932899353,69682.5805430024
"A0A087WP63","Srcap","",0.909684957323445,6,9,24,39410.4584109063,37121.2291550185,38195.9402431347,36732.5363977238,39176.7219304513,36241.4254379264,35668.8555784632,35897.534188874,33060.022413969,34623.6676368916,30882.1531113125,30936.5983240822,30988.5464028983,31334.2161712791,32819.529948787,32578.5061915025,39727.8475549338,48685.2380611967,35498.0087196045,47489.2711649577,29036.2881849898,61160.908219423,39388.502968232,35612.7843144378
"A0A087WNS9","Ly6e","Lymphocyte antigen 6E",0.45251147045024,21,9,24,50915.1687282121,52922.5955660996,56587.3475682228,61181.5407265199,56342.0105165622,52384.2158640993,63171.6963978262,60645.9808829295,60676.4303350014,60560.8399890859,67273.9232659353,65336.8922321697,63488.703278681,58787.3168214719,65270.0278008842,66983.8347576958,53902.6911500969,47106.4946544353,52442.2093822391,54495.4225171319,54218.2428154603,64739.558403508,60673.7076095859,55669.6776330463
"A0A087WQE6","Tceb1","Transcription elongation factor B polypeptide 1",0.153174944453679,9,15,24,435350.098471359,437257.84996827,433886.972392537,429247.721403519,431480.517713382,434363.498758422,415041.552714248,416647.620685722,426655.897357692,415079.222686883,442106.78342675,432794.830525409,423909.971074185,432560.325029407,424252.9857575,418664.728720616,407941.327673486,390872.060073617,427073.808321563,404412.600267663,418571.04706552,411703.287700453,396415.378214777,393348.272531895
