ID	CT0	CT3	CT6	CT9	CT12	CT15	CT18	CT21	CT24	CT27	CT30	CT33	CT36	CT39	CT42	CT45	CT48	CT51	CT54	CT57	CT60	CT63	CT66	CT69
A0A023T672	322508.959915601	322924.961860351	320207.458002274	310751.205498818	311183.13548077	313773.104059404	293648.660117049	290898.958788302	308669.267326577	306020.85156778	300976.854139569	296457.419135288	292145.268371918	292707.358879027	282950.186546103	265127.650865221	271437.46407594	279194.628272215	287006.334966324	267008.754442558	274005.932136328	244705.097318667	249434.505343858	255690.691991272
A0A024QYR9	46209.1714643753	45525.0400187471	48172.757355622	45898.9975332765	46169.3652464955	52989.7929364609	48210.6916377531	42728.4455700057	44658.5340477979	46891.1171067281	45347.3691003934	45894.0810648071	46415.7180420967	38301.0473038149	46382.6057150918	46751.2991707752	45714.9668749814	47725.3988143804	44519.5886100815	49772.2354327345	43775.7473649392	49742.5683440416	46096.4772516637	45346.0335117761
A0A068BD34	48253.6407813841	46818.2440142229	47382.3710198116	46614.3013396602	48072.5800021237	48610.0367028427	50535.3813061238	46497.1160253733	38332.6398169109	40781.3960999148	37090.3754908835	38763.0775175776	40359.0609346343	37987.645860601	37811.2304382726	38419.5398287502	45507.1498460438	42444.4257977755	44230.3192974903	45046.8841452584	44861.1705519846	42486.8309936695	42252.9962339469	41867.8990840866
Q8VCR0	11289.1366284477	12401.3593266609	12382.9499050454	12850.4006166513	11896.6972896494	12978.8506925145	12176.0358779924	12058.5448313921	11487.727098558	10284.3814081507	11019.2661356039	12411.9188602574	13740.6974584746	10380.2383971809	12275.7037848649	12407.9133192614	13136.2229241926	17335.5317817251	13550.7351337586	14134.5034580551	12791.2664091693	11782.8033006169	14341.0835267015	12770.2168537165
A0A068BEP2	209934.769673173	203073.647469539	216821.375929192	231649.988376788	224829.248435358	218191.38592211	252725.898115794	246082.033491988	263370.505054548	266580.07242198	251362.055904314	258074.669074083	264479.407714378	247266.445401721	284968.685077258	306560.188775823	260554.704055928	259347.927149419	260410.934658437	261363.496071524	259655.030988223	266740.269554225	273646.774160586	318368.544528019
Q3TBA3	97940.6943350568	105856.552696417	94581.502004159	107081.315168726	100934.890236021	101470.001449928	109453.92076887	110471.409160647	111440.301345457	127005.335237943	111219.445948709	111261.990825969	111302.584379097	109303.962980917	122348.138765803	121684.981953276	123728.349725748	128883.892733249	112964.694584866	109008.828217002	123418.017406131	108634.454543632	116022.557965601	119015.467249298
Q78ZJ8	753111.774601188	801862.63135308	702606.404141848	789061.773409609	727788.863624204	751289.462985612	785499.519031123	826553.880271429	841135.394410867	843968.469891051	799993.244819732	801210.736018173	802372.386887315	794478.673020246	839964.477382744	842299.513500638	861720.393141547	901575.550840806	837619.576873296	815635.310148177	803144.134226451	898807.190712763	850485.138884192	877763.091927376
E9PUA5	2700.5109859474	2489.27814195298	2723.96847885017	2280.40622538563	2203.24508424444	2228.16254143258	2644.16238998771	2112.23631537442	1896.2528611962	2310.2475193334	2027.03445752307	2317.51537931961	2594.67337085675	2715.41665859134	2303.920500099	1584.95540773873	1709.58234779885	2228.79307431478	3013.46880633296	2623.75669237241	2689.90150947995	2484.116057081	2128.2705140251	2213.10631596063
Q3UM80	46617.4632885814	47814.7265154578	35203.02647446	34045.6328194623	35635.0174250713	41015.1882107247	41187.8338342854	36845.0712393795	32826.3678703432	36454.5996328128	29771.2908434092	30756.1113782941	31695.7630421113	26387.0897756003	29529.2219166008	31208.3335975275	40017.1862281646	58595.4835107009	48321.1316680112	47765.8931614895	29703.1610385894	35361.9258612525	36556.0667292288	27834.0994359592
A0A068BFS4	9306.72939283161	9220.53752322089	9195.64047689231	8356.84261139625	9057.34184211119	8755.69177560081	9394.8047729496	10927.5586560876	9767.40203161108	9598.56943642765	10893.4241397425	10399.3647803942	9927.96549230942	9179.7470327264	9479.23790971428	8568.41489126774	9185.02569634271	10777.0051503879	11781.830889034	9983.61033347182	11211.828457344	9534.13022828484	11157.0533169986	9882.89434785841
