"Uniprot_ID","Gene_names","Protein_names","pVal","WT_Relative_amplitudes","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"Q3TNL9","mt-Nd1","NADH-ubiquinone oxidoreductase chain 1",0.0147585941311663,0.198796737797559,24,15,24,118018.072163579,132463.932220576,122687.549330742,107144.390164593,108389.825844156,106749.653961329,125365.683606973,128635.695589175,120098.956628202,120261.45944849,120395.075326508,117332.051866761,119705.109991077,123652.279544846,124415.427992807,129236.523526645,115307.470362531,114441.17797629,107996.905047367,123487.828556512,114013.630411989,126970.286260929,123937.857270141,125245.500780302
"A0A087WNV1","Agfg1","Arf-GAP domain and FG repeat-containing protein 1",0.0191269998651115,0.137124393068144,6,12,24,118731.108609722,119356.92317292,118641.083960031,124568.493070137,119385.117510327,118392.130614892,111353.795462837,114869.601964579,112395.366239696,117454.813920089,111932.559800537,108298.966473426,103391.787924591,105673.304444866,111982.187195728,111613.85844387,113640.342371246,120139.905726143,109213.267266494,113209.680504009,110497.756301029,110757.623528931,110037.376029997,114603.431975716
"A0A0A0MQD1","Tdrd7","Tudor domain-containing protein 7",0.00366318366726206,0.109140991109201,15,15,24,241522.035059906,260926.008633317,253051.681273372,257406.420158336,265057.863498976,270463.906415148,270327.622797391,271706.966522936,265205.353511787,254562.115798316,277643.134920956,267528.680951348,279325.512600433,273066.888458038,273029.250424019,262638.777205706,265469.17315356,265937.107248826,266638.116947944,286317.292356319,286756.547373596,274925.671605407,279317.765303239,264330.982676868
"A0A0A0MQD7","Ralgapa2","Ral GTPase-activating protein subunit alpha-2",0.00270190432285782,0.444056404484627,24,12,24,10397.1710972414,8812.89400101511,8810.58399168937,8776.88315666681,9965.85882834604,9092.61275647048,9802.35305541413,10548.9047616175,11176.0669909167,9219.76219754333,7398.45181001021,8796.91895426764,10191.6217420772,8567.21076902274,10253.7397916789,12134.6318360272,9604.0808239961,9736.34305969637,10287.6124075974,10153.4962959453,9627.38154980962,9297.38932367942,10411.3250293037,10270.3948177965
"A0A0A6YVU8","Gm9774","Proteasomal ubiquitin receptor ADRM1",0.0135739999042727,0.128377147627577,9,12,24,338730.442274341,329339.267240473,347283.0467887,368317.72774282,326485.600393219,329828.500196197,309381.266793265,312817.134499432,342061.630356639,307355.125993082,334379.235323128,311291.928105165,318541.020652651,323843.9375444,321292.202773355,322940.281018542,348469.385995062,345178.001385205,338823.592833647,346211.499691565,344707.963294799,331831.24891772,284238.787742385,307798.049480512
"A0A0A6YW06","Enah","Protein enabled homolog",0.0442401584856647,0.124273396178193,9,9,24,345453.097020918,328916.757415988,351422.261140175,334707.669182569,341922.748704229,333129.576519823,332317.597973908,338445.871398165,349772.645736015,333640.577532945,342928.147755753,331879.359615004,340051.952287887,324333.506261826,334314.016199076,307996.253558397,351091.077153886,339288.327859866,339125.916680762,335246.97067945,343816.648023384,323385.784139486,333408.283210142,329837.738690027
"A0A0F7DDK0",NA,"",0.0260236226386263,0.345584840584967,21,12,24,79034.7639806458,80197.8064343233,79078.9343892544,69197.3080596556,74652.7505818488,80834.4000683846,80793.4225788504,86021.911771134,69890.5853666256,74022.146449426,59265.3736872891,74167.7466055441,71318.2631893125,79136.3092608826,75806.4652693623,77625.7411987114,78848.7675384277,83955.3093080556,67010.1640893122,89303.2750395129,78554.6114029306,87385.0238916474,91591.8996729924,82646.944829924
"A0A0G2JEK2","Crip1","Cysteine-rich protein 1",0.0354386981131972,0.325435193625441,15,15,24,1332649.54140358,1337726.86370649,1259479.74907718,1347995.4549761,1436306.1425084,1434830.96739197,1376772.51734622,1536574.27989506,1375248.26456628,1220395.62714817,1246862.63987533,1545555.64900612,1677158.82112635,1519599.98933778,1408955.63695933,1490544.68680331,1371164.49591012,1569431.15900181,1585245.82159649,1401696.71363793,1515192.35917625,1479281.48760081,1421209.09712594,1430373.99531806
"A0A0G2JEP4","Lrrfip2","Leucine-rich repeat flightless-interacting protein 2",0.0100098705053096,0.112699604407192,15,9,24,124898.104238025,118471.833402664,122102.548292706,123124.231474916,123247.476473725,122831.72773655,121771.109016263,117855.998795526,118526.521339512,120501.359993926,124863.329608956,125188.754702241,123011.139967496,120475.343830653,122213.872117632,115149.205573086,128881.636576017,121421.255120196,120696.451482082,122494.303193374,125253.681032948,115401.804733044,124239.496787034,120239.182310884
"A0A0R4IZZ6","Fnbp4","Formin-binding protein 4",0.0221652870693087,0.170643532747901,12,9,24,72227.7285781807,67006.7645415648,65834.7603224612,71334.1579857107,70551.4868032364,68453.9274310908,65596.4853049904,64837.269107008,74890.2931476633,73868.6737910468,75355.6207916959,73982.9237479914,68386.6675106578,65425.2056905053,64900.5088002003,65898.1814371138,68575.454815056,70319.1053343117,68945.6258971535,68277.624349426,72605.6448907797,67024.4901800424,67696.3751084218,69048.2321735849
