ID	CT0	CT3	CT6	CT9	CT12	CT15	CT18	CT21	CT24	CT27	CT30	CT33	CT36	CT39	CT42	CT45	CT48	CT51	CT54	CT57	CT60	CT63	CT66	CT69
A0A023T672	296161.529475635	290229.309887698	291568.930925173	306455.026800745	302055.44888675	305322.124014651	305821.354852521	300399.446758963	301348.015242264	312045.18878774	273979.672816145	311471.076936065	287527.387381992	290716.755761298	287501.169638502	280577.62673738	282495.3975437	279026.05876538	279377.055970653	265509.171464588	276887.172420751	268337.03582106	267968.096851773	269585.64705861
A0A024QYR9	71857.5523554821	73721.7361143503	74910.0005758439	77776.3726828823	74237.5844414261	73436.8073635844	70791.1312825842	73902.943614325	73068.878234719	70976.7959252565	79333.1409586649	72353.4076190196	75490.9723577534	73892.8524386926	75016.8744004758	69899.7755822659	74786.5784397381	72458.3784884971	68075.5496320922	68869.0015056947	73619.1110995213	70589.703051691	72087.5348119403	69420.9864492299
A0A068BD34	26050.2827507009	29317.2141739397	24733.92193148	30897.5443801572	23177.3626603442	21554.6292608551	26526.2503104215	28059.4929131317	23073.2248241246	24408.0626827416	24637.9764475832	24571.8476478196	25242.2962962125	24231.2825514966	23329.5342245758	22735.8962566228	22520.2274872846	16325.5134005722	24073.9735280811	21725.4298541201	22823.0641494811	22043.7112112529	23358.6751340587	19733.5511825929
Q3TBA3	57501.1612940827	66810.5124734974	59306.743077618	61252.5228204723	61296.9630452623	60101.204992615	60445.022119878	68439.6724042298	53594.3803162536	52976.3138278841	49613.3375326151	48654.7284607822	54987.562206709	56063.3492563514	54880.4873382066	56703.9863774244	56229.9638248746	57545.2068093491	48263.3696854873	61114.7180164651	56758.4311482996	62261.9558694865	56065.2902474446	59606.5669530234
Q78ZJ8	591300.238965699	630465.931081985	619767.116063285	610999.653272683	568458.988027296	572315.913144107	593361.983988714	634808.479034418	652249.822173161	613417.353099242	649304.530037938	595047.932094937	651171.658796316	626567.860766857	652397.739458179	640798.530870159	646282.245733713	638533.681164603	651152.477555346	670499.504055055	647271.222925375	670144.478410565	660020.701486676	680062.850301281
Q3UM80	12449.4566581765	13524.8089364624	13733.597667866	12959.3134054817	12226.0690551093	13018.777842491	11658.5092241486	12800.3728547017	11325.7624787276	8864.50360807219	10153.1989070668	10113.0599802173	11318.7493657161	11712.2929698192	10867.0072904851	10660.3614763873	12186.4810668904	11761.812023703	12715.9847236017	12314.4745643281	11940.5170882949	14383.4369798413	11355.0309256338	13476.738026768
A0A068BFS4	41134.507338273	43065.6860492637	41255.4311974308	46243.0050786415	40821.1176790486	46867.746523099	40885.8746334412	43800.2843301919	44058.0460071744	30886.3491332227	40283.8258568407	28845.3106666902	37127.6184987857	26828.9735687339	36632.2287629795	32455.8737145138	44776.4196523539	44121.678404516	41211.0990021715	41884.4111479514	39513.7872913029	40366.396684544	37041.8330658571	39681.4126347774
A0A068BGT0	133342.920490487	143380.249324519	141480.570194204	132924.30222722	137971.95996294	133758.73498924	139440.485698614	144840.76113482	152402.534681359	144344.300839552	157207.117542162	142335.465855591	157221.04515815	148483.805411796	157224.999986387	149289.052508988	150711.239315237	150108.595376356	141704.90012067	148079.728530728	148793.66952803	152557.053684949	148307.622780102	151431.877994981
Q14C53	83244.1229837457	81263.5710500259	91902.2999498093	61794.3489512079	75299.029933515	58346.2554157332	78417.0271752945	70212.6944566243	87855.2514648246	74693.365778531	84058.8111640903	70274.4474066885	85835.4236224799	79747.0767606629	88378.7145411289	88805.7806716153	84685.8352230974	85934.8359901674	67354.0153756201	80626.4495543696	70169.5240718748	77601.5924472647	65935.7650292442	74850.4232554263
A0A068BIT8	59524.3539711835	57858.4368911792	59684.3280290568	60180.6890538879	61977.8152201706	57709.5643101811	63718.9122315424	55562.8112298016	54679.5044967502	57218.2163192066	59294.4311292145	57515.2484474475	59693.5370127712	63377.0209603871	63824.7364469637	61736.5930367857	65678.725034026	61981.7934357566	62886.0939877713	66981.8886023466	68544.3976514947	63512.8487935239	66330.6527947013	60904.8836932028
A0A068EW80	656280.087725265	681163.014761137	679750.264499669	702717.995887767	719446.075358878	713440.995863991	714554.831833268	707120.092777309	705045.390657152	693067.462423998	695567.136817869	701437.693990289	696481.210410725	709183.541254597	706642.537370309	694081.738263158	692417.701186917	688987.571329778	666836.831516254	698821.038987826	693416.207039026	688510.820439678	652572.350865307	662128.545089329
Q7JCZ1	412406.557801228	449615.992842415	417533.716254971	372595.040454472	396711.159895484	361806.65448891	445610.046199712	460484.626967816	465231.959154329	435236.993608601	438054.348523357	418668.489670768	456779.35118216	450119.601117229	472477.878743208	487913.885356115	427638.581993098	469880.599398511	430730.475665299	468632.160921559	433818.732852351	491278.812876917	476748.287762363	458701.289320531
Q3TNL9	118018.072163579	132463.932220576	122687.549330742	107144.390164593	108389.825844156	106749.653961329	125365.683606973	128635.695589175	120098.956628202	120261.45944849	120395.075326508	117332.051866761	119705.109991077	123652.279544846	124415.427992807	129236.523526645	115307.470362531	114441.17797629	107996.905047367	123487.828556512	114013.630411989	126970.286260929	123937.857270141	125245.500780302
Q7GIP5	12100.0456501546	13942.3214044269	12968.8353137838	11824.4645309827	10028.1084021516	12695.4424030578	12993.0432156518	14469.2834304657	13545.1608235189	13303.165886691	15118.0119920815	16734.2428927984	15656.8123550874	14495.4976964386	13327.3034669101	17092.4636121308	13060.5139099541	13469.5213188665	11855.8642063129	13075.3092346279	11278.3255240127	13926.0985566682	13895.97759414	12493.118648634
A0A087WP63	31288.0135558968	28078.4396224827	34219.0729048009	27486.981553404	31152.427345778	29748.7437956958	30471.9559330771	29089.7242793263	33453.6392587842	32780.1096574256	36057.6671626496	32494.792575447	32921.126092775	36143.9085794737	34677.707502017	33164.0683242929	30362.2603632298	27821.5494350971	33778.5268575036	32127.4103514199	31939.3070753013	30859.7646386013	33327.9777720004	30120.5580152696
A0A087WQE6	334956.142929485	329168.000939477	327004.071690497	324970.141212388	341372.669736107	339124.064549392	338848.505102193	336875.869328887	306883.922339412	330831.606448864	307043.389531613	330265.276013713	319328.284609246	304369.96839321	310721.443678867	310975.596563847	300969.974759415	306644.382566876	316525.247587099	305123.232296259	308835.35997641	310809.68681895	311569.793502874	303120.561899805
