"uniprot","protein_names","gene_names","wt_1","wt_2","wt_3","wt_4","cko_1","cko_2","cko_3","cko_4"
"P0DPB4","","Schip1",1.2735501032086,1.23518428852712,1.007934577346,1.0879716676501,1.02169483127487,1.13972835966171,1.41915013594815,1.6548642267942
"A1A5B6","TBC1 domain family member 25","Tbc1d25",1.15944812074613,1.09021570125734,1.04821784659917,1.01082174127897,1.02860368052904,1.02266859134941,1.03818077802844,1.47284726596597
"A2A432","Cullin-4B","Cul4b",1.00996277762068,1.01788127375978,1.03369774357717,1.10424306008263,1.00731078580209,1.03279192884524,1.01333996923994,1.02842016960176
"A2A4P0","ATP-dependent RNA helicase DHX8","Dhx8",1.08086264895777,1.06938238061647,1.01375333292788,1.1117509321499,1.11334605514071,1.1383011692539,1.10563152181358,1.08836153964789
"A2A5R2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2","Arfgef2",1.13568579716388,1.05204195467122,1.03353560980381,1.02489965469838,1.01165103615582,1.01673553500069,1.06245317772969,1.01210451155011
"A2A5Z6","E3 ubiquitin-protein ligase SMURF2","Smurf2",1.08521176499126,1.07780346077113,1.02028022819996,1.13640303307056,1.03186431749243,1.09203817568494,1.07862582528239,1.07592752393795
"A2A699","Protein FAM171A2","Fam171a2",1.06675790378288,1.03460011271447,1.02634152468835,1.09709620766161,1.03467108676922,1.00267519604584,1.03982402606263,1.10907177974157
"A2A6A1","G patch domain-containing protein 8","Gpatch8",1.00154611564391,1.01339353463688,1.06113328522956,1.00758363505705,1.04292136861625,1.04029143115186,1.00324943512551,1.20455154665046
"A2A6Q5","Cell division cycle protein 27 homolog","Cdc27",1.05794922252528,1.02219276313753,1.09062607189384,1.03839624928092,1.0365111114908,1.0350443904067,1.05721420484796,1.02914066927219
"A2A6T1","Cerebellar degeneration-related protein 2-like","Cdr2l",1.04964327711297,1.05730681699448,1.02270407944108,1.01747389884019,1.01941801989353,1.05441003619657,1.03531360849723,1.07799200750914
"A2A791","Zinc finger MYM-type protein 4","Zmym4",1.09496876799361,1.08847768816524,1.00315919151605,1.02608762691062,1.04885179496481,1.03611233501658,1.06355441628793,1.02091458095375
"A2A8L1","Chromodomain-helicase-DNA-binding protein 5","Chd5",1.03737775695714,1.13998862398259,1.08032116310465,1.01901496294892,1.03845659032735,1.07359924455345,1.1987953555657,1.09507151614234
"A2A8L5","Receptor-type tyrosine-protein phosphatase F","Ptprf",1.1108856893178,1.0793092613655,1.13587894076117,1.08443852771845,1.17291160680274,1.01634428810669,1.02558103797529,1.20102116054953
"A2A8U2","Transmembrane protein 201","Tmem201",1.05617441452058,1.03527780656524,1.15645204195801,1.10034346147709,1.14744858901122,1.04172217138469,1.14016550060453,1.02944887578811
"A2A8Z1","Oxysterol-binding protein-related protein 9","Osbpl9",1.04715208981855,1.00631790586955,1.06197598914864,1.00667241676478,1.01224379780152,1.02511714017207,1.01470888211087,1.05843683818702
"A2A9C3","Protein SZT2","Szt2",1.12510600221255,1.22050234792606,1.15712495379558,1.04539886021514,1.02928322491169,1.11485593506544,1.03675089283422,1.04662799556806
"A2AAE1","Uncharacterized protein KIAA1109","Kiaa1109",1.19267307315119,1.27033706676084,1.12347920776908,1.09654485264977,1.03818822533132,1.02876205893907,1.06347997596325,1.69395867714281
"A2AAY5","SH3 and PX domain-containing protein 2B","Sh3pxd2b",1.0183992413694,1.02133938056142,1.01208852175652,1.03803001581118,1.04782198967371,1.01120269624201,1.01872875392271,1.01518676754681
"A2ABV5","Mediator of RNA polymerase II transcription subunit 14","Med14",1.05804283693627,1.18557776107951,1.08348593469506,1.04029868105256,1.05539121036253,1.16295947974388,1.16494299526279,1.11577584604937
"A2ADA5","tRNA pseudouridine synthase-like 1","Pusl1",1.04832556643452,1.08305639804178,1.1215859350727,1.36801601604748,1.06775255346407,1.00020108202391,1.06701104946842,1.2563908413411
"A2ADY9","Protein DDI1 homolog 2","Ddi2",1.04223741722639,1.06589241016141,1.00960436952316,1.02130927156741,1.08070994352677,1.0233366840889,1.04586259055506,1.0629885815615
"A2AF47","Dedicator of cytokinesis protein 11","Dock11",1.04500276191283,1.10350012088523,1.04161790787971,1.00112634073937,1.02728767927308,1.02126972651286,1.04171020278384,1.03420610777544
"A2AG50","MAP7 domain-containing protein 2","Map7d2",1.00810916049754,2.09806911909756,1.02064516832005,1.18053374353385,1.02254826171586,1.04109445432985,1.36941424283327,1.13754494822916
"A2AG58","Uncharacterized protein CXorf23 homolog","",1.0835354143329,1.12465278639371,1.35308254763001,1.03993598516817,1.00472906034681,1.01275125567147,1.09765978882456,1.07041189081186
"A2AGH6","Mediator of RNA polymerase II transcription subunit 12","Med12",1.13493646424276,1.01772877372685,1.09602063561841,1.08115939479523,1.01081517735544,1.02305779035863,1.03965822850847,1.16982705879805
"A2AGT5","Cytoskeleton-associated protein 5","Ckap5",1.02783742585215,1.02690166431981,1.00650309468457,1.00754027966068,1.00780598351124,1.02212322190393,1.01903107136495,1.01324041901414
"A2AH22","Activating molecule in BECN1-regulated autophagy protein 1","Ambra1",1.44113517831011,1.11486943074295,1.07674348135737,1.00329266578806,1.05125481435118,1.01086129501693,1.06026397123261,1.09201072352908
"A2AHC3","Calmodulin-regulated spectrin-associated protein 1","Camsap1",1.03596909326996,1.02274360291671,1.10432920599236,1.05246938567746,1.02527208738093,1.00082166548578,1.00911866573868,1.01850123831862
"A2AI08","Taperin","Tprn",1.00986088434482,1.07324360694204,1.03763003528441,1.03274808327151,1.25141036883423,1.11278642928088,1.21877057882279,1.00534667662711
"A2AIG8","1-aminocyclopropane-1-carboxylate synthase-like protein 1","Accs",1.00703504190624,1.12223529264958,1.04608028820872,1.04017725205701,1.03727125194308,1.03272189098209,1.13218237777377,1.07808925924586
"A2AIV2","Protein virilizer homolog","Kiaa1429",1.00808081498371,1.28976844494871,1.30074006408353,1.01040713608856,1.01926707050089,1.0149997879061,1.11517451070831,1.01119679501875
"A2AIW0","Serologically defined colon cancer antigen 3 homolog","Sdccag3",1.22040398108023,1.13069460525713,1.08510223907951,1.24729624762369,1.31881175876529,1.06159942904259,1.11355424411817,1.01336296397714
"A2AJ15","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase","Man1b1",1.03174695349304,1.02609661897138,1.00273733299692,1.01886679591338,1.01478494156659,1.03880760111919,1.04112116774936,1.02966606788247
"A2AJ88","Patatin-like phospholipase domain-containing protein 7","Pnpla7",1.0298538690283,1.09411147267587,1.08425975670429,1.24776782070476,1.04117756383712,1.08283712513709,1.0019660752872,1.3088312733132
"A2AJI0","MAP7 domain-containing protein 1","Map7d1",1.05968584187889,1.03049336331162,1.01419337640478,1.03010309928422,1.04739961116795,1.00301788604852,1.01145804996921,1.00625551217194
"A2AJT4","Arginine/serine-rich protein PNISR","Pnisr",1.03830845221358,1.10452856802351,1.14404193567077,1.04999737195677,1.04469736564539,1.00774230683929,1.07038222525085,1.12482370358355
"A2AKG8","Focadhesin","Focad",1.11059008983927,1.00201332282672,1.04601945435228,1.03301089234826,1.05675975759921,1.04252481799281,1.07704576480635,1.02422141289859
"A2AKX3","Probable helicase senataxin","Setx",1.01993816834194,1.11346457854427,1.05800783230116,1.36721985426855,1.10652436790876,1.13794976950037,1.06980109695566,1.49967763959641
"A2ALU4","Protein Shroom2","Shroom2",1.00312012337661,1.01060447803191,1.18452973129706,1.09013382776027,1.04296298366482,1.06515846494208,1.02540874737118,1.03426205255203
"A2ALW5","DnaJ homolog subfamily C member 25","Dnajc25",1.01707510611693,1.04160188356161,1.00577160780105,1.04058543872321,1.0016204128226,1.0438129766269,1.01154654532305,1.0409111893995
"A2AMZ4","Uncharacterized protein C17orf89 homolog","",1.13144788212466,1.11437171417108,1.15249709923243,1.13635294385724,1.04058116867703,1.04529183652824,1.17633849736264,1.14683289214865
"A2AN08","E3 ubiquitin-protein ligase UBR4","Ubr4",1.00413637601355,1.01269090816788,1.01464884340213,1.02093497616016,1.00624134707116,1.02896981262739,1.02117795425283,1.06640719024284
"A2APB8","Targeting protein for Xklp2","Tpx2",1.08017231195073,1.11990889444824,1.17052959708436,1.221649537759,1.14259607254111,1.01866599278233,1.06164937948085,1.36000718502044
"A2APV2","Formin-like protein 2","Fmnl2",1.11653967212346,1.08950456069425,1.0540099622802,1.1785846698692,1.035890125723,1.01373942935636,1.08564640640143,1.22671239171318
"A2APY7","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5","Ndufaf5",1.00679201083401,1.00546462594701,1.00891782742308,1.08168239404465,1.02742495326926,1.07112455060855,1.12546278262264,1.00373394534902
"A2AQ19","RNA polymerase-associated protein RTF1 homolog","Rtf1",1.03094754145046,1.0194698413322,1.0660271108995,1.02391625381938,1.02588837480807,1.03894296905626,1.00457257806779,1.05968176312207
"A2AQ25","Sickle tail protein","Skt",1.01349290715868,1.0458200051335,1.00001832630448,1.02979360068878,1.00911739832478,1.00649541582532,1.05653288248936,1.02837874017475
"A2AR02","Peptidyl-prolyl cis-trans isomerase G","Ppig",1.00770955454374,1.003869792997,1.05045697014409,1.04596363210703,1.08847922197763,1.03413999547324,1.004621822118,1.03097960811739
"A2ARA8","Integrin alpha-8;Integrin alpha-8 heavy chain;Integrin alpha-8 light chain","Itga8",1.01926838123366,1.13004218786775,1.03010775799622,1.00259775479543,1.03111435509648,1.12170397285602,1.16175173174838,1.01457885158725
