"Uniprot_ID","pVal.WT","pVal.CKO","Baseline.WT","Baseline.CKO"
"A0A087WPP8",0.362496186728354,0.00742828631579516,18165.5011985364,21980.0643675508
"A0A087WQH8",0.388844408790848,0.000138152524116479,69237.3371014282,79798.9824552837
"A0A087WQN7",0.577831709920692,0.0332153537610982,134885.538354565,137809.829776046
"A0A0A0MQD4",0.168097658117035,0.00440364029097596,102540.714339677,119443.674655321
"A0A0B4J1E4",0.392168615948856,0.0365575901490996,80015.2459431242,71902.3432131222
"A0A0F6AIX5",0.885087803859088,0.0181997645551084,166353.420186713,226629.466019578
"A0A0G2JEK2",0.0354386981131972,0.0228484938431872,1189031.6829042,263714.260069324
"A0A0G2JGP4",0.0608792007910608,3.26674889704165e-06,294408.060148178,307237.872654702
"A0A0G2JGQ6",0.870158407393465,0.0068489271824314,243862.519710131,365529.864775261
"A0A0J9YTY0",0.429749338742636,0.00530871815600329,1831716.7657253,2920630.61578855
"A0A0N4SWG7",0.903790446170931,0.00139817309992927,174210.250445482,249517.55718237
"A0A0R3P9C8",0.493668748671907,0.000193467392346384,646354.081491375,638285.695037854
"A0A0R4IZW8",0.396163177734804,1.69422933441686e-05,1037866.79924847,883151.641055354
"A0A0R4IZX2",0.543345965630819,0.0322663436536382,168370.295933565,133812.099370288
"A0A0R4IZY0",0.394049019571437,0.0395193577244042,1603420.06531891,1555602.62477958
"A0A0R4J004",0.93081436064118,0.00617083370344131,18954.1744430591,19554.7929019085
"A0A0R4J005",0.828204711889894,0.00477402062768915,1053818.39895708,1060668.77576416
"A0A0R4J008",0.170119428845996,0.00557121473684637,257515.660945344,300510.437786373
"A0A0R4J017",0.867649201342162,0.0427785880906672,97969.7941507734,85622.5740265192
"A0A0R4J023",0.078396255296606,0.00109895510017862,267698.21544839,242788.577094801
"A0A0R4J078",0.850245634684711,0.00462480783607239,311683.671512116,285144.31025871
"A0A0R4J079",0.655018668591295,0.0148127038510387,760349.195558162,711841.147310642
"A0A0R4J090",0.0316685392677379,0.0026447923761572,87244.2308401435,67811.8629605612
"A0A0R4J0D1",0.672631969874748,0.0079080364182838,48129.7262571383,53222.5803602506
"A0A0R4J0D3",0.152419548004916,0.000190298917292629,182543.476415531,174242.363565663
"A0A0R4J0H8",0.293735515906296,0.0018882107139956,240301.064816469,314419.168662349
"A0A0R4J0J5",0.681404309554183,0.00129719689501329,82851.6862030745,82901.1637344891
"A0A0R4J0J6",0.0858779547074668,0.0239116402882597,132405.040708004,130424.435463453
"A0A0R4J0K2",0.498655301688795,0.000588803038446116,853772.820871926,961202.019886097
"A0A0R4J0L5",0.82772924546922,0.017556686988009,205866.067921399,205893.042467594
"A0A0R4J0U2",0.550417678131532,0.0068489271824314,184060.260234635,172917.876751027
"A0A0R4J0X8",0.903880846456374,0.0342727407647809,595732.453686571,576196.442058498
"A0A0R4J1F2",0.874576591897588,1.45952842282146e-05,15004.3448131102,10866.5328937631
"A0A0R4J1G5",0.342110527651761,0.0474140661370711,100318.090569302,129641.515522687
"A0A0R4J1K4",0.671204611594663,0.00141620715132298,111341.304138576,86541.8904537382
"A0A0R4J1Z3",0.123044440462502,0.0230502533772727,206901.067120493,255136.726441721
"A0A0R4J227",0.822326428787563,0.000403018497393647,119918.065044116,105310.451408624
"A0A0R4J243",0.921185346336637,0.0061963309770697,51794.6433824745,51287.0088478379
"A0A0R4J245",0.916698082568342,0.0394879997215206,14582.3715532405,23619.5906928131
"A0A0R4J2A1",0.0170245099485623,0.000389121307828349,93011.4031804707,93945.6205752339
"A0A0U1RPV5",0.125993818944763,0.023027687578965,13741.3471750463,13717.5923574229
"A0A140LHA2",0.912953494560876,0.0070044198824195,527718.756051819,512506.414493303
"A0A140LI54",0.00249564972342233,0.0136664698685461,72532.2451681127,78115.8729644697
"A0A140T8S5",0.455262361038267,0.0253608306087602,111305.942112957,100580.144705768
"A0A1B0GR11",0.0224624499677591,0.00699348157579636,1520454.91148036,1096427.21021149
"A0A1B0GS44",0.316973817639295,0.0142351516118992,30804.7035508166,31583.7426566132
"A0A1B0GSU0",0.639920190619772,0.00519765857683682,144144.09822602,148044.709418397
"A0A1C7CYV0",0.0322663436536382,0.00139598390014321,7011610.40907912,5513106.00066335
"A0JLQ7",0.737679750645075,0.0396034892552824,117374.766073191,111460.646768142
"A0MNP4",0.685651039822093,0.00544541780318219,569147.440060137,521223.060054443
"A1BN54",0.744104359525669,0.036454163324142,5095665.42581897,5919210.99304999
