"Uniprot_ID","Disorder_index","nDisorder"
"A0A087WSN6",0.0966898954703833,222
"A0A0A6YY83",0.268525896414343,337
"A0A0G2JFT8",0.315396113602392,211
"A0A0R4IZW8",0.100746268656716,27
"A0A0R4J005",0,0
"A0A0R4J034",0.228136882129278,180
"A0A0R4J0Q6",0.136239782016349,100
"A0A0R4J1L2",0.400778210116732,103
"A1A4T2",0.0486542443064182,47
"A1BN54",0.0146561443066516,13
"A2A432",0.211340206185567,205
"A2A4A1",0,0
"A2A4P0",0.239549839228296,298
"A2A5R2",0.107142857142857,192
"A2A5Z6",0.0868983957219251,65
"A2A699",0.403892944038929,332
"A2A6A1",0.730232558139535,1099
"A2A6P4",0.918918918918919,170
"A2A6Q5",0.254545454545455,210
"A2A791",0.240800516462234,373
"A2A7S7",0.131205673758865,74
"A2A7S8",0.898321816386969,910
"A2A8L5",0.0663856691253951,126
"A2A8R0",0.250536864710093,350
"A2A8U2",0.213855421686747,142
"A2A8Z1",0.251358695652174,185
"A2A9C3",0.227338968230836,780
"A2AAY5",0.556167400881057,505
"A2ABV5",0.180945853324195,264
"A2ADY9",0.165413533834586,66
"A2AF47",0.0231548480463097,48
"A2AG58",0.413563829787234,311
"A2AGH6",0.273972602739726,600
"A2AGT5",0.210629921259843,428
"A2AH85",0.0565843621399177,55
"A2AHC3",0.498418722327641,788
"A2AI08",0.668891855807744,501
"A2AIG8",0.0617529880478088,31
"A2AIV2",0.26228602981778,475
"A2AJ15",0.109422492401216,72
"A2AJ72",0.251318101933216,143
"A2AJI0",0.904255319148936,765
"A2AJL3",0.0036231884057971,2
"A2AJQ3",0.0470914127423823,34
"A2AJT4",0.93416149068323,752
"A2AKG8",0.00389321468298109,7
"A2AKU9",0.00336700336700337,1
"A2ALU4",0.457123565158677,677
"A2ALW5",0.0532212885154062,19
"A2AMZ4",0.0135135135135135,1
"A2AN08",0.118146718146718,612
"A2ANY6",0.123814635891931,692
"A2APY7",0.0524781341107872,18
"A2AQ19",0.576223776223776,412
"A2AQ25",0.654162384378212,1273
"A2AR02",0.776595744680851,584
"A2ARV4",0.0255364806866953,119
"A2ASQ1",0.0974358974358974,190
"A2AT37",0.364066193853428,462
"A2AT93",0.435294117647059,111
"A2AUY4",0.49740932642487,1056
"A2AVA0",0.00784973366975049,28
"A2AVZ9",0.0876494023904383,44
"A2AWA9",0.216165413533835,230
"A2BDX3",0.0565217391304348,26
"A2BE28",0.345360824742268,268
"A2BH40",0.725799386771791,1657
"A2CG49",0.126855600539811,376
"A2CG63",0.647640791476408,851
"A2RRK3",0.489184692179701,588
"A2RSJ4",0.251201098146877,366
"A2RSX9",0.222873900293255,76
"A2RTH5",0,0
"A2RTL5",0.585106382978723,220
"A3KGB4",0.0789946140035907,88
"A3KGF9",0.862385321100917,470
"A3KGS3",0.13034188034188,244
"A3KGW5",0.0658783783783784,39
"A3KMP2",0,0
"A6H5X4",0.287833827893175,97
"A6H5Y3",0,0
"A6H5Z3",0.0419753086419753,34
"A6H611",0,0
"A6H619",0.678953626634958,1142
"A6H630",0,0
"A6H6A9",0.161963190184049,132
"A6H8H2",0.220881427072403,421
"A6X8Z5",0.56140350877193,800
"A6X919",0.0911528150134048,68
"A8C756",0.0087719298245614,17
"A8Y5H7",0.0699300699300699,50
"B0V2N1",0.0540115364446775,103
"B1AR13",0.0510948905109489,7
"B1AR17",0.354257907542579,728
"B1ARD6",0.0186813186813187,17
"B1ART1",0.0704289974764854,307
"B1ARW8",0.863636363636364,95
"B1AUN2",0.0376106194690266,17
"B1AVH7",0.175704989154013,162
"B1AVY7",0.105182926829268,138
"B1AVZ0",0.245161290322581,76
"B1AXP6",0.176470588235294,9
"B1AY10",0.303411131059246,338
"B1AY13",0.0970576996560948,254
"B1AZA5",0.100456621004566,88
"B1AZI6",0.28732747804266,458
"B1AZP2",0.612903225806452,608
"B2KF50",0.244926522043387,350
"B2RQC6",0.0449438202247191,100
"B2RQE8",0.233055885850178,196
"B2RQG2",0.65679012345679,1330
"B2RQS1",0.25,178
"B2RR83",0.157785467128028,228
"B2RRD7",0.393564356435644,477
"B2RSH2",0.00847457627118644,3
"B2RSU7",0.12797619047619,215
"B2RUJ5",0.504750593824228,425
"B2RUR8",0.407142857142857,342
"B2RVL6",0.149377593360996,36
"B2RWS6",0.581260364842454,1402
"B2RX14",0.380170316301703,625
"B2RXC1",0,0
"B2RXC2",0.607218683651805,572
"B2RXC6",0.000719424460431655,1
"B2RXC8",0.139130434782609,160
"B2RXS4",0.0260586319218241,48
"B2RXW8",0.465753424657534,578
"B2RY04",0.10813704496788,202
"B2RY56",0.683770883054893,573
"B5TVM2",0.465960665658094,308
"B7ZC24",0.431034482758621,175
"B7ZMP1",0.00988142292490119,5
"B7ZNH7",0.224080267558528,402
"B8ZXI1",0,0
"B9EHE8",0.583106267029973,642
"B9EHJ3",0.564391691394659,951
"B9EHZ5",0.038961038961039,21
"B9EJ80",0.294681778552746,338
"B9EJ86",0.329583802024747,293
"B9EJR8",0.022274325908558,19
"B9EKI3",0.493125572868928,538
"C0HK80",0,0
"D0QMC3",0.410780669144981,221
"D3YTP3",0.0608974358974359,19
"D3YTQ3",0.411904761904762,173
"D3YUE4",0.021505376344086,6
"D3YW86",0.467289719626168,50
"D3YX49",0.386752136752137,181
"D3YXG0",0.0053248136315229,30
"D3YXJ5",0.387096774193548,120
"D3YXK1",0.76878612716763,399
"D3YXK2",0.892209178228389,836
"D3YYU8",0.0421286031042129,76
