"Uniprot_ID","pVal.WT","pVal.CKO","Baseline.WT","Baseline.CKO"
"A0A023T672",0.817439850907954,0.203984352444489,297349.854240994,284142.045198379
"A0A024QYR9",0.69210555436429,0.913337116032623,63728.9773568269,56443.0194588978
"A0A068BD34",0.921509671822751,0.730956825588945,32310.8585539543,33705.7273600189
"A0A068BFS4",0.464110276386876,0.925338254342651,26309.4550528557,24463.8123049097
"A0A068BGT0",0.734843102948532,0.930130449407086,190748.863745047,191267.751682836
"A0A068BIT8",0.0534928505586372,0.804437145433156,90657.08608361,118273.073347692
"A0A068EW80",0.0680764253295779,0.0683077454996137,801061.531716922,880061.802834849
"A0A087WNV1",0.0191269998651115,0.256853227854302,133020.02545057,119018.013688781
"A0A087WP63",0.906533591103449,0.909684957323445,34680.1405833795,34316.5232535066
"A0A087WPB2",0.234158293545667,0.770001623629411,13481.9803914895,11770.0712921416
"A0A087WPP8",0.362496186728354,0.00742828631579516,18165.5011985364,21980.0643675508
"A0A087WQE6",0.866209605617134,0.153174944453679,354724.43033959,381007.157268971
"A0A087WQH8",0.388844408790848,0.000138152524116479,69237.3371014282,79798.9824552837
"A0A087WQN7",0.577831709920692,0.0332153537610982,134885.538354565,137809.829776046
"A0A087WQS0",0.504702139824448,0.354285611636607,1105417.10794929,891261.182972489
"A0A087WQS2",0.309049472198313,0.295963088161645,1027491.95922023,1056285.36548896
"A0A087WR24",0.0118852581052723,0.84257118335018,129496.413217981,131482.584319081
"A0A087WRE7",0.767898719917227,0.939801632900072,61854.2063098356,26815.4545497955
"A0A087WRF2",0.927442891420445,0.0658867570565467,144463.581236963,124095.8990822
"A0A087WRL6",0.467500985774999,0.260909751271203,59164.7154216796,43575.6079436703
"A0A087WSE3",0.869486445934504,0.0509859686155829,17496.2598213125,20457.1706401753
"A0A087WSN6",0.0757755619326695,0.151685465336679,146768.365165604,191131.858852577
"A0A0A0MQ68",0.822560059681696,0.148420243545639,156665.526860296,154470.787023402
"A0A0A0MQ73",0.88826076870454,0.459006354449489,20498.9962928297,19827.5519207478
"A0A0A0MQ79",0.822807090204054,0.850324935079972,1225972.42679372,1095126.89952876
"A0A0A0MQ80",0.833514213724344,0.794795956898668,248336.995435453,214565.607095205
"A0A0A0MQ99",0.816611013027917,0.108130324874594,53264.8669089817,49195.286735276
"A0A0A0MQA5",0.0662378138178072,0.33144362460298,251523.40722801,287602.120958263
"A0A0A0MQD1",0.00366318366726206,0.225651676775094,270888.238292449,236995.489523631
"A0A0A0MQD4",0.168097658117035,0.00440364029097596,102540.714339677,119443.674655321
