"Uniprot_ID","pVal.WT","pVal.CKO","Baseline.WT","Baseline.CKO"
"A0A0G2JEK2",0.0354386981131972,0.0228484938431872,1189031.6829042,263714.260069324
"A0A0R4J090",0.0316685392677379,0.0026447923761572,87244.2308401435,67811.8629605612
"A0A0R4J2A1",0.0170245099485623,0.000389121307828349,93011.4031804707,93945.6205752339
"A0A140LI54",0.00249564972342233,0.0136664698685461,72532.2451681127,78115.8729644697
"A0A1B0GR11",0.0224624499677591,0.00699348157579636,1520454.91148036,1096427.21021149
"A0A1C7CYV0",0.0322663436536382,0.00139598390014321,7011610.40907912,5513106.00066335
"A2AL85",0.0177483242007205,0.00136345455487652,941109.895461742,1518973.70363519
"A2AVJ7",0.0033275329645631,2.47730020287471e-08,3701256.60387324,3974788.16835239
"A4FUS1",0.0127464921538957,0.00202026966814515,466965.280916646,593184.982616264
"A5D6P3",0.0258595015808601,0.000276885577313168,478839.390677743,662818.884009306
"A5GZX3",0.0303683234387183,0.0242708387606171,676602.580123591,584551.301643702
"A6H663",0.0290905950113025,0.0341643638685581,782795.374091447,792442.641456703
"A8C1T7",0.0419559997041156,0.0358785620040354,278863.162733802,197408.433570247
"B0V2Q7",0.0340265645093073,0.0249975181948314,87634.7563511525,177115.292081885
"B1AWE0",0.000128942355842047,0.0420975344070386,656657.788292701,568524.884484328
"B2KGA7",0.0390596988601314,0.0217378548075088,110488.826666724,96205.2026541272
"B2RR26",0.00477402062768915,0.038253999730223,433900.097261656,382041.52717159
"B2RUK2",0.000188329190143449,0.00553299138824564,518139.01365909,452539.995205156
"B9EHN0",0.0455384969997425,0.0108689274037544,4269516.41868135,4151882.08364452
"B9EHY2",0.0068489271824314,0.0114415367676988,333577.72953281,565570.311552036
"D3YU17",0.00493312835847721,0.00557121473684637,222356.532757949,242937.822867173
"D3Z041",0.0347332366162286,0.0164753322082861,296170.840986044,339479.712340076
"D3Z7R9",0.00998259889368931,0.0380775243256164,30901.2579015555,32530.1994594018
"E9PZ16",0.0353200001909581,0.0236101103046268,5551634.3929899,7305820.24642054
"E9PZJ6",0.00367157861571094,0.00980643777708613,149665.770169093,140232.717736181
"E9QM38",0.0486016431266704,0.00186341846015534,138483.923161466,147864.405135222
"E9QMV2",0.0378630916282036,0.0277585308145347,248676.241369032,275683.710213512
"F6RPJ9",5.72527880450919e-05,0.000297288073457887,1857200.82608173,1350058.10165876
"F7BGR7",0.00845341824023441,0.0338515999181331,227123.178732782,182773.665461172
"F8VPU2",7.55886933816751e-05,2.85098267570164e-05,1013696.84804762,1081462.72045676
"G3UXZ5",0.0497653128967711,0.0107030303608964,1863201.18739471,1851023.98412801
"G3X9L6",0.0426105805746888,0.000944105356997802,1745030.37125232,2010259.23407337
"G5E829",0.042148190635947,8.19065246838406e-05,1130926.86103335,1092189.60467428
"H3BL41",0.0137606465581692,0.0268910767265805,374622.676600571,443774.624509034
"I1E4X7",0.0026447923761572,0.012805750685944,162451.124344358,168026.118278673
"O08547",0.00924961567214477,0.00168505752140787,464762.758724756,496296.075383703
"O08715",0.00570065779395006,0.00195566723483888,148114.273169446,160218.473831836
"O08997",0.0394879997215206,0.0184482426639578,619490.335259494,536434.674167672
"O35074",0.00270190432285782,0.00102759224486585,2421333.0205508,2265812.22635137
"O55143",0.0139853332347052,0.00130592042271461,2294027.89807123,2938427.51845262
"O88587-2",0.00268266249127061,0.00981687279511092,865599.315941517,1093837.01798455
"O88967",0.0294934389904431,0.000436314867358037,206490.70626316,202989.105327876
"P08030",0.0192212209096671,0.00924961567214477,522073.081994267,532029.579604347
"P08752",0.000413060419135868,0.0121354193803085,1165768.21428806,1211583.35505618
"P19157",9.22618159007235e-05,5.52785539745715e-05,3109281.05540964,2867176.24315675
"P27601",0.0419559997041156,0.000455550368715316,287339.472902842,311196.124684825
"P27641",0.045541339617596,0.0306469734849076,487567.17344531,446194.278389112
"P35831",0.0267464252793186,0.02463623544851,224911.576590431,234750.342333378
"P37040",0.0342496971548685,0.000287036760580029,1543401.12989799,1983018.15693305
