"Uniprot_ID","Gene_names","Protein_names","pVal","phase","peak.shape","period","X1.KO1","X2.KO1","X3.KO1","X4.KO1","X5.KO1","X6.KO1","X7.KO1","X8.KO1","X9.KO2","X10.KO2","X11.KO2","missing_data","X13.KO2","X14.KO2","X15.KO2","X16.KO2","X17.KO3","X18.KO3","X19.KO3","X20.KO3","X21.KO3","X22.KO3","X23.KO3","X24.KO3","All_ids","First_id","Half_life","Deg profile"
"A2A432","Cul4b","Cullin-4B",0.869327298643256,3,15,24,808712.386012216,800484.761767905,771464.562991066,782543.62425772,774820.821722186,757864.20754031,791400.727577498,770302.325853501,754099.652989491,758469.099163093,738824.201839689,740243.575476303,741597.849429758,713175.030308373,746300.662399997,737821.006826786,759985.782312246,748034.959214909,727827.860568599,752164.648593778,745918.711847855,771278.494770879,744936.11626944,733529.760036165,"A2A432;E9PXY1;A2A432-2;J3QJX0","A2A432",31.37826521,"ED"
"A2A4P0","Dhx8","ATP-dependent RNA helicase DHX8",0.847846653357736,9,15,24,55845.2764188094,60095.3958825377,54254.0475393078,58300.853498046,55903.8089315148,59253.7676292485,52781.8689861847,56894.5635858402,50579.8974935119,39943.6355521979,51411.3864320421,50393.0051695474,49421.3320435244,41042.8167607133,51452.894173803,38761.1165101227,49186.9722409862,50608.3069394321,49499.5563343227,48455.2339286375,50938.8213911136,45031.198939541,49907.0919536011,47931.4536021192,"Q3UQQ4;A2A4P0;Q5DTN5;A2A4N9","Q3UQQ4",14.33396469,"UN"
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",0.0342496971548685,24,12,24,521094.103835279,514590.863096021,513277.505466478,508857.318064969,520433.766507866,524435.663737152,549054.624766288,538330.008662563,532655.753887655,545660.159700952,515734.433223047,524636.047175823,533129.387906539,532571.27833237,544842.307429969,550469.74559784,541536.752439697,567585.670341105,540905.681037796,523821.628065713,534725.282833048,510159.005525533,534033.995446065,534554.095167426,"A2A5R2;Q3U5C3","A2A5R2",24.37130152,"ED"
"A2AF47","Dock11","Dedicator of cytokinesis protein 11",0.908947527792347,21,12,24,317127.951066271,317095.396626671,301785.782659463,315362.218277729,305967.847881567,301079.971686031,325839.296911559,310009.239782364,310804.251538608,329088.321752979,304218.145526789,307488.800648812,310609.44691716,300903.7409563,315592.581454196,309346.991682672,350869.389926703,312726.668204639,334824.148563876,340919.615707816,340903.136516151,378331.292852723,356075.15784346,337405.489717116,"A2AF47;A2AF67","A2AF47",7.805641217,"ED"
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",0.811855214251221,3,6,24,82506.8857505816,81037.8656140548,75933.5208348183,73369.2459794315,76067.944780266,80357.8087902715,77324.5378900126,79063.4411773265,74504.4430534257,83444.5433401057,72009.1352311488,72920.4383081894,73789.9443981319,76453.6704784082,72083.8014476212,74853.8031286883,72130.5323775092,69177.8052810579,65648.1714262607,72847.2645517755,67264.8123172984,65419.7060760112,71532.9327022913,70790.9033660461,"A0A0A0MQE5;A2AHC3;A2AHC4;A2AHC3-2","A0A0A0MQE5",45.72031574,"ED"
"A2AIV2","1110037F02Rik","Protein virilizer homolog",0.913641774614684,3,15,24,90262.4106739433,85447.0245165096,84155.7368317179,84471.7360695465,87631.7015160476,83529.8710656855,86127.5510459382,83968.404197104,81792.9706744772,88275.4510508594,81372.3282636598,80937.6506454211,80522.9095502328,82224.7180035352,80427.0085454652,80001.7064276085,81474.3597861491,75251.9454233745,76834.3793102639,73220.9306555148,78969.6998513089,73960.6015599768,79550.0331066572,76500.7484615222,"E9PZY8;A2AIV2;A2AIV2-2;Q8CFK9","E9PZY8",34.4,"NED"
"A2AJ72","Fubp3","",0.208901435244258,6,18,24,862913.745678577,877594.459698448,873340.469231739,841972.203252236,857304.045264628,872287.591029606,824767.866112928,833655.751095118,815607.749408789,840825.530074412,817416.691819325,824670.58745471,831591.782597886,814765.96660496,816454.267939221,781047.951389348,785095.730848147,823916.783601866,793369.268125563,833511.003656991,790051.518933503,774988.342729764,766337.848686757,791300.601313485,"A2AJ72;Q3TIX6;Q3ULP9","A2AJ72",71.92147552,"ED"
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",0.0724476088632267,6,12,24,204331.614962084,195093.495117317,170960.844040262,167701.498175358,165343.788862828,167828.769939959,180592.833362234,173784.993703187,166175.054431477,169437.980369428,153228.296547279,160091.476094998,166639.875374511,140752.144396208,165094.705580052,162876.586326387,166700.102125078,172200.029718223,158224.676896115,165456.017578734,158507.454235604,154221.305734721,164109.428296274,157535.312119999,"A8Y5P4;A2AJI1;A2AJI0;A2AJI0-2;F6WF36","A8Y5P4",22.59155644,"ED"
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",0.830254859387826,9,15,24,181925.129904747,182993.933501596,187310.353610652,163257.472327217,171220.854207184,172581.882509969,182895.272068848,167052.956995608,173794.842761554,171511.513376462,171715.49680809,171129.338544936,170570.064476492,163712.130205136,160497.421425276,156826.431368341,157583.34625305,153736.859976683,154902.782580151,157354.102727445,155192.559504751,164046.074611098,154073.54357297,150718.064123261,"A2AR02;B2RWT5;Q05CC5;Q05DE4","A2AR02",216.4508807,"ED"
"A2AT37","Upf2","",0.000403018497393647,3,6,24,384510.764333555,400382.845623504,351889.827672393,360797.878764336,350192.093817969,356509.271813786,371150.367543683,365244.425697035,363167.287489209,378618.893636316,340940.864956843,346155.312407655,351130.598817189,337918.101135052,358190.479189845,358701.013636739,372469.48413987,356067.056867826,345989.796364476,355067.106713161,364286.264667559,357186.564633406,356964.363293945,367560.732890416,"A2AT37","A2AT37",28.87659341,"ED"
