"Uniprot_ID","Gene_names","Protein_names","pVal","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3","All_ids","First_id","Half_life","Deg profile"
"A2A432","Cul4b","Cullin-4B",0.495864922110209,12,15,24,817478.296035668,842947.675034682,837148.122437578,819195.220748947,816980.043206826,812580.225861691,803901.7462117,848560.03415851,814079.915639376,819000.825139507,828659.543184393,858730.558650619,834996.314144904,866602.179047142,836614.405982207,884094.668651602,814902.778622819,837359.63467896,832468.090701084,883069.612578629,851993.905763905,881771.321897114,842482.607241553,823331.223399345,"A2A432;E9PXY1;A2A432-2;J3QJX0","A2A432",31.37826521,"ED"
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",0.350891269808851,18,18,24,436036.029277694,468144.720243609,443236.625581951,426356.977334192,435690.526678336,427050.431661212,439263.386554861,460414.791096843,455475.404001673,444581.17582928,457935.634725903,452591.553573362,474946.034263138,474381.612309056,469789.232070421,483161.184509625,467165.759242915,465090.962441175,469635.045431647,478143.667463796,472732.373612247,483522.34288107,489816.833133493,470255.597067493,"A2A5R2;Q3U5C3","A2A5R2",24.37130152,"ED"
"A2ABV5","Med14","Mediator of RNA polymerase II transcription subunit 14",0.893324007134928,6,15,24,18108.4216499195,23475.6533432524,21117.6751765315,18211.3682713572,19499.6850305123,18132.4410632399,20227.7971071685,20989.8916130902,20488.2247708292,18455.6120119951,18727.4187870367,19233.1832786414,20705.7055844534,20768.7964698891,17840.8804797419,19111.7647716479,20006.7649667457,20442.0215624134,18671.6980038819,18771.9979570784,14245.7913210411,21491.7507796649,15389.3415481745,17632.2422583373,"A2ABV5;A2BDP0","A2ABV5",22.91487367,"UN"
"A2AF47","Dock11","Dedicator of cytokinesis protein 11",0.357563044141723,24,9,24,264890.253514111,266617.714252574,258914.282611691,252360.843833726,258762.471841232,266448.235986524,271030.834249864,270179.422906023,291512.016092609,285566.025978817,282029.164223945,289646.501793538,289532.174311567,288331.278164544,292137.325752289,296715.867103508,272713.620347948,289136.861094444,276357.123669745,281506.24734134,278019.775625729,294525.641347266,286425.782615671,291107.406900883,"A2AF47;A2AF67","A2AF47",7.805641217,"ED"
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",0.913031746461303,3,18,24,60265.9267413533,56706.3903043461,57819.6929692599,53177.0530277842,57900.0491542309,50717.6409150277,54892.0157277811,55452.0058877062,56862.5018944633,57739.4602463534,56065.020049407,55086.1227313734,58078.256291183,60113.0501960244,59448.5927637846,64733.1481529261,81021.6308722356,83908.9699134908,59087.9149227042,79567.8748769022,70135.5031333948,68647.0212354768,51255.1151785359,63219.6602581499,"A0A0A0MQE5;A2AHC3;A2AHC4;A2AHC3-2","A0A0A0MQE5",45.72031574,"ED"
"A2AIV2","1110037F02Rik","Protein virilizer homolog",0.783267746869125,9,15,24,56788.3227653195,40981.5539147863,55372.5049132233,45178.072348808,55591.9237801321,42805.4041599179,55678.7537892867,41943.8157484251,47664.1924505033,46115.8259319547,47661.6298357081,44125.6551648828,46027.1312945549,46374.3005416026,45597.3014398333,46669.3527823716,45360.0467756937,59743.6575263181,47371.3204543503,52036.3649979815,47848.777046859,58302.5795701724,47346.1843897874,46422.3950191215,"E9PZY8;A2AIV2;A2AIV2-2;Q8CFK9","E9PZY8",34.4,"NED"
"A2AJ72","Fubp3","",0.0799853153733733,3,15,24,860657.599408288,853449.772764224,842014.422917392,852265.58054654,867460.442031904,854806.328995114,856323.954934418,832388.593594079,879357.460642279,850931.411051261,835848.592839394,849100.096176253,843674.993028067,807430.655748363,826123.996353923,799430.995254169,855613.759258719,854689.120783989,807438.191652771,822445.105668157,818623.241878692,812696.754756586,778872.792889622,787034.579104107,"A2AJ72;Q3TIX6;Q3ULP9","A2AJ72",71.92147552,"ED"
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",0.908266501008838,24,12,24,130902.956654576,137084.559289189,141827.371206532,108945.539550482,125673.500624726,106921.668996681,133701.628073065,127267.968086181,127806.832725379,108040.66229418,124867.651212714,116226.396306274,127744.545119391,131248.283365691,126369.207974485,132814.393991957,109214.274843709,119634.679322887,111746.992432111,121408.897396355,116539.705547344,140586.86318711,109912.823407933,116172.943459241,"A8Y5P4;A2AJI1;A2AJI0;A2AJI0-2;F6WF36","A8Y5P4",22.59155644,"ED"
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",0.00862963155933052,6,15,24,129794.81252643,137989.885858688,136022.020990921,141202.693719764,134361.122532494,133078.673842682,119664.725676732,129800.671270322,130834.806047678,125816.27816189,129339.502483962,117301.291270888,126156.335187,121483.513205495,115219.352889667,119995.869587671,126462.445717513,124895.109739837,124513.963171668,124550.035756057,120300.623061995,116694.719008211,115622.087581691,120628.437433256,"A2AR02;B2RWT5;Q05CC5;Q05DE4","A2AR02",216.4508807,"ED"
"A2AT37","Upf2","",0.926022273773917,24,9,24,213074.946271789,221195.153726151,226951.252316355,205995.211695366,213435.480563614,206834.605307869,206400.560126761,214738.973247006,200669.054937727,205378.466754668,198456.504096588,204832.773685791,205314.489870493,215029.566566714,207510.117274918,218569.222282348,202013.884703896,214338.962070333,195727.076260824,214990.033436076,197798.077346821,211307.241818245,205364.426599637,210243.576572162,"A2AT37","A2AT37",28.87659341,"ED"
