"Uniprot_ID","Gene_names","Protein_names","pVal","phase","peak.shape","period","X1.KO1","X2.KO1","X3.KO1","X4.KO1","X5.KO1","X6.KO1","X7.KO1","X8.KO1","X9.KO2","X10.KO2","X11.KO2","missing_data","X13.KO2","X14.KO2","X15.KO2","X16.KO2","X17.KO3","X18.KO3","X19.KO3","X20.KO3","X21.KO3","X22.KO3","X23.KO3","X24.KO3","All_ids","First_id","Half_life.x","Deg profile.x","Half_life.y","Deg profile.y"
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",0.0342496971548685,24,12,24,521094.103835279,514590.863096021,513277.505466478,508857.318064969,520433.766507866,524435.663737152,549054.624766288,538330.008662563,532655.753887655,545660.159700952,515734.433223047,524636.047175823,533129.387906539,532571.27833237,544842.307429969,550469.74559784,541536.752439697,567585.670341105,540905.681037796,523821.628065713,534725.282833048,510159.005525533,534033.995446065,534554.095167426,"A2A5R2;Q3U5C3","A2A5R2",24.37130152,"ED",24.37130152,"ED"
"A2AT37","Upf2","",0.000403018497393647,3,6,24,384510.764333555,400382.845623504,351889.827672393,360797.878764336,350192.093817969,356509.271813786,371150.367543683,365244.425697035,363167.287489209,378618.893636316,340940.864956843,346155.312407655,351130.598817189,337918.101135052,358190.479189845,358701.013636739,372469.48413987,356067.056867826,345989.796364476,355067.106713161,364286.264667559,357186.564633406,356964.363293945,367560.732890416,"A2AT37","A2AT37",28.87659341,"ED",28.87659341,"ED"
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",0.0306469734849076,24,6,24,419238.262013666,403694.805947692,421032.615353897,406322.564888599,412231.520668,423225.189816342,426798.547036728,427078.484178067,420710.993336808,441220.916712972,427249.96161528,429401.251374459,431453.872060117,419519.996355908,435999.042501433,450679.937337014,422166.08428939,389597.081942024,407650.515768492,417978.731609989,452169.904490848,449160.353961901,441695.05584625,432676.335438936,"B2RXC1","B2RXC1",16.31635973,"UN",16.31635973,"UN"
"B9EJR8","Dnaaf5","Dynein assembly factor 5, axonemal",0.0343251899073882,6,6,24,98775.576676294,97323.5496141094,93362.257252569,88529.6102712659,92514.8343830031,94181.9353807927,96734.3052705465,95101.2433334605,94050.169733524,97366.9981480544,89356.918529004,91066.0182252918,92696.7299299718,89448.3422169241,97082.061160778,97874.3255486664,97089.3694762928,97132.4527991841,95598.021209013,98277.2833918216,96392.9590359863,96958.429918333,97182.5824512345,94638.2024686109,"B9EJR8;B2RY24","B9EJR8",20.55850652,"ED",20.55850652,"ED"
"E1U8D0","Soga1","Protein SOGA1;N-terminal form;C-terminal 80 kDa form",0.00729876820059157,6,12,24,179127.432796718,189778.55100344,182816.004004381,175269.158456315,174256.418765594,173693.440309619,182669.864442318,180693.609218052,175320.604341279,178309.526469933,171325.972820531,174434.284612145,177400.033439664,173761.482049446,166972.280733334,168322.650826974,185741.390970784,193438.205187848,175875.350456838,177437.017722804,168673.787244595,171381.843932447,177434.340756671,164811.739542508,"A2ACV6;E1U8D0","A2ACV6",15.94117513,"ED",15.94117513,"ED"
"E9PVA8","Gcn1l1","",0.00102759224486585,3,6,24,3542396.05288331,3510006.33839542,3273890.40079679,3368726.483373,3265611.98586666,3221545.75775498,3603801.48814744,3428973.96155686,3458399.80067376,3487148.91489308,3224670.50018503,3291065.81011306,3354415.89394414,3075120.86825117,3402526.10550656,3416672.7699061,3382702.17318943,3287893.95177718,3200727.5509827,3218009.08957514,3349175.42824938,3309266.41850126,3383986.44850294,3376012.1274872,"E9PVA8;Q3UHQ5;Q8CHH7;Q640Q4","E9PVA8",33.93962182,"ED",33.93962182,"ED"
"E9Q1P8","Irf2bp2","Interferon regulatory factor 2-binding protein 2",0.00447064757486997,12,12,24,111962.666776973,106384.656157705,114854.983303222,110867.287597147,115200.218460736,111324.73576972,107802.275289123,106976.976351028,105857.521084025,106538.885211055,111120.177036199,111062.576191466,111007.617213994,101727.915697019,106522.341789352,99037.0383019172,105977.231162174,108876.967449323,108648.939489975,111296.857747261,106506.033942998,108685.869158185,106183.962207009,106089.072708348,"E9Q1P8","E9Q1P8",16.32751764,"UN",16.32751764,"UN"
"E9Q555","Rnf213","E3 ubiquitin-protein ligase RNF213",0.0322663436536382,3,15,24,4546971.98114963,4545039.39580933,4234595.59690767,4508251.28191321,4272519.83427581,4181761.16993805,4675753.07124485,4422749.20534375,4457428.64605392,4749117.68765281,4271552.08296567,4279624.6307324,4287326.93046271,4053644.22317816,4285515.80885737,4385224.3809529,4339190.47023347,4170538.55927263,4127681.48429104,4009229.18923887,4186615.1021268,4005836.19473178,4226621.22986387,4014910.96092275,"E9Q555;A0A171EBL2","E9Q555",12.5471734,"UN",12.5471734,"UN"
"E9Q634","Myo1e","Unconventional myosin-Ie",0.00687546660970763,3,15,24,130594.411588041,133392.658853143,126163.693983929,113247.402833388,126375.43557361,116135.044459985,126165.633796114,116908.736584378,131526.934293053,128526.54384355,114237.136955181,118591.237068103,122745.636037873,108014.96075279,126630.347518923,128169.123628236,124429.025736602,125993.87542706,117433.277929341,125658.177916585,121078.776343867,121548.520564862,122573.478317633,123768.790214528,"E9Q634;Q8C123","E9Q634",20.38155042,"UN",20.38155042,"UN"
"E9Q6J5","Bod1l","",0.00909988227755421,3,15,24,260215.269135585,249560.327273952,241593.649306402,249235.211894751,243040.98000578,234203.83918402,245429.593715514,253333.180485815,252562.364289063,249552.842153077,249546.771666408,243534.552532636,237798.084300947,245220.465889774,247733.265248506,238555.682189709,238308.30030744,247885.122867963,256222.449071208,235892.587622138,241907.952830876,221524.168157509,233269.541067625,231012.284855078,"E9Q6J5-2;E9Q6J5;E9Q6J5-3","E9Q6J5-2",17.56652433,"ED",17.56652433,"ED"
"E9Q912","Rap1gds1","",0.0390596988601314,18,6,24,754779.410688267,748680.909206159,753205.110808964,763233.317897297,768195.414891485,769646.896171892,725959.068211566,746737.052442139,763560.691245447,767788.053859648,761951.743166218,754636.852799247,747657.460452633,757588.95424672,740273.954607067,750621.824290133,738577.280267702,704736.534163296,729275.516131329,749807.187352891,769425.874827616,773866.812782047,751384.173758106,720394.147511641,"E9Q912;Q3TPS9;Q3TA69;E9Q6Q4;Q3TLU4;Q8BKH0;A0A0G2JGC8;I6L967","E9Q912",147.7367778,"UN",147.7367778,"UN"
"E9QAH1","Golgb1","",0.0111424294736927,24,18,24,2040701.83954318,2065337.68199294,1934903.48547881,2049370.94767829,1997350.86983647,1962134.34159646,2084258.62636655,2088321.18835555,2074793.42211158,2124605.22975749,2038153.67259821,2026784.62249305,2015937.01476259,2060978.71629611,2096339.24325338,2109678.1985152,2125569.39125547,2090036.10023463,2130034.40841164,2016104.6194324,2067395.29266897,1988086.79033781,2147216.19211484,2079438.71176182,"E9QAH1","E9QAH1",17.34115896,"UN",17.34115896,"UN"
"F8VPP8","Zc3h7b","",0.0468425207495273,6,18,24,256726.794996044,263390.830662507,254867.300313123,227063.011912285,252750.891206795,249755.755038177,256972.934093074,243357.527161593,254515.40138994,263817.993382865,249353.996839395,248525.095852411,247734.212474202,244773.336744836,248328.680675844,246537.352541095,253226.566569071,260252.296163725,258783.733369105,264331.701230289,238315.891458122,258439.875886564,261384.540502885,239713.78680348,"F8VPP8;Q3UGE6;Q6ZPZ8","F8VPP8",23.51318201,"ED",23.51318201,"ED"
"F8VPU2","Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",2.85098267570164e-05,24,18,24,1304912.36282424,1281893.84279037,1190753.55421721,1225948.49108407,1200011.35761174,1196282.76985563,1334441.81430862,1310202.2321122,1336486.84296667,1316308.75879573,1233688.57744024,1248610.26235791,1262847.56302658,1206060.53922381,1319728.57161225,1355242.76884957,1320540.90519884,1303126.10694134,1261160.6176764,1246047.83144644,1292554.31776128,1241696.82168981,1301520.0655734,1352251.3257926,"F8VPU2;Q8K2R0","F8VPU2",12.93970969,"UN",12.93970969,"UN"
"F8VQ05","Fryl","",0.00137195067784413,6,12,24,109240.144960847,119582.387826994,103034.487888401,108892.0708649,100678.92972452,104363.968062832,108209.157781996,108046.152930079,104848.731688036,110102.258327142,101745.114992883,101064.259539775,100414.63157542,94894.3155705928,104535.201727419,101115.242370326,99770.0749488191,106184.588069698,104810.763148708,100443.311865487,105215.142018083,90542.8530341133,99162.1462400991,101484.118395429,"F8VQ05","F8VQ05",9.546461855,"UN",9.546461855,"UN"
