"Uniprot_ID","Gene_names","Protein_names","pVal","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3","All_ids","First_id","Half_life.x","Deg profile.x","Half_life.y","Deg profile.y","Baseline"
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",0.00862963155933052,6,15,24,129794.81252643,137989.885858688,136022.020990921,141202.693719764,134361.122532494,133078.673842682,119664.725676732,129800.671270322,130834.806047678,125816.27816189,129339.502483962,117301.291270888,126156.335187,121483.513205495,115219.352889667,119995.869587671,126462.445717513,124895.109739837,124513.963171668,124550.035756057,120300.623061995,116694.719008211,115622.087581691,120628.437433256,"A2AR02;B2RWT5;Q05CC5;Q05DE4","A2AR02",216.4508807,"ED",216.4508807,"ED",125905.374030105
"E9Q6R7","Utrn","",0.00924961567214477,24,9,24,2869009.73383998,2950074.84867875,2941716.35106264,3011167.60387156,2968344.85276627,3012709.54809113,2998423.20676132,3068127.67175252,2983278.04690152,2974612.57830089,2950833.17121326,2891802.23789143,2955990.6530079,2958329.10142233,3070235.46586173,3048130.55476339,3020597.75802277,3083364.86982339,2991692.44628785,2975796.93449627,2975516.08455844,2997535.06411395,2987893.21466569,3052029.19981962,"E9Q6R7;O08614","E9Q6R7",41.11137255,"ED",41.11137255,"ED",2989050.46658227
"E9Q7E2","Arid2","",0.0132188394177487,15,9,24,37683.8136070842,37703.3741169081,36755.4053808842,37935.7089571422,39792.8144216969,36866.2365622949,35217.1129677677,35288.2238176664,34033.8668105975,37371.1907961599,35013.3524742037,38379.5613091795,38106.5182722714,38730.5159423137,35946.6274313237,33186.7562018599,33113.1473400982,33805.5394873451,33537.8351283747,33821.0059965483,36118.6603335671,34234.2324842499,33728.6658650871,33597.2995819516,"E9Q7E2;Q8R2U9;Q8CET8;Q69ZG5","E9Q7E2",26.07185103,"ED",26.07185103,"ED",35831.977720274
"F8VPU2","Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",7.55886933816751e-05,24,12,24,829580.583899699,866765.602966938,845264.134232633,812481.536341697,819929.788805527,805091.905788341,862787.958618217,877304.744474432,853482.239102944,876077.941887271,803601.782296838,794971.844692923,833028.805269843,845595.505414114,867449.272170805,897219.548877707,872283.19746084,869230.014026641,837004.488145963,835885.427075139,831759.49399966,829385.815183682,853211.409468522,862945.404208204,"F8VPU2;Q8K2R0","F8VPU2",12.93970969,"UN",12.93970969,"UN",845097.435183691
"G5E829","Atp2b1","Plasma membrane calcium-transporting ATPase 1",0.0321090910826892,24,12,24,1059658.14558195,1077112.67146395,1081337.14890894,1052102.87357889,1021902.09108174,1018918.17859138,1090897.47015467,1124682.86981829,1142725.93491302,1124495.48567745,1140892.04397107,1060995.43188702,1148698.04277934,1121819.69197128,1187016.46630971,1174574.56450769,1157431.74784653,1162826.37784433,1120977.62905955,1111127.5550274,1098552.4037132,1132244.45665465,1125737.68942337,1176132.17749533,"G5E829;Q8K314","G5E829",42.434117,"UN",42.434117,"UN",1113035.7978442
"G5E897","Kdelc2","",0.0419559997041156,18,9,24,157393.619632562,159090.218370738,162482.037459846,160667.497113205,159141.441980857,163980.558043595,153124.09353061,151188.138796738,158107.909175646,163394.779238691,166661.714170965,163585.650412624,161277.433138717,161525.88149395,162510.45220039,159298.026944686,154468.818239391,158861.680777744,153858.4472022,163561.134148685,162757.093114211,168334.452683198,163388.957014807,166134.333761521,"G5E897;Q8C6F3","G5E897",23.92938004,"ED",23.92938004,"ED",160616.432026899
"O08547","Sec22b","Vesicle-trafficking protein SEC22b",0.00924961567214477,21,15,24,431195.408788254,446332.944865539,442289.444817887,363329.622701361,392726.152467748,381474.711545164,454289.9766556,440746.53261973,436719.71258894,398429.472459393,418006.657211485,387921.767056547,444237.800998292,431900.513827229,443170.032769704,445014.354119415,412461.727966201,411532.764230599,407805.326278575,411405.694740544,400199.711180092,432095.127356528,433898.37206134,410811.544790405,"O08547;E9Q6R3;Q3UZ06","O08547",55.65640653,"ED",55.65640653,"ED",419916.47392069
"O08715","Akap1","A-kinase anchor protein 1, mitochondrial",0.00570065779395006,21,15,24,138167.893882423,146941.905798214,146318.250147488,128794.922602596,129722.91966031,131541.786856559,150649.788702716,149382.825545548,136084.46609468,125868.659817696,137399.151144144,124960.933754569,142453.827837128,135984.630619926,156798.308561529,140934.580058059,140858.103993938,138242.447468412,137012.390121599,143504.965253227,135747.758853837,153266.967781213,142871.445367378,146602.850164445,"O08715;O08715-4;O08715-6;O08715-2;O08715-5;O08715-3","O08715",50.35058161,"ED",50.35058161,"ED",140004.657503651
"O08734","Bak1","Bcl-2 homologous antagonist/killer",0.00776211747342225,3,9,24,56088.1010521781,58008.286079872,58654.0508446446,53287.810097585,51670.9845426127,53502.6797718527,56688.1895478334,58371.9374550868,58742.8315070196,55764.7082876808,60173.2206796114,50522.990944994,55130.7543312986,56319.9325762042,55898.7987437168,56163.7402784354,61868.0487163149,53263.3218372105,58602.2635153564,53418.2741897607,55522.8043140913,54207.7571939242,55655.1203989098,49655.269567221,"O08734;Q91WX5","O08734",21.83561154,"UN",21.83561154,"UN",55715.9115197256
"O08997","Atox1","Copper transport protein ATOX1",0.038253999730223,9,15,24,703631.126513668,654520.084202345,690302.087082536,690121.242121937,665103.08165892,667566.290791288,655159.849825384,628272.765245431,637860.047862701,652740.8288079,659089.119446769,650177.117763399,640074.680778903,642265.594098658,615898.09793063,612370.400278692,618405.896332202,636395.17752479,620141.396919248,624425.66048307,618420.818110742,616605.349259555,607465.027806439,615790.806032713,"O08997","O08997",38.52880237,"ED",38.52880237,"ED",642616.77278658
"O35127","Grcc10","Protein C10",0.00986625671695442,9,15,24,237726.550228891,228334.243519711,244072.366179213,234786.551543048,241772.148509579,234181.313162126,231887.57853964,223256.150470036,228305.306240957,227436.007720513,233844.863290683,228423.419606562,230246.827368034,231451.501158743,230094.423004537,226808.292472003,241092.081287846,231079.451379297,235659.437860005,230926.991731189,224334.742164439,218844.007483065,208176.248320742,220308.169918847,"O35127","O35127",4.402178741,"UN",4.402178741,"UN",230127.028048321
"O35379","Abcc1","Multidrug resistance-associated protein 1",0.0321066534817878,24,18,24,404667.782676668,418852.444657822,409884.389769523,395150.689575101,395009.00231268,390758.27292641,413930.309501376,438801.830112113,417173.104538272,402305.814503686,400606.704221974,383889.310393294,405341.078130554,394831.401253784,407790.599899442,413798.066872812,395830.114599959,403286.365998436,373330.522394084,388573.798410354,368716.943793343,384366.486468989,379847.501007668,385264.633529784,"A5D6P3;O35379;Q8C7V6","A5D6P3",110.5,"NED",110.5,"NED",398833.631981172
"O54941","Smarce1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1",0.0095579361945496,6,15,24,370702.84975797,372232.81669559,368546.702973235,375456.648058555,379982.858620899,372059.536467962,365743.252279594,378804.195858947,380619.578465028,405719.698734667,372596.332490865,377915.034147081,371409.636349745,368565.62969388,366960.021851446,366561.332402722,372425.365870849,384498.938774567,353966.423642521,374082.369134451,352283.795295151,351523.089579278,342947.198964885,359650.992724326,"O54941","O54941",11.72579567,"UN",11.72579567,"UN",370218.929118092
"O54962","Banf1","Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",0.0213971402234549,15,15,24,1038167.84370664,1049301.47744197,1020573.27749611,1063766.82055467,1107279.31277398,1120584.69009363,1063755.80709426,1113612.67382965,1110943.89045518,1115667.4815855,1120401.33143078,1121095.27265004,1131455.3540736,1090809.53584887,1106097.05394949,1061427.73989242,1096946.14373655,1063221.86503542,1084049.13947673,1105133.55631448,1139974.44117871,1159520.38963082,1116050.9831523,1109721.35800853,"O54962","O54962",53.09016441,"ED",53.09016441,"ED",1096231.55997543
"O55022","Pgrmc1","Membrane-associated progesterone receptor component 1",0.0113136120795146,24,12,24,367655.982204913,413608.600344109,389388.533277149,358200.24189779,346367.724472501,350919.151209696,387858.910450158,391768.263301476,358702.3244005,342016.228106821,364991.4457207,345396.514639339,386550.512439454,383563.445287964,398500.267410605,409810.862665028,367668.165158442,380557.699913815,363518.801877188,380265.62537889,370487.568385505,408245.965607386,402983.176881639,404368.879068096,"Q3TFP8;Q3TXU8;Q3TH84;O55022","Q3TFP8",101.3419658,"UN",101.3419658,"UN",378058.120420798
"O55142","Rpl35a","60S ribosomal protein L35a",0.000202279500524445,15,6,24,190545.80591323,195717.971280436,205420.95535879,224473.332476603,207639.53799164,211720.551799817,172095.17362075,160987.403972487,187866.773111851,189050.737188019,219692.852392394,187603.666733935,207520.334429148,192656.988801405,180648.920111136,182427.357863515,181048.37182778,172789.518410912,193175.122573128,197709.900978729,202540.226735352,222777.738969957,181135.052737198,181145.567905265,"Q8BQV7;Q6ZWX1;O55142;Q9DC85","Q8BQV7",48.5579957,"ED",48.5579957,"ED",193682.910965978
"O70251","Eef1b","Elongation factor 1-beta",0.00377103023697231,9,15,24,2722567.87627945,2645595.48736397,2692027.33045458,2722567.7389995,2657978.99018065,2720700.78730725,2559359.17559991,2635842.47610474,2721946.83448141,2621063.53736878,2753114.02336324,2691967.19624698,2678814.66293911,2647394.86972142,2551602.3363421,2486256.67413554,2535483.94036692,2543599.5589799,2674025.24397201,2607335.12905083,2572385.88529431,2479262.48477394,2492815.06050512,2528867.65112607,"O70251;A0A087WS46","O70251",NA,"ED",NA,"ED",2622607.28962324
"O70310","Nmt1","Glycylpeptide N-tetradecanoyltransferase;Glycylpeptide N-tetradecanoyltransferase 1",0.0282096665984442,15,6,24,541238.433755416,517572.952647739,546225.670587202,544075.630909101,557285.578911998,526821.449746816,512187.129300027,534328.575099252,552474.645631861,550439.307174227,583748.399560764,554403.26587873,570317.434305781,563829.445839201,532307.363223119,550038.258940492,536699.735960623,556168.82510352,567440.726114807,558304.339440159,573931.735491132,539186.147563584,564840.714484881,550220.203680514,"Q3UJC3;O70310","Q3UJC3",162.0574921,"ED",162.0574921,"ED",549336.915389623
"O70503","Hsd17b12","Very-long-chain 3-oxoacyl-CoA reductase",0.0163909630250905,21,18,24,601240.842322324,655665.331678103,619270.501338585,538088.846232767,527304.15238298,539251.549000046,626578.219081724,642373.57849201,653837.752888376,627940.24661978,624496.200270975,608674.097732868,643568.899173629,669898.538926213,699423.639762778,734798.080586636,618482.271477799,631524.808299533,623230.150101386,665955.435227833,609994.022669535,690054.759146796,699071.754623013,690851.452211239,"Q0VGQ1;O70503","Q0VGQ1",61.26296386,"UN",61.26296386,"UN",635065.630426955
"O70579","Slc25a17","Peroxisomal membrane protein PMP34",0.0123926619541394,6,9,24,18196.4290713745,18774.9566999332,18463.8876129241,17244.8271788059,16329.7014257568,17748.3890900807,15839.2770803,18017.1668697005,16330.1188711266,17423.3701639135,16510.7780895201,16271.9473144355,14702.4010299231,14307.1186521338,15006.4737134357,15490.0286599736,15230.0902358623,18157.760190649,13263.8147721618,16646.797365012,14097.3274225241,15856.2757448134,15769.0099876674,17256.1666971744,"O70579","O70579",29.09028189,"UN",29.09028189,"UN",16372.2547474667
"O88271","Cfdp1","Craniofacial development protein 1",0.0194130821921156,21,12,24,210134.542868679,204264.338262657,198122.828208778,207960.026735788,207972.141554245,205167.097164965,213776.124967817,202373.830760063,198751.402868301,191462.55883231,189102.628226677,184585.73910204,191625.458755502,193579.300568884,207713.637449137,220308.609474415,202120.038275609,202761.810531991,197101.514060811,200670.647810397,202995.294351139,200558.818243838,205118.000290344,199978.402384264,"O88271","O88271",33.88046285,"ED",33.88046285,"ED",201591.86632286
