"uniprot","WT_T24","WT_T36","CKO_T24","CKO_T36","WT_mean","CKO_mean","WT_CKO_FC"
"P0DPB4",4662.71276953319,4302.71385707217,5639.57564386473,6183.6567522114,4482.71331330268,5911.61619803807,1.31875848060483
"A1A5B6",11661.0826815924,11985.3994090209,12018.9396881456,13349.3475102081,11823.2410453067,12684.1435991768,1.07281442969582
"A2A432",456792.823735572,476877.238214046,464634.818328444,457383.793592754,466835.030974809,461009.305960599,1.01263689244205
"A2A4P0",7903.82071847784,7674.40427914736,7414.44135560706,7742.6998845161,7789.1124988126,7578.57062006158,1.02778121222407
"A2A5R2",361520.987151019,343807.32236202,307994.695645798,311531.991474415,352664.15475652,309763.343560106,1.13849544204732
"A2A5Z6",21973.0780267924,23488.36330604,22520.3709474889,22345.9689847347,22730.7206664162,22433.1699661118,1.01326387223713
"A2A699",40813.2582286686,41153.6642988052,52847.0343140028,53333.6914311656,40983.4612637369,53090.3628725842,1.29540944653105
"A2A6A1",35199.7486128524,35573.8415874298,39896.3598347803,41457.2235283952,35386.7951001411,40676.7916815878,1.14949069466383
"A2A6Q5",73269.4315166259,71136.4921189159,65612.6413726664,64040.6824255223,72202.9618177709,64826.6618990944,1.11378497214862
"A2A6T1",86230.8458639178,83076.6776094299,66770.1455307048,68151.9386701817,84653.7617366739,67461.0421004433,1.25485404762399
"A2A791",11838.3181694157,11918.3509825729,13823.2914559189,14021.5215437147,11878.3345759943,13922.4064998168,1.17208405022986
"A2A8L1",26509.2785872859,25492.4549443601,26817.8876975193,27002.7266242316,26000.866765823,26910.3071608755,1.03497731068904
"A2A8L5",9533.49108797479,8646.7893765453,10587.3673854947,10608.1434607018,9090.14023226005,10597.7554230983,1.16585169780856
"A2A8U2",6573.84349539948,7132.63961495991,7046.16920045317,6921.81635122002,6853.24155517969,6983.99277583659,1.01907874100222
"A2A8Z1",222939.336245657,216976.44871663,208699.199175221,211348.76147212,219957.892481143,210023.980323671,1.04729894244535
"A2A9C3",12973.2250674944,11456.0220305118,13087.1475754876,12970.0057747234,12214.6235490031,13028.5766751055,1.0666375940967
"A2AAE1",1214.216229113,1171.27270984378,1350.49672406895,1515.52660302187,1192.74446947839,1433.01166354541,1.20144062723854
"A2AAY5",253354.105631588,254260.415901197,243960.914805845,246050.951534753,253807.260766393,245005.933170299,1.03592291616047
"A2ABV5",11978.0111687642,11426.7476418226,11940.426712708,11530.9635816797,11702.3794052934,11735.6951471938,1.00284692033531
"A2ADA5",4351.53007266025,4165.56858925861,3945.37026559601,3719.59857738281,4258.54933095943,3832.48442148941,1.11117198730959
"A2ADY9",69206.6156238378,67161.5026523075,84342.8065607394,86290.7431817967,68184.0591380726,85316.774871268,1.25127157212072
"A2AF47",77582.3244623956,81189.7062299313,88919.4744339868,89356.3288784892,79386.0153461634,89137.901656238,1.1228413627709
"A2AG50",41815.7548219794,31546.4989646835,37108.8480036327,41524.6878349996,36681.1268933315,39316.7679193161,1.07185278232179
"A2AG58",17359.2160544893,15452.0893626421,13096.6151702473,12580.2262223231,16405.6527085657,12838.4206962852,1.2778559837436
"A2AGH6",18815.3879288399,20160.1868820027,22292.6521561937,21749.714455832,19487.7874054213,22021.1833060129,1.12999915526002
"A2AGT5",830315.635871996,838584.680800567,756187.294830137,762695.792108085,834450.158336282,759441.543469111,1.09876812180241
"A2AH22",10167.548103849,11123.4375345443,12548.8809051099,12638.1978569107,10645.4928191967,12593.5393810103,1.18299261432977
"A2AHC3",63616.1637667933,60341.7664973195,60959.8811301103,61036.3763164826,61978.9651320564,60998.1287232965,1.01607977866353
"A2AI08",15318.1025870595,14977.5975547299,15381.7339534325,17693.273899254,15147.8500708947,16537.5039263433,1.0917393457781
"A2AIG8",30375.1516642373,31247.2567524445,32387.4112276264,32125.7347839932,30811.2042083409,32256.5730058098,1.04691049358849
"A2AIV2",9593.40742202062,10817.6705728168,12326.9645797295,12761.3998911404,10205.5389974187,12544.1822354349,1.22915430910682
"A2AIW0",7374.94995541184,7420.28601742615,7145.903307361,6859.67980394796,7397.617986419,7002.79155565448,1.0563812913217
"A2AJ15",126128.52180024,125329.38969528,118690.716008986,116016.406672386,125728.95574776,117353.561340686,1.07136889849264
"A2AJ88",4029.27531608644,3675.50101618955,3830.53677673688,3482.07322162787,3852.388166138,3656.30499918238,1.05362877741312
"A2AJI0",378380.970633638,370443.274992993,308784.964781059,304009.997752728,374412.122813315,306397.481266893,1.22198172538885
"A2AJT4",25021.0891455094,27090.5962519194,36565.9059168501,38692.2099760289,26055.8426987144,37629.0579464395,1.44416967747108
"A2AKG8",15739.5113190475,15794.6960139249,16730.8396151953,17037.6196869216,15767.1036664862,16884.2296510585,1.07085169275234
"A2AKX3",6700.18502561116,7441.49761791626,7446.95850811161,7609.03794482809,7070.84132176372,7527.99822646985,1.0646538203734
"A2ALU4",128166.667573456,136391.41835634,123532.272439325,124503.507283544,132279.042964898,124017.889861434,1.06661259204373
"A2ALW5",73343.8875898648,73101.4866565947,66657.8997058299,68348.2465676896,73222.6871232297,67503.0731367598,1.08473116438539
"A2AMZ4",12662.8463129382,11850.714251925,14040.3323704764,13040.4001193662,12256.7802824316,13540.3662449213,1.10472456329576
"A2AN08",1212837.72597277,1209455.5418777,1101054.84776877,1068876.73273587,1211146.63392523,1084965.79025232,1.11629937534119
"A2APB8",2618.01958194712,2790.80120129874,1970.0370762545,2136.43024175979,2704.41039162293,2053.23365900714,1.31714692078965
"A2APV2",10567.5935131123,10698.6663011325,9324.39723325226,9698.50549569719,10633.1299071224,9511.45136447473,1.11792927279607
