ID	CT0	CT3	CT6	CT9	CT12	CT15	CT18	CT21	CT24	CT27	CT30	CT33	CT36	CT39	CT42	CT45	CT48	CT51	CT54	CT57	CT60	CT63	CT66	CT69
A0A023T672_S56___1	27628.8320617113	28740.0517367334	29280.6023930556	31868.070517321	31805.8112125118	30178.2895277943	32215.5347842778	34688.3365631342	31721.6930102984	29547.6257614934	31405.2153945208	33278.9344666659	35137.8689542294	33590.2859819295	37925.1334242844	40713.9311357527	33545.1701731971	30114.7287456212	35377.307231601	38149.3987774097	41011.6924542618	40391.5777962731	41477.607099297	36330.3086072165
A0A068BD34_S619___1	12426.0290384461	15693.112819641	11983.2807069837	12272.7925649996	13461.6207104131	15778.6447331225	13364.8292029537	16772.7306455993	17961.4979820731	14517.4401782885	18809.3590222403	19014.8410927629	19206.8209934468	18934.0568551905	17859.787992171	18346.9504122186	16519.2817116634	18324.5903876912	15905.6926181495	15519.9914630927	15322.8513359695	15946.4048675911	15257.3699028819	16259.4169342996
A0A068EW80_S528___1	131193.105361924	179473.317861565	140177.597604704	128832.015075357	137085.606220011	129705.414775361	146866.548499412	131035.443360091	142523.464342227	166140.198037577	139463.221723378	140131.682042878	140777.072828718	165139.278513738	135388.783985738	127594.485788339	137170.85637993	210075.32207014	193740.337066335	139112.491055869	137243.774249675	97043.6033355028	129433.634998545	138247.351225659
A0A068EW80_S515___1	155614.973065869	157639.105030408	180514.049044052	173671.408789071	166859.969747542	183160.032703358	181045.357335612	183050.643257504	161315.921823059	187944.062089629	169127.228945608	172115.03230237	175007.460464075	179924.012662818	172619.360074875	186327.355673367	171421.575916409	161593.160908518	171503.35619851	173514.696750977	180911.632319728	181110.620158597	169947.325905963	170773.11228513
A0A068EW80_S17___1	182880.867294734	179762.226514084	193683.44704527	198416.103449228	200095.383132506	190016.38412905	205953.899917291	201229.052878073	196775.83667217	202879.9470369	195800.694436141	198767.006273504	201638.153824184	200463.167125322	186364.448576224	198171.974626486	197430.683172186	196812.145336911	202541.338486579	195219.441707865	205825.725665602	182145.989551016	192485.889002361	189658.629740686
A0A087WNV1_S181___1	70117.5016188407	76612.7973327424	66371.9198141151	76063.3801207655	61753.121035631	70252.8739674011	64820.8028821057	74143.5659778269	74626.2707146182	80787.6510936137	68961.0531476021	66765.4826693128	64536.3660808237	76929.4102127973	61350.1032565723	82395.0766814766	66273.2367952348	59554.8643735614	64947.5189521144	66925.5420320191	74097.2159096371	71450.8938860238	63080.8410268645	73121.2469183918
A0A087WPP8_S177___1	38360.7218333619	36558.5405421242	37695.3097374713	37693.8989747384	39537.6933590612	34674.6574856335	39951.0924699045	40695.6628456058	50504.219792249	39146.2772094072	49184.9074463827	45286.6165474143	41829.8718545036	43576.7194211689	49557.3062026372	47683.7423431942	46731.8466208942	41748.1043420378	38799.8495725638	44384.989886716	41715.7707991597	46884.5553028583	42158.5687896421	47791.2717085519
A0A087WQS0_S1514___1	311807.624721465	304775.946842588	310070.307330788	308138.637285875	306594.803006841	290013.012098654	295941.465801122	301538.179409023	322054.185225453	309356.781491947	326540.210300357	322959.480004552	319705.170221949	306536.493685627	323291.10393102	331317.6519938	323629.037088812	282023.742221925	314467.145463447	329695.107325406	344606.17392125	359046.794458799	341885.03114294	340690.661167062
A0A087WQS0_S836___1	43982.8198825077	43635.5496762184	40141.0781075215	40359.4505214851	43292.9619230389	40959.1207329627	42214.4848635194	33807.4907605397	44477.5698528858	42611.3435667047	42976.1303476719	43487.5970463273	43973.3350145114	38592.7311357083	42599.0351227446	42929.4838589874	41164.9313843741	41523.0184861467	40412.8485245369	43650.1553216088	43644.6273507484	52171.4645639895	46069.2377547991	45780.391945898
A0A087WQS0_S1526___1	26878.7817192439	24984.868831708	26728.4803301116	22101.8297813456	24066.9821237284	22303.4629648023	24132.4516685774	20236.8961714094	27401.1295485204	23594.0276095829	27294.4758948375	25999.1892037358	24800.8026449196	22858.6409220265	25656.7810880958	21258.0707662424	45848.8342190338	71289.547710244	55362.2996438881	50081.8509768773	27827.9978926185	31306.6353146548	41292.1756917759	28023.3390433899
