ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
A0A023T672_S56___1	cosine	24.0	9.0	12.0	31236.52748965416	1752.422589684226	3.0	51.0	34130.3961228	28155.629615499998	5974.76650732	1.21220503995	1.1120148860899999	0.22815259455336584	0.05915152205116561	1.656242617432637	0.6593406593406593	0.6593406593406593	0.999000999000999
A0A068BD34_S619___1	cosine	24.0	12.0	9.0	14748.213206779641	2548.9106765501524	51.0	9.0	22676.455911400004	10326.4006294	12350.055282	2.19596902399	1.20620957112	0.18327011693631026	0.10479929422810884	2.9343802383870483	0.8411588411588412	0.8411588411588412	0.999000999000999
A0A068EW80_S528___1	cosine	24.0	18.0	0.0	127701.38445978015	14629.766751202993	36.0	9.0	156786.507904	97729.4627862	59057.045117400005	1.60429110561	1.2051681501	0.3100158702662392	0.016903200710028324	0.4732896198807931	0.2997002997002997	0.2822237939036305	0.999000999000999
A0A068EW80_S515___1	cosine	24.0	3.0	0.0	151278.57458001375	20038.647450795226	30.0	12.0	205594.197179	115610.47284100001	89983.7243381	1.77833540619	1.19199263912	0.20414101708758134	0.08112374916958642	2.27146497674842	0.7532467532467533	0.7532467532467533	0.999000999000999
A0A068EW80_S17___1	cosine	24.0	12.0	21.0	199767.8832800175	9681.558056800368	36.0	48.0	218902.93668400001	180730.382721	38172.5539633	1.21121271027	1.0723260039799998	0.15275979328671438	0.14782765030387718	4.139174208508561	0.9300699300699301	0.9300699300699301	0.999000999000999
A0A087WNV1_S181___1	cosine	24.0	12.0	9.0	65719.08447050348	4379.672363197285	24.0	57.0	75913.008	58103.1650522	17809.8429478	1.30652104635	1.0894656617899998	0.2580742462980696	0.03863252516949062	1.0817107047457373	0.5124875124875125	0.5124875124875125	0.999000999000999
A0A087WPP8_S177___1	cosine	24.0	0.0	21.0	43135.74561665073	5339.8346449905375	24.0	21.0	52922.2676258	34411.92725280001	18510.340373	1.53790478624	1.22290379513	0.2995073888302339	0.02016114215609676	0.5645119803707093	0.3436563436563437	0.32355578990041434	0.999000999000999
A0A087WQS0_S1514___1	cosine	24.0	9.0	12.0	296575.21419547475	21668.779796858063	9.0	54.0	353617.22025	260776.09705500002	92841.1231943	1.3560185317700002	1.1009104655500002	0.2954763109789492	0.021545066942792488	0.6032618743981897	0.35664335664335667	0.3402608073299981	0.999000999000999
A0A087WQS0_S836___1	cosine	24.0	21.0	18.0	42252.24336330297	2383.906844707797	30.0	57.0	47060.687078400006	37606.597465	9454.08961336	1.2513944427500001	1.07395539096	0.2181993587179568	0.06761446149507122	1.8932049218619944	0.6973026973026973	0.6973026973026973	0.999000999000999
A0A087WQS0_S1526___1	cosine	24.0	3.0	15.0	23551.28264623208	1327.9461299770614	27.0	9.0	25590.563217099996	20500.556383900002	5090.00683318	1.24828627759	1.09279876421	0.2657278887996337	0.03444220575113408	0.9643817610317544	0.4695304695304695	0.4695304695304695	0.999000999000999
A0A087WQS0_S792___1	cosine	24.0	15.0	0.0	78756.26217663451	4355.776107801629	30.0	3.0	87591.2159702	70772.8418901	16818.3740801	1.2376388121600002	1.0968183282600001	0.20336921463781316	0.08192052243423542	2.293774628158592	0.7562437562437563	0.7562437562437563	0.999000999000999
A0A087WQS2_S443___1	cosine	24.0	6.0	3.0	6398.465943119797	733.9891676729303	45.0	51.0	7292.30553815	4331.07104937	2961.23448879	1.6837187511000002	1.19445004474	0.1818710879507543	0.10654892958100276	2.983370028268077	0.8521478521478522	0.8521478521478522	0.999000999000999
Q3U607_S188___1	cosine	24.0	18.0	3.0	160508.95623312294	8820.795993670765	18.0	30.0	180938.72903599998	138333.792901	42604.9361349	1.3079864669499999	1.05669715828	0.5139694697210186	0.0002168802138152465	0.006072645986826903	0.003996003996003996	0.003996003996003996	0.6720479520479521
A0A087WSE3_S2144___1	cosine	24.0	21.0	0.0	15941.263910027716	3971.1274482026392	15.0	51.0	22475.9869244	7964.49964296	14511.487281400001	2.82202121061	1.52890283123	0.2255549471437564	0.0612756889104502	1.7157192894926057	0.6763236763236763	0.6721072029696689	0.999000999000999
A0A0A0MQ73_S1627___1	cosine	24.0	3.0	0.0	37092.6606396577	6542.861628851263	33.0	0.0	46358.4998997	24802.980501	21555.519398700002	1.8690697232099998	1.29958331806	0.15217784910165155	0.14874946071331066	4.164984899972698	0.9370629370629371	0.9338694481051569	0.999000999000999
S4R248_S199___1	cosine	24.0	6.0	3.0	10055.539951430215	1321.873439175339	6.0	33.0	11698.714944	7870.28384899	3828.43109503	1.4864412985	1.27180415153	0.09279137140344608	0.2626323221755049	7.353705020914138	0.996003996003996	0.9946503966721064	0.999000999000999
A0A0A0MQ99_S36___1	cosine	24.0	15.0	12.0	195811.26343330005	13883.648410901673	39.0	0.0	220424.593911	160493.462799	59931.131112099996	1.3734178954499998	1.1004355744	0.14643453225998282	0.15805277010113494	4.425477562831778	0.9470529470529471	0.9449286994921365	0.999000999000999
A0A0A0MQN9_S2250___1	cosine	24.0	9.0	6.0	73323.54714550321	6220.763878490604	63.0	36.0	85092.9834492	62030.4541345	23062.5293146	1.3717936558200001	1.13481124496	0.13785639881971784	0.1726443686722099	4.834042322821877	0.968031968031968	0.9589423777229509	0.999000999000999
Q921M8_S633___1	cosine	24.0	18.0	21.0	20704.96143850322	1507.665173776209	24.0	69.0	24035.7132946	17830.080357900002	6205.63293671	1.34804290346	1.07890874391	0.2181993587179568	0.06761446149507122	1.8932049218619944	0.6973026973026973	0.6973026973026973	0.999000999000999
A0A0A6YY83_S1185___1	cosine	24.0	9.0	12.0	338281.8451416002	27056.85925965793	54.0	12.0	385580.068709	288804.29289	96775.7758193	1.33509119567	1.10837550278	0.1159464005107269	0.2136644365548029	5.982604223534483	0.987012987012987	0.9828886492228329	0.999000999000999
A0A0A6YY83_S1011___1	cosine	24.0	6.0	3.0	290865.07334176573	16850.929440261923	54.0	27.0	334831.537025	264273.077506	70558.45951880001	1.26699072106	1.0900771912	0.1818710879507543	0.10654892958100276	2.983370028268077	0.8521478521478522	0.8521478521478522	0.999000999000999
A0A0A6YY83_S989___1	cosine	24.0	6.0	9.0	100202.80930326147	7329.7479867888205	54.0	45.0	111201.04614100001	85717.2857986	25483.7603428	1.29730013154	1.1208072899200001	0.21237337115470045	0.07298545049751573	2.04359261393044	0.7142857142857143	0.7142857142857143	0.999000999000999
A0A0B4J1E4_S390___1	cosine	24.0	3.0	0.0	54056.46497560173	6276.566751034769	15.0	0.0	67040.7215123	44772.8514875	22267.8700248	1.49735206235	1.2008375949299999	0.330337282196268	0.011864341762666228	0.3322015693546544	0.22377622377622378	0.2120168721206591	0.999000999000999
Q99MR6-3_S67___1	cosine	24.0	6.0	18.0	55150.18936363328	5698.894875268866	30.0	0.0	70515.27221560001	44019.3158395	26495.9563761	1.60191658754	1.1379794595700001	0.14818474149146238	0.1551780834750049	4.344986337300137	0.942057942057942	0.9417051717323296	0.999000999000999
