wt_1_t24	wt_2_t24	wt_3_t24	wt_4_t24	wt_1_t36	wt_2_t36	wt_3_t36	wt_4_t36	ko_1_t24	ko_2_t24	ko_3_t24	ko_4_t24	ko_1_t36	ko_2_t36	ko_3_t36	ko_4_t36	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T
4440.89990234375	3305.5	4676.10009765625	4828.5	4209.2001953125	3220.80004882813	4492.5	4963.7998046875	6351.5	7219.60009765625	6328	4799.89990234375	5384.7998046875	7995.89990234375	4339.89990234375	6587.60009765625	2	2	2	5	5	5	49.983	0.00016064	5.8609	2	P0DPB4-2;P0DPB4;A0A088MLT8	P0DPB4-2;P0DPB4;A0A088MLT8		Schip1	sp|P0DPB4-2|SCHI1_MOUSE Isoform Schip1-2 of Schwannomin-interacting protein 1 OS=Mus musculus OX=10090 GN=Schip1;sp|P0DPB4|SCHI1_MOUSE Schwannomin-interacting protein 1 OS=Mus musculus OX=10090 GN=Schip1 PE=1 SV=1;sp|A0A088MLT8|IQIP1_MOUSE IQCJ-SCHIP1 read
9488.599609375	9654.5	11693	12055	13280	10658	11869	11514	14934	14135	13685	9957.5	12576	14047	13828	12163	3	3	3	5.9	5.9	5.9	82.574	0.00017164	8.2382	3	A1A5B6	A1A5B6	TBC1 domain family member 25	Tbc1d25	sp|A1A5B6|TBC25_MOUSE TBC1 domain family member 25 OS=Mus musculus OX=10090 GN=Tbc1d25 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	3	3.7	3.7	3.7	104.16	0.00016404	6.5214	3	A1L3T7	A1L3T7	Protein FAM65C	Fam65c	sp|A1L3T7|RIPR3_MOUSE RIPOR family member 3 OS=Mus musculus OX=10090 GN=Ripor3 PE=1 SV=1
395610	324410	494420	480230	482300	397420	494910	501070	570230	499260	541440	417660	497540	469750	520040	336810	45	45	33	38.7	38.7	31.3	110.7	0	226.63	71	A2A432;A2A432-2	A2A432;A2A432-2	Cullin-4B	Cul4b	sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1;sp|A2A432-2|CUL4B_MOUSE Isoform 2 of Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b
6884.5	6337.2998046875	7302.7001953125	8520	8982.2998046875	7132.2998046875	6975.7001953125	7241.2998046875	8061.10009765625	8975.599609375	7742.60009765625	7509.89990234375	7773.89990234375	7662.2998046875	8331.7998046875	6778.60009765625	3	3	3	4.3	4.3	4.3	142.57	0.00017013	7.882	3	A2A4P0	A2A4P0	ATP-dependent RNA helicase DHX8	Dhx8	sp|A2A4P0|DHX8_MOUSE ATP-dependent RNA helicase DHX8 OS=Mus musculus OX=10090 GN=Dhx8 PE=2 SV=1
376240	294240	354100	302450	399900	336610	331770	292900	407710	347580	305810	289680	357270	332200	316230	237370	38	38	23	25.2	25.2	17.1	202.24	0	166.88	60	A2A5R2	A2A5R2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arfgef2	sp|A2A5R2|BIG2_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1
19070	17192	23856	21048	24981	22301	22642	22601	26326	25170	22681	23854	23530	26710	20466	18387	8	7	5	12.4	11.5	9.1	86.174	0	17.783	8	A2A5Z6;A2A5Z6-2	A2A5Z6;A2A5Z6-2	E3 ubiquitin-protein ligase SMURF2	Smurf2	sp|A2A5Z6|SMUF2_MOUSE E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus OX=10090 GN=Smurf2 PE=1 SV=1;sp|A2A5Z6-2|SMUF2_MOUSE Isoform 2 of E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus OX=10090 GN=Smurf2
36454	29024	49439	36924	41250	36140	46646	38277	58385	66523	54839	51021	48878	64471	51330	46929	7	7	7	16.1	16.1	16.1	67.806	0	47.721	10	A2A699-2;A2A699	A2A699-2;A2A699	Protein FAM171A2	Fam171a2	sp|A2A699-2|F1712_MOUSE Isoform 2 of Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2;sp|A2A699|F1712_MOUSE Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2 PE=1 SV=1
29966	26478	37375	36390	36228	31446	38405	34126	50857	42480	49893	31463	42239	42943	48403	31431	10	10	10	10.3	10.3	10.3	164.99	0	94.713	11	A2A6A1	A2A6A1	G patch domain-containing protein 8	Gpatch8	sp|A2A6A1|GPTC8_MOUSE G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1
