ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
A0A023T672_S56___1	cosine	24.0	9.0	12.0	35558.74661000327	2011.3062369141865	3.0	51.0	38886.9714997	32041.871983099998	6845.09951662	1.21362982538	1.1121731556	0.22815259455336584	0.05915152205116561	1.656242617432637	0.6503496503496503	0.6503496503496503	0.9998752492865195
A0A068BD34_S619___1	cosine	24.0	12.0	9.0	22609.972174266637	3914.027843495687	51.0	9.0	34756.782244199996	15859.502353100002	18897.2798911	2.19154305541	1.21094646253	0.18327011693631026	0.10479929422810884	2.9343802383870483	0.8441558441558441	0.8441558441558441	0.9998752492865195
A0A068EW80_S528___1	cosine	24.0	18.0	0.0	143947.1070443082	16388.046442058265	36.0	9.0	176547.94523699998	110378.334472	66169.6107651	1.59948006175	1.2030798629000001	0.2952532097773707	0.02162395005989455	0.6054706016770475	0.3546453546453546	0.33819616880352676	0.9998752492865195
A0A068EW80_S557___1	cosine	24.0	21.0	0.0	15594.912298068048	1206.620981391702	69.0	27.0	17491.733932	12940.7456966	4550.98823535	1.3516789791	1.0956926701899998	0.2699264121556429	0.03230693818080994	0.9045942690626784	0.4515484515484515	0.4487248625590824	0.9998752492865195
A0A068EW80_S515___1	cosine	24.0	3.0	0.0	127004.22676579727	16780.87130814225	30.0	12.0	172792.614513	97105.60105439999	75687.01345880001	1.77942994675	1.1903191579299999	0.21156432679985704	0.0737564416596048	2.065180366468934	0.7372627372627373	0.7285476286660915	0.9998752492865195
A0A068EW80_S503___1	cosine	24.0	6.0	3.0	6277.553825402035	1571.1365399241656	30.0	3.0	8873.05330278	3325.38325088	5547.6700519	2.66827990441	1.4944929332199999	0.21898763651213274	0.06691183000253087	1.8735312400708648	0.7082917082917083	0.694277758823223	0.9998752492865195
A0A068EW80_S17___1	cosine	24.0	12.0	21.0	62704.634353482375	3033.961991961718	36.0	48.0	68635.141428	56771.16817030001	11863.973257700001	1.20897884684	1.0717387973399999	0.1825665822207074	0.1056765215839412	2.9589426043503533	0.8441558441558441	0.8441558441558441	0.9998752492865195
A0A087WP63_S560___1	cosine	24.0	3.0	6.0	18149.878594976013	3351.116430377705	21.0	42.0	27597.8791223	14459.974566600002	13137.9045557	1.90857037785	1.2825874721500001	0.15217784910165155	0.14874946071331066	4.164984899972698	0.9270729270729271	0.9270729270729271	0.9998752492865195
A0A087WNV1_S181___1	cosine	24.0	12.0	9.0	54478.290563956056	3580.4713090795453	24.0	57.0	62853.8146907	48148.8978328	14704.9168579	1.30540505639	1.0920336069399998	0.2431134204257177	0.048020440593118933	1.34457233660733	0.5784215784215784	0.5776328535418601	0.9998752492865195
Q3U6E4_S2___1	cosine	24.0	21.0	0.0	41622.40371567522	3165.086282925352	6.0	48.0	47518.3867982	35454.9578318	12063.428966500001	1.34024660313	1.1263909088	0.21815970297510864	0.06764995867882109	1.8941988430069907	0.7152847152847153	0.6981558612707752	0.9998752492865195
A0A087WPP8_S177___1	cosine	24.0	0.0	21.0	32081.447353710624	3989.102743323729	24.0	21.0	39307.222743599996	25580.9681424	13726.2546012	1.5365807316100002	1.2214274571700001	0.2995073888302339	0.02016114215609676	0.5645119803707093	0.3336663336663337	0.3212152032243911	0.9998752492865195
F8VQC7_S75___1	cosine	24.0	21.0	9.0	47984.503726090115	6127.840322489909	36.0	9.0	63698.599196300005	40214.82318469999	23483.7760116	1.58395820625	1.1567946734999999	0.26352749478578685	0.03560678181850737	0.9969898909182064	0.48151848151848153	0.4787426964026801	0.9998752492865195
A0A087WQS0_S1054___1	cosine	24.0	6.0	12.0	19458.675101036108	3148.7642323031555	6.0	39.0	26750.860514300002	14965.836143900002	11785.0243704	1.78746180682	1.33311644484	0.11945621868631055	0.20673596440309705	5.788607003286718	0.98001998001998	0.98001998001998	0.9998752492865195
A0A087WQS0_S1062___1	cosine	24.0	9.0	3.0	24530.173394497513	2712.469545908771	12.0	27.0	29344.8318649	19159.923369599997	10184.9084953	1.53157355063	1.18805454754	0.23799881093859854	0.05162016738148153	1.4453646866814829	0.6023976023976024	0.6023976023976024	0.9998752492865195
A0A087WQS0_S616___1	cosine	24.0	0.0	9.0	11880.079421735376	2093.892958374588	42.0	18.0	16607.180768399998	8517.49923496	8089.681533399999	1.9497719119499999	1.27843916509	0.17378823796322213	0.11707097859576515	3.2779874006814245	0.8811188811188811	0.876479749579528	0.9998752492865195
A0A087WQS0_S154___1	cosine	24.0	15.0	12.0	14118.810812951131	1341.2947341864094	27.0	54.0	17018.081330899997	11324.7894036	5693.29192737	1.50272828257	1.13138521464	0.2816048697307362	0.026935575910470855	0.754196125493184	0.4045954045954046	0.39591009714474745	0.9998752492865195
A0A087WQS0_S1514___1	cosine	24.0	9.0	12.0	240784.0239684404	17560.641861136515	9.0	54.0	287627.212905	212553.93663399998	75073.27627080001	1.35319635787	1.09867696727	0.2954763109789492	0.021545066942792488	0.6032618743981897	0.34765234765234765	0.33729317829196126	0.9998752492865195
A0A087WQS0_S836___1	cosine	24.0	21.0	18.0	43257.896713048925	2403.6379928589913	30.0	57.0	48233.215206	38488.5657466	9744.64945944	1.25318297189	1.07336512146	0.2257234745358174	0.061136095767155875	1.7118106814803644	0.6713286713286714	0.6623004485723024	0.9998752492865195
A0A087WQS0_S1526___1	cosine	24.0	3.0	15.0	26417.17897381648	1464.4040267673208	27.0	9.0	28605.304342299998	23038.9236048	5566.38073749	1.24160767373	1.0918619028799998	0.2657278887996337	0.03444220575113408	0.9643817610317544	0.46353646353646355	0.46353646353646355	0.9998752492865195
A0A087WQS0_S851___1	cosine	24.0	3.0	21.0	8773.808702866856	911.7373029064372	63.0	0.0	10340.2629088	6461.85540766	3878.4075011	1.60020029178	1.14964045499	0.2288212375774623	0.058614209436969024	1.6411978642351328	0.6453546453546454	0.6453546453546454	0.9998752492865195
A0A087WQS0_S792___1	cosine	24.0	15.0	0.0	77625.58912897279	4211.0913346436655	30.0	3.0	86429.9292733	69821.332452	16608.5968213	1.23787281391	1.0918413882	0.19597397046916534	0.08985625322931617	2.515975090420853	0.7982017982017982	0.7958355256562304	0.9998752492865195
A0A087WQS2_S443___1	cosine	24.0	6.0	3.0	6186.419774598663	705.0762058153304	45.0	51.0	7015.49243716	4187.42561105	2828.06682611	1.6753712397100002	1.19040848212	0.18929439766303	0.097502851448466	2.7300798405570483	0.8251748251748252	0.8222030212296295	0.9998752492865195
Q3U607_S188___1	cosine	24.0	18.0	3.0	162439.66486350851	8967.019179640709	18.0	30.0	183296.17608399998	140141.980566	43154.1955174	1.3079319654500001	1.05836194901	0.5065742255523709	0.00026215923402589456	0.007340458552725048	0.007340458552725048	0.007340458552725048	0.9998752492865195
A0A087WRF2_S481___1	cosine	24.0	12.0	18.0	19505.00953299363	2998.1049411707118	60.0	66.0	25618.983571700002	14795.234661200002	10823.7489105	1.73156993845	1.22519298012	0.19486729184575807	0.09109137384214773	2.5505584675801356	0.8021978021978022	0.8003172490388788	0.9998752492865195
A0A087WRF2_S468___1	cosine	24.0	12.0	15.0	86864.91325771707	6653.542473521457	36.0	39.0	97955.37930730001	75762.6762426	22192.703064700003	1.29292395894	1.14749623112	0.2665859433450969	0.033996638123773563	0.9519058674656596	0.46053946053946054	0.46053946053946054	0.9998752492865195
A0A087WSB8_S6___1	cosine	24.0	3.0	18.0	28534.15819093852	4511.133345038928	45.0	66.0	37582.3393291	19173.3410942	18408.998234900002	1.96013512431	1.30828092287	0.15160250545727888	0.14966458474778954	4.190608372938106	0.9300699300699301	0.9300699300699301	0.9998752492865195
A0A087WSE3_S2144___1	cosine	24.0	21.0	0.0	15779.57834033133	3942.661113708449	15.0	51.0	22297.574834900002	7880.77007523	14416.8047597	2.82936497602	1.5370821636899998	0.21815970297510864	0.06764995867882109	1.8941988430069907	0.7152847152847153	0.6981558612707752	0.9998752492865195
A0A0A0MQ73_S1627___1	cosine	24.0	3.0	0.0	45301.43259026046	7936.283853047079	33.0	0.0	56607.3460901	30420.5708564	26186.7752338	1.86082458338	1.2956378179899999	0.15217784910165155	0.14874946071331066	4.164984899972698	0.9270729270729271	0.9270729270729271	0.9998752492865195
S4R248_S101___1	cosine	24.0	18.0	6.0	26713.06511274621	4401.715539458101	12.0	30.0	36011.454594	17019.837818	18991.616776099996	2.11585180653	1.28404557267	0.25191406053548604	0.04229912003936556	1.1843753611022358	0.5174825174825175	0.5174825174825175	0.9998752492865195
S4R248_S199___1	cosine	24.0	6.0	3.0	14588.942525052267	1935.5743558509805	6.0	33.0	16990.5342693	11412.2521559	5578.28211341	1.48879765687	1.26529110758	0.10763799082799744	0.23059422607029076	6.456638329968142	0.994005994005994	0.9903767702728021	0.9998752492865195
A0A0A0MQ99_S36___1	cosine	24.0	3.0	0.0	198215.40765494245	13853.794513010369	39.0	0.0	222362.085721	163128.28888	59233.7968408	1.36311174014	1.10445211733	0.15217784910165155	0.14874946071331066	4.164984899972698	0.9270729270729271	0.9270729270729271	0.9998752492865195
A0A0A0MQN9_S2250___1	cosine	24.0	9.0	6.0	40846.44326823417	3489.048523947684	63.0	36.0	47273.2113116	34513.6786522	12759.5326594	1.36969494872	1.13837122052	0.13785639881971784	0.1726443686722099	4.834042322821877	0.9500499500499501	0.9500499500499501	0.9998752492865195
Q921M8_S633___1	cosine	24.0	6.0	3.0	16749.46261306884	1209.797353701015	24.0	69.0	19420.044122799998	14430.6538111	4989.39031176	1.3457494287600003	1.0751007493200002	0.2264109462244084	0.06056922852249681	1.6959383986299106	0.6663336663336663	0.6589997392077576	0.9998752492865195
A0A0A6YWP7_S212___1	cosine	24.0	6.0	3.0	23731.350311379723	2420.240289754001	66.0	27.0	31806.082685799996	20407.6293653	11398.4533205	1.5585388246899998	1.1231848492899998	0.17444777823847862	0.11618577088949705	3.2532015849059173	0.8771228771228772	0.8743836500168662	0.9998752492865195
A0A0A6YXG0_S2___1	cosine	24.0	12.0	6.0	17067.439052151192	1349.9642860469335	12.0	3.0	19209.148279400004	14868.1838097	4340.96446965	1.29196333091	1.13857927175	0.15678628702578262	0.1415545250123827	3.963526700346716	0.9210789210789211	0.9210789210789211	0.9998752492865195
A0A0A6YY83_S1212___1	cosine	24.0	18.0	12.0	34760.11000283027	2908.422376113661	3.0	24.0	40023.7552224	29495.0116064	10528.743616	1.3569669256799999	1.14558977377	0.23234177104686535	0.055848093948642805	1.5637466305619985	0.6353646353646354	0.6303097942723994	0.9998752492865195
A0A0A6YY83_S974___1	cosine	24.0	3.0	12.0	136116.66460818955	8871.749118995529	54.0	63.0	154448.98815	118499.32379200001	35949.6643586	1.3033744261799998	1.08390741348	0.4030408071913024	0.0028969453261565256	0.08111446913238271	0.06693306693306693	0.06693306693306693	0.9998752492865195
A0A0A6YY83_S1185___1	cosine	24.0	9.0	12.0	269878.2785661123	21673.52852818691	54.0	12.0	308802.809402	230493.917779	78308.8916232	1.3397438525799998	1.1126695638200002	0.12342681344690284	0.19906049418466365	5.573693837170582	0.974025974025974	0.974025974025974	0.9998752492865195
A0A0A6YY83_S1011___1	cosine	24.0	6.0	3.0	317904.4286804084	18712.010579664024	54.0	27.0	367372.13135	287811.873909	79560.2574417	1.27643146324	1.09089394508	0.19671770737530567	0.08903321910476264	2.4929301349333537	0.7942057942057942	0.7927993891211399	0.9998752492865195
A0A0A6YY83_S989___1	cosine	24.0	6.0	9.0	68123.79278852175	5087.424183244613	54.0	45.0	75887.00912939999	57977.156014199994	17909.8531152	1.30891223969	1.12354197012	0.19746997668770394	0.08820646422125328	2.469780998195092	0.7882117882117882	0.7882117882117882	0.9998752492865195
A0A0A6YY83_S1243___1	cosine	24.0	9.0	12.0	47733.029882724404	3769.593454735343	9.0	63.0	54440.65136519999	40253.0254526	14187.625912600002	1.3524611070399999	1.13624969941	0.3029567239151251	0.019037505968002938	0.5330501671040823	0.3126873126873127	0.3078220195262934	0.9998752492865195
A0A0B4J1E4_S390___1	cosine	24.0	3.0	0.0	32465.94895534404	3798.739334660081	15.0	0.0	40356.1827051	26995.4921626	13360.6905425	1.4949230213	1.20414666129	0.330337282196268	0.011864341762666228	0.3322015693546544	0.22577422577422576	0.21407162017915402	0.9998752492865195
Q99MR6-3_S67___1	cosine	24.0	12.0	18.0	53401.42277869882	5477.541280641354	30.0	0.0	68357.3767184	42799.394927099995	25557.981791299997	1.59715754942	1.13186726289	0.15739281264465074	0.14062544723114628	3.937512522472096	0.9200799200799201	0.9200799200799201	0.9998752492865195
Q99MR6-3_S74___1	cosine	24.0	6.0	18.0	59370.468777083915	5665.468418003886	30.0	12.0	71203.0687484	49339.3037667	21863.764981700002	1.4431307966	1.08336688302	0.25191406053548604	0.04229912003936556	1.1843753611022358	0.5174825174825175	0.5174825174825175	0.9998752492865195
A0A0G2JEP4_S96___1	cosine	24.0	6.0	3.0	128157.29492080086	9072.099384603274	30.0	3.0	148083.186693	113794.877203	34288.3094902	1.30131681085	1.0740269205	0.20414101708758134	0.08112374916958642	2.27146497674842	0.7672327672327672	0.7614891184833478	0.9998752492865195
A0A0G2JEP4_S88___1	cosine	24.0	21.0	18.0	8776.687045934159	747.4228751976318	24.0	66.0	10670.129484899999	7816.72532521	2853.40415972	1.3650383045299999	1.11804218354	0.3837299067108896	0.004306804500442138	0.12059052601237988	0.0959040959040959	0.09377754171104802	0.9998752492865195
Q61687_S84___1	cosine	24.0	15.0	3.0	34905.345126552565	3520.218889810281	63.0	27.0	42588.288093	27619.029698299997	14969.2583948	1.54199074183	1.18534584207	0.4428798146660561	0.0012148494454507024	0.034015784472619666	0.029970029970029972	0.029970029970029972	0.9998752492865195
Q61687_S92___1	cosine	24.0	15.0	6.0	139851.137110773	9893.196951256523	0.0	30.0	155235.613333	125233.80394000001	30001.8093931	1.23956638263	1.15621517551	0.2264109462244084	0.06056922852249681	1.6959383986299106	0.6663336663336663	0.6589997392077576	0.9998752492865195
Q61687_S212___1	cosine	24.0	18.0	6.0	18013.083671833443	1646.9551826981979	66.0	27.0	21907.1121527	15347.099061500001	6560.01309118	1.4274431972400001	1.1305080860899999	0.20745863808804732	0.07776527938023642	2.17742782264662	0.7462537462537463	0.7462537462537463	0.9998752492865195
A0A0G2JFJ6_S535___1	cosine	24.0	0.0	3.0	22534.79597545551	1998.1730518522504	48.0	63.0	26899.819701	18338.778697	8561.041004	1.466827216	1.14030103778	0.18929439766303	0.097502851448466	2.7300798405570483	0.8251748251748252	0.8222030212296295	0.9998752492865195
E9PVP1_S99___1	cosine	24.0	6.0	12.0	26548.57817110095	4670.02690924805	30.0	45.0	33490.950582800004	15515.614243799999	17975.336338900004	2.15853204755	1.11379148551	0.29117453304788204	0.023109639719022006	0.647069912132616	0.37162837162837165	0.35494162520965156	0.9998752492865195
Q7TPW1_S495___1	cosine	24.0	21.0	0.0	14676.797782286389	1565.0588867733525	42.0	54.0	18751.826626599996	12336.553552500001	6415.27307407	1.52002149926	1.21089782016	0.11462628461404012	0.21630498612695365	6.056539611554703	0.991008991008991	0.9859905446741797	0.9998752492865195
A0A0J9YTU3_S55___1	cosine	24.0	15.0	18.0	51808.50203862222	3038.597080149179	33.0	42.0	58084.6498014	46175.40642019999	11909.2433812	1.25791312529	1.09167459021	0.17647238503126134	0.1134981303078686	3.1779476486203206	0.8651348651348651	0.8651348651348651	0.9998752492865195
A0A0J9YTU3_S119___1	cosine	24.0	15.0	6.0	18333.21643640116	2610.5267177553987	63.0	24.0	23069.61377	14334.9339836	8734.67978632	1.60932821848	1.27633968857	0.19671770737530567	0.08903321910476264	2.4929301349333537	0.7942057942057942	0.7927993891211399	0.9998752492865195
