"Phosphosite","Uniprot_ID","Protein_names","Gene_names","pVal","phase","peak.shape","period","X1.KO1","X2.KO1","X3.KO1","X4.KO1","X5.KO1","X6.KO1","X7.KO1","X8.KO1","X9.KO2","X10.KO2","X11.KO2","missing_data","X13.KO2","X14.KO2","X15.KO2","X16.KO2","X17.KO3","X18.KO3","X19.KO3","X20.KO3","X21.KO3","X22.KO3","X23.KO3","X24.KO3"
"A0A023T672_S56___1","A0A023T672","RNA-binding protein 8A","RBM8;Rbm8a",0.0050299921711324,21,9,24,27628.8320617113,28740.0517367334,29280.6023930556,31868.070517321,31805.8112125118,30178.2895277943,32215.5347842778,34688.3365631342,31721.6930102984,29547.6257614934,31405.2153945208,33278.9344666659,35137.8689542294,33590.2859819295,37925.1334242844,40713.9311357527,33545.1701731971,30114.7287456212,35377.307231601,38149.3987774097,41011.6924542618,40391.5777962731,41477.607099297,36330.3086072165
"A0A068EW80_S528___1","A0A068EW80","Protein PML","Pml",0.00647879583232755,6,18,24,131193.105361924,179473.317861565,140177.597604704,128832.015075357,137085.606220011,129705.414775361,146866.548499412,131035.443360091,142523.464342227,166140.198037577,139463.221723378,140131.682042878,140777.072828718,165139.278513738,135388.783985738,127594.485788339,137170.85637993,210075.32207014,193740.337066335,139112.491055869,137243.774249675,97043.6033355028,129433.634998545,138247.351225659
"A0A068EW80_S515___1","A0A068EW80","Protein PML","Pml",0.0132188394177487,18,9,24,155614.973065869,157639.105030408,180514.049044052,173671.408789071,166859.969747542,183160.032703358,181045.357335612,183050.643257504,161315.921823059,187944.062089629,169127.228945608,172115.03230237,175007.460464075,179924.012662818,172619.360074875,186327.355673367,171421.575916409,161593.160908518,171503.35619851,173514.696750977,180911.632319728,181110.620158597,169947.325905963,170773.11228513
"A0A0A0MQN9_S2250___1","A0A0A0MQN9","Tetratricopeptide repeat protein 28","Ttc28",4.29807852806823e-05,18,9,24,84694.27013009,85536.9817569211,90012.1826072706,97595.5568141424,96469.1555379908,92115.843662688,90469.6662368308,91402.2532475117,76339.9795120231,79751.9525029266,88536.3698008753,89374.8685701564,90177.8935684892,96453.6515718952,90812.7403989027,84858.0552969359,89736.0077834796,85539.2443918005,96061.4365208131,88152.0290055398,97896.936297127,96908.1755541603,95166.1642088524,82986.5531601165
"A0A0N4SW28_S60___1","A0A0N4SW28","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12","Gng12",0.0366924443837598,24,6,24,25985.7318216902,26136.7423605543,29354.7327976205,23405.2954825609,27686.3249174202,26027.3008352008,28723.6147983098,35463.5160822955,31185.5748420248,29875.411294171,31958.8722097712,33663.253448084,35384.4987340849,34008.7333532762,34929.4845657712,33604.6873716996,27936.7942512318,27984.8862059855,26480.3381729943,28051.0151826256,32470.5842287563,34024.8459073002,33226.4488683649,37163.0940774345
"A0A0R4IZZ6_S553___1","A0A0R4IZZ6","Formin-binding protein 4","Fnbp4",0.0468425207495273,18,15,24,69348.1403997296,76351.7127031419,66824.4443280809,83803.8312766378,80891.9859535414,78235.0800182052,74725.8119436237,77866.457966751,66402.7660841553,85757.8030667404,65787.2481373823,67620.8141292883,69413.749966824,88799.4219085839,77096.1497074757,97547.7114722809,81207.0732044475,80224.3431816903,72126.1190296977,80601.1552751429,83695.9858557291,95431.1471224892,79017.1005304499,96894.4188458522
"A0A0R4J227_S483___1","A0A0R4J227","Serine/threonine-protein kinase MARK2","Mark2",0.00782060360064328,9,15,24,33535.5731333501,36258.8456347049,34233.2901897473,32616.6392525928,35068.0515472319,33909.7118586725,31511.6187029015,31251.1620330728,34374.3564040237,30415.8088087063,34457.8459661438,34474.9367939031,34504.0393671739,32876.1130018763,35847.2489733743,33118.2124987803,31694.3911378753,33215.3653860841,36896.7140723426,37003.7868921821,33674.9633979083,33805.8173396756,33665.8815010535,31459.8818384893
"A0A0R4J0X8_S340___1","A0A0R4J0X8","Rho guanine nucleotide exchange factor 7","Arhgef7",0.0331793941187788,21,12,24,101511.297636867,123249.524425171,119438.451795309,124008.151302013,129208.563716483,128629.9357932,140850.696069292,126816.696238602,123413.394850063,141606.171665786,120211.812466426,131679.65828112,142756.525833749,138055.323228642,155984.174416732,142577.212257929,141396.53889111,161429.594703946,124035.942794516,166565.254248319,146858.865546204,239057.91135863,164661.981133749,169076.381395901
"E9Q394-2_S1817___1","E9Q394-2","","Akap13",0.0310306332582886,24,6,24,28251.4667003082,29393.5234443387,26988.8875503939,31491.2583067408,29507.382897117,30739.8335306181,30410.9798699064,31305.6721257081,30816.6616306344,29584.541101671,30078.8496427549,31477.4317620937,32814.1936837022,28696.8197615864,35390.3042153419,34452.4330874763,31730.8418300817,27039.9988155444,31573.5207919872,32396.0540786382,33494.6261569726,33899.7130086296,31291.4712095761,37801.6116278089
"A0A1B0GR85_S1664___1","A0A1B0GR85","Uncharacterized protein KIAA1671","Kiaa1671",0.0463630096995417,6,12,24,44230.3610564477,47988.2743792986,39423.1628145166,39480.1610428203,44096.8458176305,39847.3487135685,44613.2124272997,42892.414136287,49554.9138497664,47264.9881103951,44478.7600810829,45643.3976819009,46750.3049881979,45129.3431023192,49013.0458569437,44301.3013900005,44016.7555969721,56546.4555237151,51452.927781067,47467.0121038593,38869.9699325961,36616.7274509687,40326.9893697642,44147.8555845883
"A0A1B0GS91_S753___1","A0A1B0GS91","Supervillin","Svil",0.000307539386335745,3,15,24,189640.295242205,207683.767787931,169499.330917181,186125.109295992,178603.663412226,161832.921368736,195200.794138031,198284.16253464,215790.852442184,190003.309172473,179365.065398625,177473.326876747,175758.59272013,179592.225860331,201921.283229606,178146.851138607,215414.070829871,183903.262027166,179864.494973798,170095.484291178,168856.390519935,166859.451902866,198283.135182747,168583.107157953
"A0A1B0GS91_S1098___1","A0A1B0GS91","Supervillin","Svil",0.00129719689501329,24,15,24,193394.501823744,234395.054452784,182675.839502839,215207.447207597,196078.766651768,222502.354452687,219965.879728211,235057.74515537,231828.370356131,211690.116717768,212686.952691784,207198.887931161,202150.66669543,188279.716969668,248989.696661213,253076.907478789,260609.978616209,245839.090821175,217579.044747254,229057.347416241,188855.765875385,237249.181497383,264732.893694739,274629.581662996
"A0A1B0GSX7_S888___1","A0A1B0GSX7","Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96","Nup98",0.0387140738402195,9,18,24,175984.352488049,170254.719660685,182016.534336532,176190.872964535,182527.551977196,170233.977226525,176536.656647826,177562.977392799,165910.7508643,181124.327772562,183183.132012638,181773.979611712,180442.851416107,188672.333990268,170620.125796688,174520.898961644,174416.409788324,186861.973431447,187062.324174091,256457.055726385,213456.634366527,207291.254511763,176126.153614629,198231.312544572
"A2A5V4_S262___1","A2A5V4","SH3 domain-binding protein 1","Sh3bp1",0.000605152812775316,24,12,24,21912.9004652387,23640.4753788366,18210.711507685,18956.4039929643,19143.8999891763,25078.8803239187,20573.6348323429,26022.9610078013,22229.6913761242,20905.3629435842,19137.2896139508,18991.2890020577,18844.6325330108,19338.5345995169,22926.6553766126,23420.2261274872,22387.4689696778,22822.3509556646,20580.6730057807,19966.0039320069,21225.0161329679,25305.2800762501,24161.9043670833,22526.5883896082
"A2AJ15_S102___1","A2AJ15","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase;alpha-1,2-Mannosidase","Man1b1",0.042807613414935,18,9,24,95378.4512117457,105264.427573708,96085.1073060822,113797.714188101,102880.924349306,108407.575697472,100017.191369439,109063.978091172,103037.8386493,101897.627652491,107660.230971212,104279.80481288,101303.112838385,107118.173258676,104024.891660819,103730.505829008,101556.256480602,95269.4239676354,99179.2052341055,95541.7379781077,105227.368631603,123066.614256346,104666.575048329,101788.171316834
"A2AJT5_S290___1","A2AJT5","Arginine/serine-rich protein PNISR","Pnisr",0.00189258119500537,15,9,24,60602.1173197541,77289.8256304087,64154.4230583981,75245.1341946058,77174.1752446945,71055.3186119334,61874.1748146222,62523.6454965595,68656.2593157205,63820.4471629968,66296.8421328526,71530.8021283488,76363.9483301844,63576.1014885815,76770.5079763333,63195.586948904,69649.9652841141,74020.7476926059,77338.7842240778,77173.762278248,86033.0474426196,69672.2301121385,70458.6711977138,68460.9748844407
"A2ANY6_S4827___1","A2ANY6","","Mdn1",0.0268100209292608,3,15,24,45708.1698365867,40214.1927723592,39678.6831806304,41794.5661117696,41024.4530495807,35907.1862348258,38134.8195021546,39605.6247926227,50867.361597213,42372.4014952465,39926.1070311515,40022.1464726688,40111.4834351095,38256.2480184874,44033.0069650677,44841.2014006352,43352.2570504024,35460.7916634006,39861.9606324917,35120.6471366622,40698.1003730913,32106.5288027978,36117.4246752097,35666.0594112029
"A2ARP8_S1872___1","A2ARP8","Microtubule-associated protein 1A;MAP1A heavy chain;MAP1 light chain LC2","Map1a",0.00352773796361926,12,15,24,383638.270972702,416495.283462614,416433.433287768,465689.604276587,439858.735901866,419048.312268523,423166.302663461,447645.562993278,415498.514180228,405972.61994923,439298.263138016,436451.730287817,433463.393992539,422591.583749536,405115.718587969,414407.263741028,402138.068119019,407694.31442609,438824.293457759,417910.452658837,428246.586836321,412762.784481454,399117.963709281,414052.640881478
"A2RRK3_S340___1","A2RRK3","STE20-like serine/threonine-protein kinase","Slk",0.0429389773537334,24,6,24,33666.9129360893,32373.9858115391,31899.227406377,33660.4583242788,34175.8823442503,33003.7923319691,38791.4437700737,38084.9106377533,34095.1157463529,30080.9974569571,36959.4220237124,36397.4030187494,35856.4904236918,30757.7053888339,40402.5026244245,37176.7837413724,35063.8439988795,37538.8884978511,33555.3476810188,34325.9512449037,36543.4548191704,35586.4997568129,35484.134350487,43455.5641595332
"G5E8V9_S132___1","G5E8V9","","Arfip1",0.0420975344070386,18,15,24,135461.813785137,138979.619499001,136568.802358945,155275.873395324,149529.504313986,171279.365632387,147017.694432002,161016.461366749,180769.426783848,176027.088491467,173189.486851196,163544.314122788,154046.793197704,171594.976889064,176301.184087937,176824.589153353,148493.673569843,164823.767938331,126045.611570029,140794.094235192,166181.129894153,197602.396531503,184990.03944707,169289.829360007
