Entry	Status	Protein names	Gene names	Length
Q6KAQ7	reviewed	ZZ-type zinc finger-containing protein 3	Zzz3	910
Q5SSH7	reviewed	Zinc finger ZZ-type and EF-hand domain-containing protein 1	Zzef1 Kiaa0399	2924
Q62523	reviewed	Zyxin	Zyx	564
Q3UFS0	reviewed	Protein zyg-11 homolog B	Zyg11b Kiaa1730	744
A2BFL2	reviewed	Protein zyg-11 homolog A	Zyg11a	627
Q8C8V1	reviewed	Zinc finger protein ZXDC	Zxdc	858
A2CE44	reviewed	Zinc finger X-linked protein ZXDB	Zxdb	873
Q9CQU5	reviewed	ZW10 interactor (ZW10-interacting protein 1) (Zwint-1)	Zwint D10Ertd749e	252
Q8R060	reviewed	Protein zwilch homolog	Zwilch	589
O54692	reviewed	Centromere/kinetochore protein zw10 homolog	Zw10	779
Q3T9Z9	reviewed	Zinc finger-containing ubiquitin peptidase 1 (EC 3.4.19.12) (Lys-63-specific deubiquitinase ZUFSP) (DUB) (Zinc finger with UFM1-specific peptidase domain protein)	Zup1 Zufsp	577
Q6DI92	reviewed	Uncharacterized protein ZSWIM9	Zswim9	447
Q3UHH1	reviewed	Zinc finger SWIM domain-containing protein 8	Zswim8 Kiaa0913	1832
Q9CWQ2	reviewed	Zinc finger SWIM domain-containing protein 7 (SWIM domain-containing and Srs2-interacting protein 1 homolog)	Zswim7 Sws1	152
Q80TB7	reviewed	Zinc finger SWIM domain-containing protein 6	Zswim6 Kiaa1577	1207
Q80TC6	reviewed	Zinc finger SWIM domain-containing protein 5	Zswim5 Kiaa1511	1188
Q8C7B8	reviewed	Zinc finger SWIM domain-containing protein 4	Zswim4	1101
Q8CFL8	reviewed	Zinc finger SWIM domain-containing protein 3	Zswim3	695
Q9D9X6	reviewed	E3 ubiquitin-protein ligase Zswim2 (EC 2.3.2.27) (MEKK1-related protein X) (MEX) (RING-type E3 ubiquitin transferase Zswim2) (ZZ-type zinc finger-containing protein 2) (Zinc finger SWIM domain-containing protein 2)	Zswim2	631
Q9CWV7	reviewed	Zinc finger SWIM domain-containing protein 1	Zswim1	455
Q3URS2	reviewed	Zinc finger and SCAN domain containing protein 4F	Zscan4f	506
A7KBS4	reviewed	Zinc finger and SCAN domain containing protein 4D	Zscan4d	506
Q80VJ6	reviewed	Zinc finger and SCAN domain containing protein 4C	Zscan4c Gm397	506
Q5RJ54	reviewed	Zinc finger and SCAN domain-containing protein 26 (Zinc finger protein 187)	Zscan26 Zfp187 Znf187	466
