"Uniprot_ID","All_ids","First_id"
"Q9CWZ3","A0A023T672;Q9CWZ3;A0A0G2JFX7;A0A0G2JEA9;A0A0N4SUH6","A0A023T672"
"O08586","A0A024QYR9;O08586;Q8BSR7;Q3UUN5","A0A024QYR9"
"Q61193","A0A068BD34;Q61193;G3UZ21","A0A068BD34"
"P21958","Q3TBA3;Q78E61;Q62429;Q62428;Q3U6V4;Q3U543;A0A068BER1;P21958;Q5D0F3","Q3TBA3"
"P46638","Q78ZJ8;A0A068BFR3;P46638;G3UY29;E9Q3P9;F8WGS1;G3UZD3;Q3UZ37;G3UZL4","Q78ZJ8"
"Q9Z0H1","Q3UM80;A0A068BFS0;Q9Z0H1;Q8R0T3;A0A068BIU7","Q3UM80"
"O35730","A0A068BFS4;O35730;O35730-2;O35730-3","A0A068BFS4"
"Q8C754","A0A068BGT0;Q8C754;Q3V3A4;G3UY33;Q8C754-2","A0A068BGT0"
"Q31125","Q14C53;A0A068BIT0;Q31125","Q14C53"
"P28063","A0A068BIT8;P28063;G3UZW8","A0A068BIT8"
"Q60953","A0A068EW80;Q60953;Q60953-2;D3Z3A6;D3YXR5;F7BTZ2;Q8BSJ6","A0A068EW80"
"P00405","Q7JCZ1;A0A075DC90;P00405","Q7JCZ1"
"P03888","Q3TNL9;Q4JFN6;G3EB90;A0A141CM15;A0A075DCA9;P03888;A0A141CM41","Q3TNL9"
"P03899","Q7GIP5;A0A141CM22;A0A075DCW1;P03899","Q7GIP5"
"A0A087WP63","A0A087WP63;A0A087WNX7;A0A087WNL7;A0A087WQ44","A0A087WP63"
"P83940","A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4","A0A087WQE6"
"Q8K2K6","A0A087WNV1;A0A087WSR7;A0A087WR52;Q8K2K6-3;Q8K2K6-1;Q8K2K6;Q8K2K6-2;A0A087WRL1","A0A087WNV1"
"Q8BX65","A0A087WPB2;Q8BM01;A0A087WRH9;Q8BX65;Q8BX65-2;A0A087WRW6","A0A087WPB2"
"P62484","A0A087WPP8;Q6AXH6;Q6AXD2;P62484;A0A087WRS3;A0A087WNT3;A0A087WR90;A0A087WNU9","A0A087WPP8"
"Q8R2K4","A0A087WQC4;H3BJR2;K3W4L1;H3BK01;Q8R2K4-2;Q8R2K4","A0A087WQC4"
"A0A087WQH8","A0A087WQH8","A0A087WQH8"
"P97789","A0A087WQN7;F8VQ87;P97789-2;P97789;P97789-3;A0A087WNV6","A0A087WQN7"
"A0A087WQS0","A0A087WQS0;A0A1D5RM59;E9Q0S6;A0A087WQM0;A0A087WQ94;A0A087WRU0;Q7TSV1","A0A087WQS0"
"Q9CQC6","A0A087WQS2;Q9CQC6;A0A087WPF9","A0A087WQS2"
"O89110","Q3U607;A0A087WQT6;O89110;Q4FK85","Q3U607"
"Q2HXL6","A0A087WR24;Q2HXL6;B7ZNP0;A0A087WQK5;B7ZNN9","A0A087WR24"
"Q8R0N6","A0A087WRE7;Q8R0N6-2;Q8R0N6","A0A087WRE7"
"Q8BXK8","A0A087WRF2;Q8BXK8;E9Q3K3;Q3UH88","A0A087WRF2"
"A0A087WRL6","A0A087WRL6;A2AW67;A2BFG5;A2ARW8;Q569M0;Q569M1;A2ARW5;Q2TBY2;L7N246;A2AW66;A2ARR6","A0A087WRL6"
"F2Z4A3","F2Z4A3;A0A087WRT4;Q9QXA3","F2Z4A3"
"P05977","Q61935;A0A087WRZ7;A0A0G2JDM3;Q545G5;E9PWG4;Q6PCW9;A0A0G2JDW2;Q545T7;P05977-2;P05977;P09542","Q61935"
"Q8BG73","Q8C073;A0A087WS96;Q8BG73;A0A087WQX3;A0A087WQU5","Q8C073"
"A0A087WSB8","A0A087WSB8;Q9DCB1-3","A0A087WSB8"
"Q62407","A0A087WSE3;E9QQ25;Q62407;Q62407-4;Q62407-3","A0A087WSE3"
"A0A087WSN6","A0A087WSN6;B9EHT6;Q3TCF1;B7ZNJ1;Q3TBB4","A0A087WSN6"
"P42225","Q8C3V4;Q3TW11;A0A087WSP5;Q9D323;Q8C497;Q99K94;Q8C8M3;P42225","Q8C3V4"
"Q60759","A0A0A0MQ68;Q60759;Q8BVD4","A0A0A0MQ68"
"Q5SWT3","A0A0A0MQ70;Q5SWT3","A0A0A0MQ70"
"Q6PDK2","A0A0A0MQ73;Q6PDK2","A0A0A0MQ73"
"Q3TLH4","A0A0A0MQ79;Q3TLH4;S4R2J9;Q3TLH4-5;S4R294","A0A0A0MQ79"
"Q3UMC0","A0A0A0MQ80;B7ZNK9;Q3UMC0;A0A0G2JFY0","A0A0A0MQ80"
"Q80V70","A0A0A0MQ83;Q80V70;B1ASH4;Q69ZY6","A0A0A0MQ83"
"P97352","Q545H7;A0A0A0MQ90;P97352","Q545H7"
"Q8C0D4","S4R248;A0A0A0MQ95;S4R203;S4R221;Q8C0D4;B2RUJ8","S4R248"
"A0A0A0MQ99","A0A0A0MQ99;V9GXX7;Q8K3D3-2","A0A0A0MQ99"
"P68368","A0A0A0MQA5;P68368","A0A0A0MQA5"
"Q8K1H1","A0A0A0MQD1;Q8K1H1","A0A0A0MQD1"
"Q8K201","A0A0A0MQD4;Q3ULW9;Q3U339;Q8K201;Q3UMU2","A0A0A0MQD4"
"A3KGS3","A0A0A0MQD7;A3KGS3;F7CGP0;A3KGS3-2","A0A0A0MQD7"
"P25425","I1E4X2;A0A0A0MQE0;E9Q6Z8;F8VQL7;A0A0R4J1Z4;P25425-10;P25425-4;P25425-7;P25425-9;P25425-11;P25425-8;P25425-3;P25425-6;P25425-2;P25425-5;P25425;A0A0A0MQM6;P25425-12;Q7TSC9","I1E4X2"
"A2AHC3","A0A0A0MQE5;A2AHC3;A2AHC4;A2AHC3-2","A0A0A0MQE5"
"Q80XJ3","A0A0A0MQN9;Q80XJ3","A0A0A0MQN9"
"P09925","A0A0A6YVR9;V9GXE6;I6L9E0;Q3U3J6;P09925","A0A0A6YVR9"
"Q921L3","Q3V4A0;A0A0A6YVS2;Q921L3","Q3V4A0"
"Q9JKV1","A0A0A6YVU8;Q9JKV1;Q8VCI8;D3YUD8","A0A0A6YVU8"
"A0A0A6YWB0","A0A0A6YWB0;A0A0A6YVV8;A0A0A6YXP3","A0A0A6YWB0"
"B5TVM2","B5TVM5;A0A0A6YWD2;B5TVM7;A0A0A6YVY9;B5TVM4;A0A0A6YXV2;B5TVM6;A0A0A6YY76;B5TVM2","B5TVM5"
"Q03173","A0A0A6YW06;Q03173-6;Q03173-3;Q03173-4;A0A0A6YXC8;J3QNM3;E9QKQ9;E9QLZ9;Q03173-5;Q03173;E9QKR1;Q03173-2","A0A0A6YW06"
"P35123","Q921M8;A0A0A6YW28;P35123;Q3TEX8;Q6NXV6;A0A0A6YVY7;Q5DTK8;Q3TPN5","Q921M8"
"Q9CX13","A0A0A6YW87;Q9CX13","A0A0A6YW87"
"Q9EQX4","A0A0A6YWH2;Q9EQX4","A0A0A6YWH2"
"Q6PGA0","A0A0A6YWP7;A0A0A6YXM5;A0A0A6YWY4;B2RSN6;Q6PGA0-2;Q6PGA0;A0A0A6YXP4","A0A0A6YWP7"
"Q3UJD6","A0A0A6YWX1;J3KMM1;Q3UJD6-2;E9Q9M5;Q3UJD6;A0A0A6YWN9","A0A0A6YWX1"
"Q9JKK1","A0A0A6YXG0;Q3UA21;Q3TX70;Q9JKK1-2;Q9JKK1;Q4W8V2","A0A0A6YXG0"
"Q8BGS7","A0A0A6YXR0;Q8BGS7-2;Q8BGS7;D3Z5Y5;D3YX12","A0A0A6YXR0"
"P27090","Q3TWH5;A0A0A6YXU9;P27090;Q921T1;Q8CDZ9","Q3TWH5"
"Q8C1B1","B2RRE3;A0A0A6YY67;H7BX08;Q8C1B1;Q8C1B1-2;A0A0A6YXV8","B2RRE3"
"A0A0A6YY83","A0A0A6YY83;E9Q2S0;A0A0A6YY48","A0A0A6YY83"
"Q9CSN1","A0A0B4J1E2;Q9CSN1;Q3TM37;Q9CV75","A0A0B4J1E2"
"P40694","A0A0B4J1E3;D3Z5P5;P40694","A0A0B4J1E3"
"Q5U431","A0A0B4J1E4;Q5U431;Q9D442;A6QR71","A0A0B4J1E4"
"Q99PM9","A0A0B4J1E5;Q8C476;Q543C2;Q99PM9;A0A0A6YXW7;A0A0A6YVQ3;A0A0A6YXG9","A0A0B4J1E5"
"O35343","Q4FJX1;Q3UGH8;A0A0B4J1E7;O35343","Q4FJX1"
"P61622","A0A0B4J1F0;P61622;Q7TQC3;Q8CE84","A0A0B4J1F0"
"Q8BVA5","A0A0F6AIX5;Q8BVA5;A0A0F6AIX6;Q8BVA5-3;Q8BVA5-2","A0A0F6AIX5"
"A0A0F7DDK0","A0A0F7DDK0","A0A0F7DDK0"
"Q8JZZ7","A0A0G2JFV3;A0A0G2JDE3;A0A0G2JG66;A0A0G2JDF4;A0A0G2JFF5;A0A0G2JDK6;A0A0G2JGM8;Q8JZZ7;Q8JZZ7-2;A0A0G2JH16;A0A0G2JEQ8","A0A0G2JFV3"
"O35387","A0A0G2JDP0;B9EJR4;O35387;Q8R5I5;A0A0G2JE46;Q3UXX9;A0A0G2JFF9","A0A0G2JDP0"
"Q05DL4","Q05DL4;L7N1X8;A0A0G2JDV3;Q29RG2;Q000W5;Q2M1J9;Q7TMV8","Q05DL4"
"P61969","A0A0G2JDX9;Q542S1;P61969;A0A0G2JF61","A0A0G2JDX9"
"Q8BTZ4","A0A0G2JE03;Q3UFC2;Q3TXL9;Q8BTZ4-2;Q3U5Y4;Q3TGH0;Q3TWF7;A0A0G2JDM7;Q8BTZ4;Q3U981;A0A0G2JFH0;A0A0G2JDE8","A0A0G2JE03"
"P61079","A0A0G2JE32;Q9D1S1;Q4QQL2;A0A0G2JGL0;P61079;Q9D7F5;Q3U5V6","A0A0G2JE32"
"P63254","A0A0G2JEK2;P63254;Q6P3B4;Q8C2N7","A0A0G2JEK2"
"Q91WK0","A0A0G2JEP4;A0A0R4J169;E9QN52;A0A0G2JFV5;Q91WK0-2;Q91WK0;A0A0G2JDR6","A0A0G2JEP4"
"Q7TPD0","A0A0G2JFJ6;Q7TPD0","A0A0G2JFJ6"
"A0A0G2JFR8","A0A0G2JFR8","A0A0G2JFR8"
"A0A0G2JFZ4","A0A0G2JFZ4;E9Q7M2","A0A0G2JFZ4"
"E9PVP1","E9PVP1;A0A0G2JG52","E9PVP1"
"P07091","A0A0G2JGD2;Q545V2;P07091","A0A0G2JGD2"
"P08556","A0A0G2JGP4;Q9D091;Q3UCX0;Q4FJP3;P08556;A0A0G2JE25;Q3TMF4","A0A0G2JGP4"
"P54729","Q3UYM1;A0A0G2JGQ4;P54729;A0PJ90;A0JLP6","Q3UYM1"
"Q9JLM8","A0A0G2JGQ6;A3KN70;Q8CHG1;Q9JLM8;Q9JLM7;Q8BRN4","A0A0G2JGQ6"
"Q6P4S8","K3W4P2;A0A0G2JH17;Q6P4S8","K3W4P2"
"Q5DW34","A0A0H2UH19;H7CHP8;Z4YJZ7;Q5DW34;Q5DW34-2;Q5DW34-3;E9Q5A3;Q8BHB2","A0A0H2UH19"
"Q5SXY1","A0A0J9YTU3;Q5SXY1;A0A0J9YUF8;Q5SXY1-2;Q3UPB2","A0A0J9YTU3"
"P31266","E9Q7W0;Q3UM17;A0A0J9YTV5;P31266-2;P31266;Q3U6F1","E9Q7W0"
"Q8C1B7","A0A0J9YTY0;A0A0J9YUL3;Q8C1B7-3;Q8C1B7-2;Q8C1B7","A0A0J9YTY0"
"O88712","A0A0J9YU62;O88712-2;O88712;A0A0J9YUM4;O88712-3","A0A0J9YU62"
"A0A0J9YUG5","A0A0J9YUG5;Q8BGM4;Q3V1G0;Q8BY07;Q99LP4;D3Z271","A0A0J9YUG5"
"Q9Z255","A0A0J9YUN2;Q3UCS1;Q9Z255;Q3TQ27;A0A0J9YUW6;A0A0J9YTT1;Q3TUV9","A0A0J9YUN2"
"A0A0J9YUQ8","A0A0J9YUQ8","A0A0J9YUQ8"
"Q9R0G7","A0A0J9YV01;H9H9S3;Q3URW5;Q80TX6;A0A0M3HEP2;Q9R0G7;A0A0J9YVF6","A0A0J9YV01"
"P70704","A1L332;A0A0M3HEP7;Q5DTG0;P70704-3;P70704-2;P70704;Q8CA15;Q52KQ7","A1L332"
"Q9JLT4","J3QMN4;A0A0U1RPV8;J3QMQ8;A0A0M3HEQ0;Q9JLT4-2;Q9JLT4-4;Q9JLT4;A0A0U1RQA4;D3Z0K8;A0A0M3HEP9;Q9JLT4-3;A0A0U1RPC6","J3QMN4"
"Q9QZ23","A0A0N4SUH8;Q9QZ23","A0A0N4SUH8"
"A0A0N4SUI7","A0A0N4SUI7","A0A0N4SUI7"
"Q8BXK4","A0A0N4SUJ1;Q8BXK4","A0A0N4SUJ1"
"Q8K262","A0A0N4SUQ4;Q8K262","A0A0N4SUQ4"
