ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
A0A023T672	cosine	24.0	0.0	21.0	288848.5708666682	14266.578338204597	27.0	57.0	312045.188788	265509.171465	46536.0173232	1.17527084683	1.08253490811	0.10723104044539238	0.2314422767873972	6.480383750047122	0.988011988011988	0.988011988011988	0.999985270751397
A0A024QYR9	cosine	24.0	12.0	21.0	72940.56955940544	2626.479575976735	30.0	54.0	79333.1409587	68075.5496321	11257.5913266	1.1653690846	1.0536764510799999	0.2049216739212022	0.08032379819344765	2.2490663494165344	0.7512487512487512	0.7448834848286073	0.999985270751397
A0A068BD34	cosine	24.0	9.0	15.0	23964.62355248544	2926.713234437987	9.0	51.0	30897.544380199997	16325.5134006	14572.0309796	1.8925925097799998	1.11023977288	0.20158236903314908	0.08378779091821886	2.346058145710128	0.7682317682317682	0.7594437058064236	0.999985270751397
Q3TBA3	cosine	24.0	21.0	0.0	57519.72708742968	4896.007003618592	21.0	54.0	68439.6724042	48263.3696855	20176.3027187	1.41804587724	1.11142803143	0.20336921463781316	0.08192052243423542	2.293774628158592	0.7622377622377622	0.7516897117624901	0.999985270751397
Q78ZJ8	cosine	24.0	18.0	15.0	631933.3705211495	29958.119282021984	69.0	12.0	680062.850301	568458.9880270001	111603.862274	1.19632702556	1.0633051361799999	0.16145345864562208	0.13451203512311516	3.766336983447225	0.9090909090909091	0.9035813741373544	0.999985270751397
Q3UM80	cosine	24.0	15.0	18.0	11980.013213332915	1260.8819224683125	63.0	27.0	14383.436979799997	8864.50360807	5518.93337177	1.6225879773700003	1.1442331966500001	0.14643453225998282	0.15805277010113494	4.425477562831778	0.9430569430569431	0.9396046102812964	0.999985270751397
A0A068BFS4	cosine	24.0	0.0	18.0	39574.5382050752	5155.978665683831	15.0	39.0	46867.7465231	26828.9735687	20038.772954400003	1.74690792412	1.1797224304	0.2731092190440679	0.03076206232850685	0.8613377451981918	0.4195804195804196	0.4195804195804196	0.999985270751397
A0A068BGT0	cosine	24.0	12.0	9.0	146139.2913890451	7117.491512034113	42.0	9.0	157224.99998599998	132924.302227	24300.6977592	1.18281606412	1.06864249483	0.20571135574483804	0.0795206783939611	2.2265789950309114	0.7482517482517482	0.7413975802780002	0.999985270751397
Q14C53	cosine	24.0	0.0	12.0	77803.6109280434	8864.075292479041	6.0	15.0	91902.2999498	58346.2554157	33556.044534099994	1.5751190765399998	1.22143149879	0.2657278887996337	0.03444220575113408	0.9643817610317544	0.4515484515484515	0.4515484515484515	0.999985270751397
A0A068BIT8	cosine	24.0	18.0	21.0	61265.728449139715	3538.637321535524	60.0	24.0	68544.3976515	54679.50449680001	13864.893154700003	1.25356654714	1.07461883044	0.35363344343944725	0.007739367090787957	0.2167022785420628	0.14185814185814186	0.14185814185814186	0.999985270751397
A0A068EW80	cosine	24.0	12.0	6.0	692486.2973478957	17748.40657965259	12.0	66.0	719446.075359	652572.3508649999	66873.7244936	1.1024771037299999	1.02633468697	0.32850460138735404	0.012257919988595212	0.34322175968066604	0.22077922077922077	0.21720346144104155	0.999985270751397
Q7JCZ1	cosine	24.0	18.0	9.0	441611.4684604751	32564.59060734825	63.0	15.0	491278.812877	361806.654489	129472.15838800001	1.35784902456	1.09586033781	0.330337282196268	0.011864341762666228	0.3322015693546544	0.2177822177822178	0.21182262493057855	0.999985270751397
Q3TNL9	cosine	24.0	18.0	12.0	119831.347661355	7091.688155823484	3.0	15.0	132463.932221	106749.653961	25714.2782592	1.24088394955	1.08618722088	0.3747447920110732	0.005151235074455755	0.14423458208476114	0.10789210789210789	0.10789210789210789	0.999985270751397
Q7GIP5	cosine	24.0	15.0	12.0	13472.872169564496	1583.6199009611043	45.0	12.0	17092.4636121	10028.108402200001	7064.35520998	1.7044554094	1.13972266354	0.19900077460972024	0.08654178804169728	2.423170065167524	0.7782217782217782	0.7704876640201712	0.999985270751397
A0A087WP63	cosine	24.0	6.0	3.0	31815.23886048957	2352.715463585153	39.0	9.0	36143.9085795	27486.981553400004	8656.92702607	1.3149464414399998	1.1018164938500001	0.2932207336348896	0.022353887279688556	0.6259088438312794	0.34965034965034963	0.3398320334306321	0.999985270751397
A0A087WQE6	cosine	24.0	3.0	0.0	319014.04968645354	13125.414497762158	12.0	48.0	341372.669736	300969.974759	40402.6949767	1.13424161333	1.07747509873	0.10763799082799744	0.23059422607029076	6.456638329968142	0.988011988011988	0.988011988011988	0.999985270751397
A0A087WNV1	cosine	24.0	3.0	12.0	113755.8534379922	4924.6888098852305	9.0	36.0	124568.49307000001	103391.787925	21176.7051455	1.20481999171	1.0711775874200002	0.3438788538421204	0.009281315096840078	0.2598768227115222	0.1798201798201798	0.17505553777054536	0.999985270751397
A0A087WPB2	cosine	24.0	21.0	0.0	11086.694778827252	1186.9660494119905	45.0	9.0	12847.1207859	8876.22896996	3970.89181595	1.4473624812299999	1.1906709221	0.3512740980107681	0.008090044838256295	0.2265212554711763	0.15184815184815184	0.15184815184815184	0.999985270751397
A0A087WPP8	cosine	24.0	21.0	0.0	16438.61602870392	1447.4206272511258	60.0	24.0	19030.6628676	13656.457361300001	5374.20550629	1.3935285238400001	1.15669189982	0.28471690049293835	0.0256371939762934	0.7178414313362151	0.38461538461538464	0.3745592764778634	0.999985270751397
A0A087WQC4	cosine	24.0	3.0	6.0	4152.257173607303	616.6445871604654	63.0	33.0	5362.47472649	2779.4120616	2583.06266489	1.9293557801599996	1.2491882100299998	0.26352749478578685	0.03560678181850737	0.9969898909182064	0.46553446553446554	0.46553446553446554	0.999985270751397
A0A087WQH8	cosine	24.0	15.0	12.0	72872.74931982749	6581.747630224492	51.0	54.0	83644.168569	61939.290425900006	21704.8781431	1.35042180809	1.13196014347	0.2365480905738184	0.052679346147498834	1.4750216921299677	0.5984015984015985	0.5968277525620866	0.999985270751397
A0A087WQN7	cosine	24.0	3.0	6.0	112281.86720709523	4729.26579742008	36.0	66.0	121071.77564200001	101916.198662	19155.5769807	1.18795419406	1.05040066513	0.21898763651213274	0.06691183000253087	1.8735312400708648	0.6813186813186813	0.680752745830224	0.999985270751397
A0A087WQS0	cosine	24.0	18.0	6.0	1129089.544758005	64969.549807977506	51.0	0.0	1227734.7807	996175.1827459999	231559.597958	1.23244867165	1.09367526264	0.2222771122371936	0.06404057269546252	1.7931360354729506	0.6493506493506493	0.6493506493506493	0.999985270751397
A0A087WQS2	cosine	24.0	15.0	18.0	888034.4636553429	15010.062957060718	27.0	18.0	915011.365343	860992.263024	54019.10231919999	1.06274052002	1.02356123995	0.3116427225020147	0.016441424648024998	0.4603598901447	0.2837162837162837	0.2713233066474891	0.999985270751397
Q3U607	cosine	24.0	0.0	21.0	288167.07294279226	11354.139047246612	9.0	69.0	312159.91118600004	273117.316602	39042.594583699996	1.14295173616	1.0631180022799998	0.2329501913124041	0.05538066287395756	1.5506585604708116	0.6213786213786214	0.6141909087295134	0.999985270751397
A0A087WR24	cosine	24.0	12.0	18.0	91479.64405244816	2940.9880308816387	30.0	0.0	98806.9267722	86680.4336903	12126.493081999999	1.13989885105	1.04289767627	0.40472437537195904	0.002796374611287933	0.07829848911606213	0.06493506493506493	0.06493506493506493	0.999985270751397
A0A087WRE7	cosine	24.0	12.0	15.0	62453.726052125916	4287.0499240679255	63.0	39.0	68865.6110146	54889.9219885	13975.689025999998	1.25461302403	1.13111415278	0.07884936352460613	0.294666128537028	8.250651599036784	0.998001998001998	0.998001998001998	0.999985270751397
A0A087WRF2	cosine	24.0	15.0	6.0	119261.44871963939	4689.674207880741	27.0	6.0	128208.439148	111890.23051	16318.2086375	1.1458412281700001	1.06780282975	0.1818710879507543	0.10654892958100276	2.983370028268077	0.8421578421578422	0.8382085627525878	0.999985270751397
A0A087WRL6	cosine	24.0	15.0	9.0	67552.38070211622	6832.848578089051	36.0	54.0	79284.997001	52487.2535223	26797.743478599998	1.51055716732	1.1705238371200002	0.23144642370472676	0.056541616707254064	1.5831652678031136	0.6233766233766234	0.6214344152686408	0.999985270751397
F2Z4A3	cosine	24.0	18.0	15.0	296332.99088113685	14429.481313496057	48.0	15.0	318641.251374	270896.79134899995	47744.4600249	1.17624594144	1.09402056271	0.2590764801522773	0.03806123580744964	1.06571460260859	0.47952047952047955	0.47952047952047955	0.999985270751397
Q61935	cosine	24.0	21.0	18.0	193437.38611985164	64106.04872248318	30.0	0.0	381926.984847	80377.1352842	301549.849562	4.751686950480001	1.57037426178	0.13543408472149046	0.17691556091276012	4.953635705557283	0.9600399600399601	0.9595173845562931	0.999985270751397
Q8C073	cosine	24.0	12.0	3.0	49176.73800192613	2568.7508269477053	30.0	3.0	53937.9315034	44728.599597199995	9209.33190627	1.2058935891	1.0919415397499999	0.3216931213361771	0.01382149916799702	0.38700197670391656	0.23976023976023977	0.23806215285465787	0.999985270751397
A0A087WSB8	cosine	24.0	0.0	3.0	58144.791430267665	3856.2068871236297	63.0	27.0	67898.7057729	51212.7835185	16685.9222543	1.32581557002	1.0695376899299998	0.14475453938937588	0.160844803171809	4.5036544888106524	0.9470529470529471	0.9429912303492176	0.999985270751397
A0A087WSE3	cosine	24.0	0.0	21.0	7173.195488493169	1582.8873134506493	51.0	69.0	11626.8331891	5150.07865152	6476.75453755	2.2576030340099997	1.26989862494	0.19597397046916534	0.08985625322931617	2.515975090420853	0.7952047952047953	0.7831824934907535	0.999985270751397
A0A087WSN6	cosine	24.0	18.0	15.0	162765.14097858765	11879.277021142025	45.0	51.0	187786.47305899998	144579.056497	43207.416562599996	1.29884976157	1.11502312862	0.3116427225020147	0.016441424648024998	0.4603598901447	0.2837162837162837	0.2713233066474891	0.999985270751397
Q8C3V4	cosine	24.0	21.0	0.0	773861.8742627344	62242.212843567126	57.0	0.0	945615.152347	669361.404718	276253.747629	1.4127123937600001	1.09963841422	0.2773216563242906	0.02881195020498228	0.8067346057395038	0.41058941058941056	0.4061951412383164	0.999985270751397
A0A0A0MQ68	cosine	24.0	18.0	0.0	178181.29298690954	5904.512654476442	36.0	54.0	196218.085348	168199.565485	28018.519863200003	1.16657902642	1.04123740526	0.19191458635529096	0.09444831922890234	2.6445529384092663	0.8021978021978022	0.7997469651005051	0.999985270751397
A0A0A0MQ70	cosine	24.0	3.0	6.0	23325.211144214947	2573.52650136698	63.0	42.0	28164.8628194	19257.0954948	8907.767324600001	1.4625706575	1.2076715584200002	0.20414101708758134	0.08112374916958642	2.27146497674842	0.7602397602397603	0.7483138812476855	0.999985270751397
A0A0A0MQ73	cosine	24.0	0.0	3.0	28066.86787221413	3862.907464983852	6.0	51.0	36060.9053063	22109.153205500003	13951.752100799999	1.63103964097	1.25451422433	0.2709508044980625	0.031802877079016766	0.8904805582124696	0.4325674325674326	0.4325674325674326	0.999985270751397
A0A0A0MQ79	cosine	24.0	21.0	0.0	1159585.3893437462	82132.35911288795	45.0	15.0	1345921.2106899999	1033384.41327	312536.79741500004	1.3024400149700002	1.10343327545	0.19597397046916534	0.08985625322931617	2.515975090420853	0.7952047952047953	0.7831824934907535	0.999985270751397
A0A0A0MQ80	cosine	24.0	15.0	18.0	241216.22656837388	20584.166065541755	12.0	69.0	269411.75814	208259.869005	61151.8891349	1.29363261116	1.16902546477	0.13892506906716318	0.17078109313035114	4.781870607649831	0.954045954045954	0.9537688020730946	0.999985270751397
A0A0A0MQ83	cosine	24.0	21.0	0.0	20846.555315377995	3278.9821590131096	63.0	27.0	27989.0084443	16424.302338600002	11564.706105700001	1.70412160391	1.3547905200900001	0.28471690049293835	0.0256371939762934	0.7178414313362151	0.38461538461538464	0.3745592764778634	0.999985270751397
Q545H7	cosine	24.0	0.0	15.0	207289.81240096712	6917.741108684643	3.0	63.0	223675.78907399997	188799.795248	34875.993825800004	1.1847247439	1.0429601085200002	0.3069026329988816	0.017817847893956986	0.4988997410307955	0.2997002997002997	0.28803247782511504	0.999985270751397
S4R248	cosine	24.0	12.0	9.0	184962.5046678063	9574.767051391058	51.0	9.0	201442.688571	170405.16858499998	31037.519986199997	1.1821395456700001	1.1000148918600001	0.1159464005107269	0.2136644365548029	5.982604223534483	0.98001998001998	0.98001998001998	0.999985270751397
A0A0A0MQ99	cosine	24.0	12.0	15.0	64917.35500691472	5121.82561852053	0.0	33.0	77487.08226160001	58677.2226288	18809.8596327	1.32056492775	1.13826954729	0.11639667948870427	0.21276808318223125	5.957506329102475	0.9790209790209791	0.9790209790209791	0.999985270751397
A0A0A0MQA5	cosine	24.0	12.0	0.0	273516.1800229842	8542.089908464404	66.0	24.0	296556.036523	256703.43987899998	39852.596643900004	1.15524761438	1.04034157639	0.3469225214884106	0.008773600268086433	0.2456608075064201	0.16283716283716285	0.16283716283716285	0.999985270751397
