ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
A0A023T672_S56___1	cosine	24.0	18.0	3.0	29022.735819645262	3420.6714019935357	66.0	0.0	35319.7461405	23654.327207799997	11665.4189327	1.49316215296	1.20272393644	0.4252265396972456	0.001800751628811166	0.050421045606712636	0.050421045606712636	0.050421045606712636	0.8643297343874834
A0A068BD34_S619___1	cosine	24.0	21.0	18.0	8070.693539033759	1093.3689362423156	36.0	6.0	9644.62091764	6046.22728575	3598.39363189	1.59514693408	1.20227080795	0.08276527399646637	0.28548880439566016	7.993686523078483	0.999000999000999	0.9982226657700053	0.9997578333692853
A0A068EW80_S528___1	cosine	24.0	3.0	21.0	110464.84089685263	17750.051118567277	51.0	63.0	160774.67017	73888.80574319999	86885.8644272	2.17590024028	1.11672601059	0.4502611449104903	0.0010263673653035312	0.028738286228498874	0.028738286228498874	0.028738286228498874	0.8409481835610015
A0A068EW80_S515___1	cosine	24.0	21.0	0.0	180362.62290066254	8885.494880984597	27.0	0.0	195191.662635	162139.899416	33051.7632184	1.20384719207	1.06847050073	0.3956455630226545	0.0033784333711477372	0.09459613439213664	0.09459613439213664	0.08515700288917426	0.9183846175242829
A0A068EW80_S17___1	cosine	24.0	12.0	15.0	300824.1188276996	11021.062089157524	18.0	3.0	316842.92137199995	277000.713077	39842.2082958	1.14383431672	1.04929757995	0.2665859433450969	0.033996638123773563	0.9519058674656596	0.45854145854145856	0.45854145854145856	0.9997578333692853
Q52L52_S303___1	cosine	24.0	6.0	15.0	29959.90795656908	3971.1101241441334	54.0	15.0	38167.533489999994	21274.4391818	16893.0943082	1.79405591676	1.20904981657	0.2264109462244084	0.06056922852249681	1.6959383986299106	0.6463536463536463	0.6463536463536463	0.9997578333692853
Q52L52_S314___1	cosine	24.0	21.0	6.0	9470.117173200013	1216.9630977110064	51.0	27.0	11769.3832293	6876.22894477	4893.15428456	1.7116043290399998	1.17071367821	0.16702446852620292	0.12642548136726045	3.5399134782832924	0.8951048951048951	0.8916269438401478	0.9997578333692853
A0A087WNV1_S181___1	cosine	24.0	21.0	18.0	76724.37507343345	6710.964836365454	45.0	51.0	90288.4211923	65430.041911099994	24858.3792812	1.3799230224399999	1.14854112894	0.28591640107870203	0.025150935058516143	0.704226181638452	0.3876123876123876	0.38103777514159637	0.9997578333692853
A0A087WPP8_S221___1	cosine	24.0	0.0	6.0	11338.674930578403	1480.4676540085047	24.0	60.0	14854.389868799999	8910.96413848	5943.42573036	1.6669789753400002	1.21521937214	0.35699821640789786	0.0072624080614124955	0.20334742571954986	0.16583416583416583	0.15381778701777812	0.9997578333692853
A0A087WPP8_S177___1	cosine	24.0	0.0	3.0	46657.60945833541	4767.358218797245	24.0	15.0	55343.208825600006	38155.4027729	17187.8060527	1.4504684737600002	1.19247292654	0.2783741142103382	0.0283411053804827	0.7935509506535156	0.4155844155844156	0.4129716219046653	0.9997578333692853
A0A087WQS0_S1514___1	cosine	24.0	6.0	3.0	280892.06232760224	15158.982582729945	63.0	51.0	315759.707451	249299.94597600002	66459.7614744	1.26658554303	1.06956830467	0.21156432679985704	0.0737564416596048	2.065180366468934	0.7152847152847153	0.7152847152847153	0.9997578333692853
A0A087WQS0_S836___1	cosine	24.0	12.0	6.0	31874.97139206313	2320.791765556048	63.0	21.0	38760.4425021	25280.6101812	13479.8323209	1.53320834522	1.0681267511	0.17171831436157145	0.11988014354567555	3.3566440192789155	0.8771228771228772	0.8771228771228772	0.9997578333692853
A0A087WQS0_S1526___1	cosine	24.0	0.0	21.0	21076.234970957365	8456.996930486195	51.0	21.0	48652.4707432	13829.419848299998	34823.0508948	3.51804134062	1.29123933689	0.3216931213361771	0.01382149916799702	0.38700197670391656	0.26373626373626374	0.24919436871603917	0.9997578333692853
A0A087WQS0_S792___1	cosine	24.0	9.0	3.0	69812.60766483688	5880.958489866584	63.0	3.0	85198.63314389999	60983.2089235	24215.4242205	1.39708347015	1.11210133529	0.290061050831417	0.023529860808762543	0.6588361026453512	0.37662337662337664	0.36404733741543854	0.9997578333692853
A0A087WQS0_S1325___1	cosine	24.0	15.0	3.0	52769.09486936415	4944.819214751983	63.0	3.0	69052.16361	45049.3474764	24002.8161336	1.53281162721	1.1284634253799999	0.4281171541771875	0.0016899269501841699	0.04731795460515676	0.04731795460515676	0.04731795460515676	0.8643297343874834
A0A087WQS2_S443___1	cosine	24.0	15.0	12.0	6628.3203359282	1019.3974999192008	66.0	9.0	8396.94806386	4695.79829196	3701.1497719000004	1.78818329532	1.2871508427	0.2740954065379165	0.030295983526908214	0.8482875387534299	0.42357642357642356	0.42357642357642356	0.9997578333692853
A0A087WQS2_S445___1	cosine	24.0	12.0	6.0	4752.184590564997	539.0292695149994	60.0	51.0	5992.45504411	3670.7376065	2321.71743761	1.63249343497	1.1474622760700002	0.4852908884131367	0.0004463792834649967	0.012498619937019909	0.01098901098901099	0.01098901098901099	0.6371835711458353
Q3U607_S188___1	cosine	24.0	15.0	3.0	175956.5063753382	18835.99630138557	63.0	27.0	217103.68628000002	147883.656858	69220.0294224	1.46807085308	1.18512827604	0.16238926537755388	0.1331294177656946	3.7276236974394488	0.8971028971028971	0.8971028971028971	0.9997578333692853
S4R1P5_S415___1	cosine	24.0	18.0	15.0	12123.48099453187	1224.8527552094822	18.0	51.0	14951.2503831	9733.50551293	5217.74487018	1.5360601957100002	1.11145557987	0.2816048697307362	0.026935575910470855	0.754196125493184	0.4035964035964036	0.39913830989122917	0.9997578333692853
F2Z4A3_S4512___1	cosine	24.0	12.0	15.0	13460.652083541245	878.097115988491	42.0	51.0	15532.2682851	11463.269071200002	4068.9992138999996	1.3549597578700001	1.0507515858299998	0.14643453225998282	0.15805277010113494	4.425477562831778	0.951048951048951	0.9423702795335036	0.9997578333692853
A0A087WSE3_S1862___1	cosine	24.0	3.0	12.0	2917.8967613632544	506.5166907500955	3.0	60.0	3719.70823558	1488.97602122	2230.73221436	2.49816530459	1.21700592487	0.3660645863480636	0.006103836469221554	0.1709074211382035	0.15084915084915085	0.13464772349469592	0.9861767888368429
A0A087WSE3_S2144___1	cosine	24.0	0.0	21.0	14883.117644539685	2769.1965627415075	51.0	21.0	20707.8485313	10621.461969700002	10086.3865616	1.94962318655	1.3105966526000001	0.14420726128863112	0.16176125330350544	4.529315092498153	0.957042957042957	0.946708289509603	0.9997578333692853
A0A0A0MQ73_S4789___1	cosine	24.0	18.0	15.0	17737.84808004295	3935.15023637883	54.0	3.0	32886.6271981	14088.609845700003	18798.017352400002	2.33427056028	1.28580079584	0.13141560587434356	0.18414709071421095	5.156118539997907	0.971028971028971	0.9674868095918324	0.9997578333692853
A0A0A0MQ73_S1627___1	cosine	24.0	18.0	15.0	26607.94795273158	3492.9543750232856	54.0	30.0	32688.5586365	20329.8601085	12358.6985281	1.60790868516	1.19431071288	0.24405755376663804	0.04737845192157586	1.3265966538041245	0.5564435564435565	0.5564435564435565	0.9997578333692853
Q545H7_S32___1	cosine	24.0	15.0	9.0	38912.51877784887	8680.923218215396	69.0	30.0	55528.517622399995	20469.4596951	35059.0579273	2.71274955223	1.32233680316	0.19411635536525468	0.09193660660926267	2.574224985059355	0.8011988011988012	0.7969020433096646	0.9997578333692853
S4R248_S199___1	cosine	24.0	21.0	0.0	5490.12368201424	883.4683084600728	18.0	42.0	7333.98242277	3885.97080752	3448.01161525	1.887297354	1.26510251172	0.3216931213361771	0.01382149916799702	0.38700197670391656	0.26373626373626374	0.24919436871603917	0.9997578333692853
A0A0A0MQ99_S36___1	cosine	24.0	21.0	3.0	133584.90927205645	21351.04832699196	0.0	51.0	158258.644151	78745.68328160001	79512.96086970001	2.00974374158	1.15400969778	0.32477853075510776	0.013093115992743426	0.3666072477968159	0.2547452547452547	0.23947845949246507	0.9997578333692853
A0A0A0MQN9_S2250___1	cosine	24.0	12.0	0.0	118289.63013623485	7435.677584566526	60.0	24.0	128748.085577	100484.665322	28263.4202552	1.2812709796500001	1.12133141957	0.5683624288214386	4.991231664334126e-05	0.0013975448660135553	0.000999000999000999	0.000999000999000999	0.5675752818609962
A0A0A6YW06_S723___1	cosine	24.0	21.0	3.0	84649.01202860949	13104.348886605045	63.0	39.0	137587.412223	67019.033381	70568.37884169999	2.05296026042	1.1357896358700001	0.2878718795329364	0.024374796195956446	0.6824942934867805	0.38461538461538464	0.3729702546641061	0.9997578333692853
Q921M8_S633___1	cosine	24.0	21.0	0.0	23198.56278107004	2240.776195851008	27.0	15.0	28852.559150800003	20246.111253	8606.44789782	1.4250914059600002	1.1614345688299998	0.1589977496259266	0.13818700065494172	3.869236018338368	0.9250749250749251	0.9137054715221453	0.9997578333692853
