ID	CT0	CT3	CT6	CT9	CT12	CT15	CT18	CT21	CT24	CT27	CT30	CT33	CT36	CT39	CT42	CT45	CT48	CT51	CT54	CT57	CT60	CT63	CT66	CT69
A0A023T672_S56___1	33350.4953257128	34130.3961228225	33103.527224961	33033.1380388171	31983.9006932113	31156.6683542429	31911.4682844939	32408.667873429	31156.5094115279	29268.9777958573	33943.3022641735	30639.5374358107	30150.0411643957	29954.8350756822	31444.375703239	32715.4667574859	29249.48124563	28155.6296155057	29067.9873116564	33685.0955513467	29705.6617244083	29147.4961145764	31147.2969504082	29166.7037123053
A0A068BD34_S619___1	13693.6417188685	12556.3030308636	13638.9939529374	10326.4006293877	16001.2911652409	15750.4841440648	13482.3062124605	11157.2971413838	14077.060708452	12847.303436724	12280.3677663604	13307.1637676112	12792.1191243333	14093.7242134779	13265.7637182547	15837.7250995659	16839.4969344721	22676.4559113991	16427.181680914	15951.8956272828	15967.6446068753	15339.1796968826	17693.3644892505	17953.9521856483
A0A068EW80_S528___1	108235.104959247	124940.30077645	111932.820780921	97729.4627861607	142906.196065869	117613.917288143	149710.165075863	147341.412507467	134305.343228646	115714.933910366	117298.441526922	141364.345785111	156786.507903536	135389.722920189	141759.617101831	138580.731486568	112449.118076669	128236.536995066	135589.029816212	121329.144728171	126074.611090981	121416.468424273	128279.650616395	109849.643183667
A0A068EW80_S515___1	119953.312125256	163549.007715807	120842.313688086	154394.593160468	115610.472840858	156305.425806901	121272.063298838	157019.86309543	167748.807122256	169228.575568598	205594.197178983	160133.072508119	168585.211186162	162116.868423724	163467.859913882	153508.851810977	137138.313231522	135638.323629085	162726.402069612	150526.902886779	159352.579889844	132282.924448032	154065.320190072	139624.528131039
A0A068EW80_S17___1	216283.824044704	215220.709488807	204385.76767698	196277.359823375	205916.018247956	195883.323217948	203756.582070448	204758.096601346	199856.82948731	206273.624295061	203510.685579387	207541.514393825	218902.936683917	206569.66433814	201246.176161715	193032.340424527	180730.382720572	190674.824601072	192360.927115145	188403.486435682	191593.989811446	197067.603168878	189264.709373968	184917.822958211
A0A087WNV1_S181___1	60970.7045634384	63661.3207182149	63455.9430292486	59996.3684689646	63791.1537022533	66978.2279871889	64881.771069751	69785.8465323242	75913.0080000054	66005.3059464879	69133.0709668595	70642.7156343124	74350.5359860499	70811.5705271897	67797.1338780304	63691.2982950861	62646.3399313136	62074.4537569139	64156.3214566851	58103.1650521991	65452.5190915748	68818.2729366572	60500.3243849522	63640.6553763822
A0A087WPP8_S177___1	49551.8759139738	43010.1134830101	47550.2682872106	45159.4738676668	35172.2749716869	40991.4773320393	38938.2856540998	34411.9272528002	52922.2676258095	37336.5479639471	42016.4158606338	40426.1116613788	38254.2491872185	35890.3276558726	47617.7773020739	38642.340950196	49051.3481189731	38984.1449262158	49935.6643102134	46058.9236139764	42574.9640080928	52828.0112138095	44501.5823509316	43431.5212877873
A0A087WQS0_S1514___1	301645.896663216	312298.31213957	308061.963702727	353617.22024963	286054.838286406	313478.761334764	287801.48207278	293357.527386387	310708.619384925	335389.032494575	325179.841009671	295065.01040974	288149.538080937	277517.166628317	308263.819655107	304712.254930103	282228.7816392	269508.702067343	260776.097055333	288171.305200695	264961.144791648	277406.914111317	294179.528603646	279271.382793357
A0A087WQS0_S836___1	40982.6615018142	43895.2760886883	40187.889943946	43496.4801064702	41195.1847713702	43387.8925090249	38348.1727657074	42551.6992092431	44414.2366962858	46051.5102955292	47060.6870783542	42715.6775330402	42360.6579370452	41074.6540994811	44773.3748612802	44013.5502558146	41525.8741141513	40934.2222838459	39684.6306195955	37606.5974649939	41576.3001300352	43358.1236455973	38130.9565258069	44727.5302821503
A0A087WQS0_S1526___1	21816.2944181771	24289.02152594	24175.0770823892	20500.5563839083	23015.1688365346	21906.2547454561	25369.4502235317	22562.0676703059	24655.7996681016	25590.5632170909	25451.5630358005	22706.0484221655	24796.404388903	22963.7873528879	24933.2672686761	24098.564320513	24541.9828200912	24592.9561186953	22293.7796789592	23850.8985857466	23242.5775485018	22511.1365651319	21799.1023244955	23568.4613075671
