"UNIPROTKB","LENGTH"
"Q9CWZ3"," 174"
"O08586"," 403"
"Q61193"," 778"
"P28704"," 520"
"Q9Z1P8"," 410"
"P21958"," 724"
"P46638"," 218"
"Q9QWT9"," 674"
"Q9Z0H1"," 622"
"O35730"," 406"
"Q8C754"," 723"
"Q31125"," 476"
"P28063"," 276"
"Q60953"," 885"
"P00405"," 227"
"P03888"," 318"
"P03899"," 115"
"P00158"," 381"
"P38532"," 525"
"Q3TZM9"," 492"
"A0A087WP63","3095"
"Q64253"," 130"
"P83940"," 112"
"Q8K2K6"," 561"
"P0CW02"," 131"
"Q8BX65"," 247"
"P62484"," 446"
"A0A087WQH8"," 103"
"P97789","1719"
"A0A087WQS0","1867"
"Q9CQC6"," 419"
"O89110"," 480"
"Q8CGA4"," 131"
"Q2HXL6"," 931"
"Q8R0N6"," 465"
"Q8BXK8"," 857"
"A0A087WRL6"," 497"
"F2Z4A3","4590"
"P05977"," 188"
"Q8BG73"," 107"
"Q62407","3262"
"A0A087WSN6","2296"
"P42225"," 749"
"Q62009"," 838"
"Q60759"," 438"
"Q6PDK2","5588"
"Q3TLH4","2846"
"Q3UMC0"," 893"
"Q8K4R4"," 332"
"P97352","  98"
"Q8C0D4"," 838"
"A0A0A0MQ99"," 131"
"P68368"," 448"
"Q8K1H1","1086"
"Q8K201"," 259"
"A3KGS3","1872"
"A2AHC3","1581"
"A0A0A0MQH5"," 369"
"Q80XJ3","2450"
"P09925"," 306"
"Q921L3"," 188"
"Q9JKV1"," 407"
"A0A0A6YWB0"," 347"
"Q03173"," 802"
"P35123"," 962"
"Q61098"," 537"
"Q8CHG7","1496"
"Q9EQX4"," 150"
"Q6PGA0"," 451"
"Q3UJD6","1360"
"Q9JKK1"," 255"
"Q8BGS7"," 416"
"P27090"," 414"
"A0A0A6YY64"," 500"
"Q8C1B1","1461"
"A0A0A6YY83","1255"
"Q9CSN1"," 536"
"P40694"," 993"
"Q5U431"," 456"
"Q99PM9"," 261"
"O35343"," 521"
"P61622","1188"
"Q8BVA5"," 326"
"A0A0F7DDK0"," 787"
"Q8JZZ7","1487"
"O35387"," 280"
"Q05DL4"," 483"
"P61969"," 165"
"Q8BTZ4"," 740"
"P61079"," 147"
"P01139"," 241"
"P63254","  77"
"Q91WK0"," 415"
"Q7TPD0","1041"
"Q8K385"," 592"
"A0A0G2JFT8"," 669"
"A0A0G2JFZ4"," 745"
"E9PVP1","1691"
"P07091"," 101"
"P08556"," 189"
"P54729"," 614"
"Q9JLM8"," 756"
"Q9EPR2"," 192"
"Q6P4S8","2195"
