ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
A0A023T672	cosine	24.0	3.0	18.0	289976.44621255057	22443.128003727987	3.0	63.0	322924.96186	244705.097319	78219.8645417	1.3196495103599999	1.13410393372	0.28471690049293835	0.0256371939762934	0.7178414313362151	0.4095904095904096	0.40150641477718113	0.8884983986346686
A0A024QYR9	cosine	24.0	18.0	21.0	46218.29372995164	2664.519176835054	15.0	39.0	52989.7929365	38301.047303800005	14688.745632600001	1.38350767581	1.05244030164	0.2257234745358174	0.061136095767155875	1.7118106814803644	0.6783216783216783	0.6740983661548847	0.9999742012524195
A0A068BD34	cosine	24.0	12.0	18.0	43376.09638038928	3951.3571600729742	18.0	30.0	50535.3813061	37090.375490900005	13445.0058152	1.3624931168099998	1.1600429477299998	0.06745406256199317	0.32211541368864505	9.01923158328206	1.0	0.999410378384752	0.9999742012524195
Q8VCR0	cosine	24.0	9.0	6.0	12578.507709110048	1417.2698720299622	51.0	27.0	17335.5317817	10284.3814082	7051.15037357	1.68561735449	1.10419073499	0.19001827945420569	0.0966518204735778	2.706250973260178	0.8201798201798202	0.8201798201798202	0.9999742012524195
A0A068BEP2	cosine	24.0	21.0	6.0	254419.08575018364	27116.419980203256	69.0	3.0	318368.544528	203073.64747	115294.89705799999	1.5677491811200002	1.0832975843000001	0.2783741142103382	0.0283411053804827	0.7935509506535156	0.4275724275724276	0.4275724275724276	0.9031866570929071
Q3TBA3	cosine	24.0	3.0	6.0	112293.05373677176	8845.756319803473	51.0	6.0	128883.89273299999	94581.5020042	34302.3907291	1.3626754703900001	1.12013248895	0.2783741142103382	0.0283411053804827	0.7935509506535156	0.4275724275724276	0.4275724275724276	0.9031866570929071
Q78ZJ8	cosine	24.0	3.0	6.0	814581.1496709776	48481.80715519605	51.0	6.0	901575.5508409999	702606.404142	198969.146699	1.28318720912	1.06229216536	0.2932207336348896	0.022353887279688556	0.6259088438312794	0.3756243756243756	0.365902929890999	0.863044646193417
E9PUA5	cosine	24.0	6.0	0.0	2342.6242347999632	335.41727775976403	54.0	45.0	3013.46880633	1584.95540774	1428.51339859	1.90129564	1.20012176988	0.37187314209156025	0.005450614642997061	0.1526172100039177	0.14685314685314685	0.12815677934604827	0.5813220380151112
Q3UM80	cosine	24.0	3.0	12.0	37131.15356239657	7787.024110455191	51.0	39.0	58595.483510699996	26387.089775599998	32208.393735100002	2.22061182226	1.31977036536	0.2995073888302339	0.02016114215609676	0.5645119803707093	0.35264735264735264	0.3406821026452745	0.8411323637724708
A0A068BFS4	cosine	24.0	3.0	0.0	9814.277132708576	887.9655504495929	54.0	9.0	11781.830889	8356.8426114	3424.98827764	1.4098423815	1.17196895393	0.17444777823847862	0.11618577088949705	3.2532015849059173	0.8851148851148851	0.8770792358723568	0.9999742012524195
A0A068BGT0	cosine	24.0	12.0	9.0	240857.17389955136	10209.153000933296	27.0	6.0	257908.940333	220838.48294000002	37070.4573934	1.1678623077799999	1.0723516049600001	0.1683092910639584	0.12460960164846765	3.4890688461570933	0.8981018981018981	0.8950357440608816	0.9999742012524195
Q14C53	cosine	24.0	18.0	15.0	65131.302739336905	11879.876076126533	24.0	39.0	88689.96855610001	43303.4107676	45386.5577884	2.04810584164	1.27517360062	0.3792278912373914	0.0047130610613636895	0.13196570971818328	0.11988011988011989	0.11435194495695612	0.558668637833681
A0A068BIT8	cosine	24.0	6.0	3.0	161377.54315775752	26076.522335610967	51.0	0.0	218722.66318200002	123210.857605	95511.8055779	1.7751898447499999	1.27202966026	0.11506130054027312	0.2154327694040179	6.0321175433125	0.986013986013986	0.984965432247293	0.9999742012524195
