ID	CT0	CT3	CT6	CT9	CT12	CT15	CT18	CT21	CT24	CT27	CT30	CT33	CT36	CT39	CT42	CT45	CT48	CT51	CT54	CT57	CT60	CT63	CT66	CT69
A0A023T672_S56___1	23654.3272078139	24585.488042927	25094.8735760112	27265.6250000989	27211.9520252717	25873.0140086851	27513.6478042328	29651.0827453229	27083.0115507847	25216.2209025927	26850.3243620079	28418.4572014169	29971.4202373682	28701.2043384794	32293.5278113351	34663.7531175089	28595.7187066491	25706.6026602456	30217.0466124365	32463.2792354909	34984.3993279975	34302.493538926	35319.7461405325	30908.443517351
A0A068BD34_S619___1	6263.02534087285	7903.22081885317	6046.22728575356	6181.68417384271	6780.38416528606	7963.90062110208	6719.70136747564	8440.43027217297	9027.77902473523	7293.65513912496	9467.15582579394	9559.20013249557	9644.62091764435	9524.18593875366	8952.87337264805	9195.89918880932	8290.30522393277	9208.91254462909	7998.12469060386	7775.07364395693	7695.10697297083	7972.7106592924	7648.77524096884	8143.69237509143
A0A068EW80_S528___1	100701.644158017	137647.603849758	107711.25681124	98823.6666355813	105153.214297895	99698.3533842989	112456.14534049	100420.722312196	109094.982668101	127118.846892817	106901.860577506	107286.537602637	107656.84426653	126507.016156427	103359.136243254	97396.2557620458	104835.827376022	160774.67017037	148362.50326002	106132.324690824	104963.001824009	73888.8057431731	98816.1406574305	105448.820843821
A0A068EW80_S515___1	162139.89941635	164114.023394449	188280.982794506	180833.321317436	173738.402628958	191105.664121107	188174.454128246	190422.729407308	167607.355906951	195191.662634735	175969.150313766	178864.90277992	181661.840823942	187090.093089664	178876.430290041	193056.49152936	177834.661825539	167868.271453644	178270.621160109	179688.741949522	187807.587931288	187179.681465871	176115.722427871	176810.256825319
A0A068EW80_S17___1	282037.92209896	277000.713076582	299012.036518671	305793.158456173	308376.623000974	293450.337036485	316842.921372414	309841.028701761	302624.609169037	311880.635352471	301546.203291534	305750.557777091	309810.75745317	308541.000626131	285853.37156129	303925.163368095	303166.151231825	302630.482025463	311627.633775461	299242.173757206	316272.498874122	278643.894600076	295255.381669952	290653.597069845
Q52L52_S303___1	26870.0089416568	24110.1184423167	28258.6138453852	25937.8671730028	25547.9213224635	21274.4391818119	25254.1899292909	25021.4785152612	30559.5430839571	31400.8682583053	35103.913006884	32377.688286135	29822.597561996	29415.1410338999	30407.8428920746	29443.8952819033	35906.9758088514	32974.5627271699	38167.5334899771	32386.163641811	31619.819432593	31870.3415451757	32819.0881735786	32487.1793821569
Q52L52_S314___1	10004.2613586657	8951.1302348829	8564.99092778235	8410.15450906643	9697.19052208208	8562.42473218195	9567.36253198386	9004.98782491594	6962.72155316048	6876.22894476754	8794.63616408605	8905.25663765622	9010.27016711597	8302.6160202036	10165.1606542785	11252.65197701	9658.09348902305	11769.3832293232	10815.3262477872	10075.1831999092	10932.8705120099	10296.0008521975	9629.12886390317	11074.7810028075
A0A087WNV1_S181___1	77262.220590324	84350.0389481135	73211.9651081365	83758.3258173108	67999.3577999711	77519.1813546018	71250.827722069	81568.6419488929	82003.1599062699	88736.1625094463	75883.9443454616	73380.6119136457	70849.1530932248	84601.3072284564	67236.0084294731	90288.4211923262	72711.5543163118	65430.0419111168	71397.6694781588	73297.7791265468	81350.9912951683	78097.4347353454	69134.6206830291	80065.582309002
A0A087WPP8_S221___1	10906.7771843111	9653.24676781778	9259.02125126232	9441.89001557199	10014.3972426152	9293.29196322933	10718.9897049361	11329.1228548382	14854.3898688385	11667.6133870663	11885.4280563415	11331.5531620743	10842.8711081126	13124.6897144127	12819.079241689	13132.7841790112	13183.1058992215	10758.820512186	10548.7778877967	11954.7860728062	8910.96413847625	12831.0341938783	12261.1766408058	11404.3872865828
A0A087WPP8_S177___1	42152.7879554366	40139.4666754459	41465.2015549561	41392.5526399421	43416.6197915779	38155.4027729142	43792.8236127903	44647.4509479055	55343.2088256386	42878.9310908679	53972.8922569248	49636.0292821003	45794.6254269632	47789.9993063439	54161.6813159069	52107.3456191119	51131.9644450252	45741.5638046065	42536.8966312478	48478.5178314032	45674.6808048631	51106.1532456124	46078.4920081903	52187.3391542752
A0A087WQS0_S1514___1	276437.048093238	269981.135616486	275186.184657211	273002.91723158	271631.074256186	257472.784128739	261727.942734338	266907.534288414	284731.073049886	273389.840573515	289101.102992704	285590.95060559	282388.420545366	271227.627501576	285067.330004033	292107.320162409	285686.213017318	249299.945976325	278146.310745605	290527.987588981	304411.158440468	315759.707450694	301477.392677524	300150.493524268
A0A087WQS0_S836___1	32941.9023069597	32654.9686277421	30096.1933931195	30208.0341902269	32403.2111457008	30719.9538863844	31540.0119886863	25280.6101812167	33220.3107183109	31813.004093497	32143.7921421693	32487.6679843901	32812.8045386822	28847.8848519481	31732.9303527725	31974.9780389809	30698.6471922139	31008.1224791705	30197.259372641	32494.6084127282	32570.0439272725	38760.4425021216	34319.0874684426	34072.8436141375
A0A087WQS0_S1526___1	18397.5770101541	17087.2171110194	18313.9594292466	15117.8799836267	16461.819325317	15287.1905107111	16477.3455416871	13829.419848332	18703.4827653353	16098.0367554079	18656.7477785041	17750.2432802548	16912.6266345888	15615.2968817557	17466.4225674295	14470.0427558176	31247.3092841883	48652.4707431769	37805.4728647478	34072.0584913554	18978.5051945982	21256.1486696403	28111.5607469948	19060.8051290873
A0A087WQS0_S792___1	63504.4323807786	60983.2089234883	61639.8352708282	68970.2594434539	64157.0907438236	65197.9757184303	64185.6382668441	66758.6452732502	70375.0916894079	66742.9273852504	70743.8099267458	71651.3381383076	72506.7558546846	63804.2599962396	71671.5142584426	72202.374579082	69207.8816476182	66047.3898784815	72442.104137441	79403.0533263317	75898.2539979629	85198.6331439463	73135.9512232335	79074.1587520124
A0A087WQS0_S1325___1	49389.1620815231	45049.3474763845	47087.8865604104	49466.219159602	51313.0479840967	49137.1022695014	56223.8904597668	49261.3519250624	48922.0677966629	52562.7965290755	51536.4219256178	52235.8792935026	52894.6104709722	55103.1687337279	52867.302706218	55733.8630191559	51995.1655184546	46682.3652440519	50922.0479713982	57684.2559239679	59851.6998923116	69052.1636099527	57149.5493246302	54336.9109886923
A0A087WQS2_S443___1	5683.1903735662	5672.29628087465	5046.82582595812	4695.79829195888	5242.5221564127	6775.53421937572	5860.67546717465	6533.98619797329	6212.73179402014	6923.03315607443	5843.75248856599	6085.16097473964	6314.18096216636	6610.61665466583	6061.25864628499	7733.22135028383	7288.39823864241	7543.573366377	7228.70717171019	8192.77412283814	7019.89033674486	8279.30020392138	8396.94806385651	7835.31171809087
A0A087WQS2_S445___1	4651.82576947452	3966.99456992363	4106.56919863705	4723.19302015731	5348.56170006278	5037.20574830183	4389.86610133563	4785.61875488735	5178.41344391485	4991.150454317	4790.49828729248	5294.21408954124	5771.40449276242	4946.52035907569	4521.08583361057	4915.89724220296	4219.77831623679	3670.73760650124	4272.35136330032	4233.76153663069	5992.45504411057	4994.62733531553	4833.92339789449	4415.77650807299
Q3U607_S188___1	161316.473850218	172530.585275293	153723.795634761	167468.568052902	156301.524190381	165203.989343594	160133.81265795	156706.675008695	166440.356671368	147883.656857629	162753.791842322	165589.86967371	168352.920218713	163575.741793851	188958.636860663	171459.060714395	192768.993173923	183989.0644837	192884.120744894	200223.5204503	200755.948412746	217103.686280016	203035.24870948	203796.112106613
S4R1P5_S415___1	11731.3421687124	10972.1328841262	12596.8737225598	12690.7188627414	12427.3241466564	9883.99473954147	14951.2503831115	11439.3284321699	11297.9570794828	13621.0091675742	11642.3157614935	11541.2042476998	11446.7705819079	11425.215072664	14162.5180609921	13575.2786489013	12698.6190437558	9733.50551293317	12191.4814357321	11342.558090113	12238.2342958258	12248.9915898671	13703.4156893559	11401.5042508473
F2Z4A3_S4512___1	12898.1528464898	13964.1982296531	13508.9686458537	14335.0954995612	15206.652978651	12138.0133702243	13750.7032965183	13118.5228691947	13685.3099500511	12764.5160934099	13175.3054964779	13348.8026621316	13514.653655589	13358.0248980911	15532.2682851189	13410.5483102094	13784.3087085832	11463.2690712188	14721.2093740272	13314.7110956824	12943.7059498644	13565.7840638478	12380.4765180375	13172.4481365036
A0A087WSE3_S1862___1	3006.02175360143	3719.70823557537	3217.28726471756	2440.36430963077	2983.53512895735	3432.4461064381	3146.90975148766	2694.24308905244	3500.40249733176	3304.10768742574	3445.88557824417	3278.90980240916	3111.9026433049	3109.22064517374	3038.22024385488	2992.74926189427	2977.74627290897	3150.20900588772	2816.32986270403	2197.27903806556	1488.97602121937	2059.5330044403	2320.4094471981	2597.12562119476
A0A087WSE3_S2144___1	13094.2407222429	10815.3408133716	13433.3131026019	12112.9293758958	13329.7791063372	10664.6600809231	12703.1940373185	10621.461969716	16408.0535493204	11982.787578753	14855.9514026301	15131.5166430469	15403.6185654966	13320.0540307623	17359.4808923579	14230.2382780046	18042.3575777423	20707.84853127	17515.0999496563	16386.3266185854	17161.268058917	20177.3865130949	17107.351184598	14630.5648863097
A0A0A0MQ73_S4789___1	16026.4131415506	14088.609845742	15407.1557120421	20091.0105980714	18258.8243063498	15110.9866125058	15163.7890456971	15791.2793666563	17927.4256912604	15166.6575747859	14437.6133850804	14389.0542341491	14336.3586522759	14213.0924840224	17999.5399362315	17270.8410254842	19564.020039254	18026.9775871544	32886.6271981456	17635.5550580513	20567.5209977826	19497.6120228766	18749.57000955	23101.8193963114
A0A0A0MQ73_S1627___1	27120.6984487159	24946.6469424043	24558.6805267902	29251.3163631419	23293.3407749653	25336.1739920278	27787.1689291125	29330.695247223	24216.4686263861	26754.1077525011	20329.8601084783	21256.6679053853	22188.9911881632	20876.16189289	27656.4230163338	25838.19155722	24670.0543864666	29619.5269329577	32688.5586365292	32318.4027458609	28338.3086829602	28361.3111867045	29592.3261310931	32260.6688912472
Q545H7_S32___1	45920.8626896989	34727.0548470525	43854.8487892424	35915.3391710259	41310.6176299823	35824.7217823359	43209.808005368	31920.2010536381	26675.7837685596	43023.9351653068	20469.4596951189	24538.941008253	28660.3608466589	50893.358016978	30166.8277535751	47731.1488273411	38439.176734264	38551.2718445031	37603.8667038224	46558.2995783998	45446.3666862443	50130.7189111124	36798.963537498	55528.5176223934
S4R248_S199___1	5031.19507660692	4881.58768019991	5898.9897686978	6542.26100504744	6101.76324789779	6659.43352068191	7333.98242276715	5504.2651871643	4381.34315846586	5767.43653519181	5669.95184743833	4952.75139862711	4254.4456790522	6762.68562879266	3885.97080752185	6627.17515195725	4946.77719898275	4495.69727860302	4560.38594882468	5417.18421867678	5275.10417200036	6222.95717487745	4918.93511968012	5670.68914058631
A0A0A0MQ99_S36___1	158258.644151373	151860.253585242	131593.567954191	153124.927208635	131961.218444516	156325.647057385	156850.373483492	144965.023336301	132497.496365749	126483.41633034	144133.131389066	139278.592765208	134803.708047263	141650.409523315	140645.606767776	142513.468862964	100074.639590491	78745.6832816461	94500.9983539176	96880.9435601834	144314.645557679	139054.004252626	111797.972229266	153723.45043073
A0A0A0MQN9_S2250___1	111790.31241954	112809.916210132	118934.640473408	128733.56630878	127245.889906515	121755.560293194	119120.877326521	120452.564629098	100484.665321773	104931.501938574	116701.550269051	117666.721998381	118587.563207832	127060.993697543	119218.130991915	111386.555517312	117934.999931793	112573.479153444	126497.303485295	115649.018687082	128748.085577016	126882.06557507	124937.092399227	108848.06795114
A0A0A6YW06_S723___1	92950.7160419441	80058.3095109351	90117.9495640916	91583.4267504013	89620.846683433	91176.1604761892	84034.6536331165	87743.902429451	74732.1050984333	72072.2235241881	82920.1144934189	81136.734306245	79343.8738286772	67019.0333810386	79845.6717343962	91456.9345711172	76831.3510794486	71166.8688476325	74016.9358003206	80871.2026237036	81219.7832622911	137587.412222742	86854.9203228868	87215.1585005262
Q921M8_S633___1	20585.3275841186	22730.0179466699	22117.2281354116	20937.3180273983	22426.6669165258	20246.1112529982	21975.5619492905	23868.0239627599	23729.8421375182	28852.5591508158	25475.8324134749	25354.8082832542	25243.5772720505	24578.3828030349	24262.8998379441	27405.4143563567	20305.0231100576	20989.601748392	23189.7186585239	20342.3219965852	22317.6818586784	24310.6855772496	21162.0899383354	24358.8118282367
